season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024,2025-05-25,Girona,Ath Madrid,0.0,4.0,-1,0.0,3.0,3.71,3.75,1.95
2024,2025-05-25,Villarreal,Sevilla,4.0,2.0,1,3.0,0.0,1.46,4.89,6.15
2024,2025-05-25,Ath Bilbao,Barcelona,0.0,3.0,-1,0.0,3.0,3.22,3.75,2.11
2024,2025-05-24,Real Madrid,Sociedad,2.0,0.0,1,3.0,0.0,1.42,5.04,6.72
2024,2025-05-24,Espanol,Las Palmas,2.0,0.0,1,3.0,0.0,1.38,4.88,8.3
2024,2025-05-24,Leganes,Valladolid,3.0,0.0,1,3.0,0.0,1.32,5.42,9.4
2024,2025-05-24,Alaves,Osasuna,1.0,1.0,0,1.0,1.0,3.2,3.2,2.36
2024,2025-05-24,Getafe,Celta,1.0,2.0,-1,0.0,3.0,4.22,3.65,1.86
2024,2025-05-24,Vallecano,Mallorca,0.0,0.0,0,1.0,1.0,1.53,4.1,6.46
2024,2025-05-23,Betis,Valencia,1.0,1.0,0,1.0,1.0,1.96,3.78,3.66
2024,2025-05-18,Ath Madrid,Betis,4.0,1.0,1,3.0,0.0,1.95,3.72,3.69
2024,2025-05-18,Barcelona,Villarreal,2.0,3.0,-1,0.0,3.0,1.85,4.15,3.7
2024,2025-05-18,Celta,Vallecano,1.0,2.0,-1,0.0,3.0,1.78,3.91,4.32
2024,2025-05-18,Las Palmas,Leganes,0.0,1.0,-1,0.0,3.0,2.9,3.45,2.39
2024,2025-05-18,Mallorca,Getafe,1.0,2.0,-1,0.0,3.0,2.01,3.2,4.16
2024,2025-05-18,Osasuna,Espanol,2.0,0.0,1,3.0,0.0,1.83,3.48,4.59
2024,2025-05-18,Sevilla,Real Madrid,0.0,2.0,-1,0.0,3.0,4.13,3.99,1.78
2024,2025-05-18,Sociedad,Girona,3.0,2.0,1,3.0,0.0,2.13,3.08,3.88
2024,2025-05-18,Valencia,Ath Bilbao,0.0,1.0,-1,0.0,3.0,2.24,2.99,3.73
2024,2025-05-18,Valladolid,Alaves,0.0,1.0,-1,0.0,3.0,5.73,3.84,1.62
2024,2025-05-15,Vallecano,Betis,2.0,2.0,0,1.0,1.0,3.05,3.13,2.48
2024,2025-05-15,Osasuna,Ath Madrid,2.0,0.0,1,3.0,0.0,3.74,3.3,2.08
2024,2025-05-15,Espanol,Barcelona,0.0,2.0,-1,0.0,3.0,9.34,5.76,1.3
2024,2025-05-15,Getafe,Ath Bilbao,0.0,2.0,-1,0.0,3.0,3.4,2.65,2.64
2024,2025-05-14,Alaves,Valencia,1.0,0.0,1,3.0,0.0,2.16,3.17,3.69
2024,2025-05-14,Villarreal,Leganes,3.0,0.0,1,3.0,0.0,1.34,5.26,8.73
2024,2025-05-14,Real Madrid,Mallorca,2.0,1.0,1,3.0,0.0,1.38,5.06,7.87
2024,2025-05-13,Valladolid,Girona,0.0,1.0,-1,0.0,3.0,4.59,3.88,1.75
2024,2025-05-13,Sociedad,Celta,0.0,1.0,-1,0.0,3.0,2.37,3.32,3.12
2024,2025-05-13,Sevilla,Las Palmas,1.0,0.0,1,3.0,0.0,1.69,3.73,5.37
2024,2025-05-11,Leganes,Espanol,3.0,2.0,1,3.0,0.0,2.41,3.07,3.22
2024,2025-05-11,Barcelona,Real Madrid,4.0,3.0,1,3.0,0.0,1.97,4.08,3.34
2024,2025-05-11,Ath Bilbao,Alaves,1.0,0.0,1,3.0,0.0,1.88,3.24,4.68
2024,2025-05-11,Betis,Osasuna,1.0,1.0,0,1.0,1.0,1.64,3.98,5.24
2024,2025-05-10,Valencia,Getafe,3.0,0.0,1,3.0,0.0,2.05,3.12,4.13
2024,2025-05-10,Celta,Sevilla,3.0,2.0,1,3.0,0.0,1.83,3.66,4.34
2024,2025-05-10,Girona,Villarreal,0.0,1.0,-1,0.0,3.0,3.12,3.72,2.16
2024,2025-05-10,Mallorca,Valladolid,2.0,1.0,1,3.0,0.0,1.34,5.0,9.97
2024,2025-05-10,Ath Madrid,Sociedad,4.0,0.0,1,3.0,0.0,1.68,3.83,5.18
2024,2025-05-09,Las Palmas,Vallecano,0.0,1.0,-1,0.0,3.0,2.47,3.29,2.98
2024,2025-05-05,Girona,Mallorca,1.0,0.0,1,3.0,0.0,2.02,3.2,4.07
2024,2025-05-04,Real Madrid,Celta,3.0,2.0,1,3.0,0.0,1.36,5.64,7.26
2024,2025-05-04,Sevilla,Leganes,2.0,2.0,0,1.0,1.0,1.79,3.41,4.99
2024,2025-05-04,Espanol,Betis,1.0,2.0,-1,0.0,3.0,3.37,2.98,2.39
2024,2025-05-04,Sociedad,Ath Bilbao,0.0,0.0,0,1.0,1.0,2.47,3.14,3.04
2024,2025-05-03,Alaves,Ath Madrid,0.0,0.0,0,1.0,1.0,3.76,3.15,2.14
2024,2025-05-03,Villarreal,Osasuna,4.0,2.0,1,3.0,0.0,1.54,4.4,5.77
2024,2025-05-03,Las Palmas,Valencia,2.0,3.0,-1,0.0,3.0,2.59,3.34,2.73
2024,2025-05-03,Valladolid,Barcelona,1.0,2.0,-1,0.0,3.0,14.72,8.53,1.15
2024,2025-05-02,Vallecano,Getafe,1.0,0.0,1,3.0,0.0,2.42,2.98,3.38
2024,2025-04-27,Villarreal,Espanol,1.0,0.0,1,3.0,0.0,1.44,4.85,6.28
2024,2025-04-24,Leganes,Girona,1.0,1.0,0,1.0,1.0,2.76,3.05,2.77
2024,2025-04-24,Osasuna,Sevilla,1.0,0.0,1,3.0,0.0,2.49,3.03,3.15
2024,2025-04-24,Ath Madrid,Vallecano,3.0,0.0,1,3.0,0.0,1.55,4.03,6.28
2024,2025-04-24,Betis,Valladolid,5.0,1.0,1,3.0,0.0,1.19,7.04,14.88
2024,2025-04-23,Ath Bilbao,Las Palmas,1.0,0.0,1,3.0,0.0,1.36,5.0,8.48
2024,2025-04-23,Celta,Villarreal,3.0,0.0,1,3.0,0.0,2.52,3.41,2.77
2024,2025-04-23,Alaves,Sociedad,1.0,0.0,1,3.0,0.0,2.37,3.04,3.32
2024,2025-04-23,Getafe,Real Madrid,0.0,1.0,-1,0.0,3.0,4.7,3.64,1.77
2024,2025-04-22,Valencia,Espanol,1.0,1.0,0,1.0,1.0,1.98,3.34,4.13
2024,2025-04-22,Barcelona,Mallorca,1.0,0.0,1,3.0,0.0,1.23,6.61,12.07
2024,2025-04-21,Girona,Betis,1.0,3.0,-1,0.0,3.0,2.83,3.39,2.49
2024,2025-04-20,Valladolid,Osasuna,2.0,3.0,-1,0.0,3.0,4.5,3.49,1.84
2024,2025-04-20,Villarreal,Sociedad,2.0,2.0,0,1.0,1.0,1.7,3.85,4.94
2024,2025-04-20,Sevilla,Alaves,1.0,1.0,0,1.0,1.0,2.07,3.07,4.14
2024,2025-04-20,Real Madrid,Ath Bilbao,1.0,0.0,1,3.0,0.0,1.67,3.94,5.04
2024,2025-04-19,Vallecano,Valencia,1.0,1.0,0,1.0,1.0,2.29,3.13,3.37
2024,2025-04-19,Barcelona,Celta,4.0,3.0,1,3.0,0.0,1.3,6.1,8.61
2024,2025-04-19,Mallorca,Leganes,0.0,0.0,0,1.0,1.0,1.88,3.15,4.93
2024,2025-04-19,Las Palmas,Ath Madrid,1.0,0.0,1,3.0,0.0,5.79,4.2,1.56
2024,2025-04-18,Espanol,Getafe,1.0,0.0,1,3.0,0.0,2.8,2.74,3.05
2024,2025-04-14,Ath Madrid,Valladolid,4.0,2.0,1,3.0,0.0,1.13,8.56,19.92
2024,2025-04-13,Osasuna,Girona,2.0,1.0,1,3.0,0.0,2.46,3.2,3.02
2024,2025-04-13,Alaves,Real Madrid,0.0,1.0,-1,0.0,3.0,5.23,4.13,1.62
2024,2025-04-13,Betis,Villarreal,1.0,2.0,-1,0.0,3.0,2.32,3.52,2.98
2024,2025-04-13,Ath Bilbao,Vallecano,3.0,1.0,1,3.0,0.0,1.76,3.44,5.16
2024,2025-04-12,Sociedad,Mallorca,0.0,2.0,-1,0.0,3.0,1.76,3.37,5.38
2024,2025-04-12,Getafe,Las Palmas,1.0,3.0,-1,0.0,3.0,1.78,3.44,5.1
2024,2025-04-12,Celta,Espanol,0.0,2.0,-1,0.0,3.0,1.64,3.81,5.69
2024,2025-04-12,Leganes,Barcelona,0.0,1.0,-1,0.0,3.0,8.41,5.94,1.31
2024,2025-04-11,Valencia,Sevilla,1.0,0.0,1,3.0,0.0,2.34,3.12,3.36
2024,2025-04-07,Leganes,Osasuna,1.0,1.0,0,1.0,1.0,2.71,3.1,2.79
2024,2025-04-06,Las Palmas,Sociedad,1.0,3.0,-1,0.0,3.0,3.18,3.18,2.38
2024,2025-04-06,Sevilla,Ath Madrid,1.0,2.0,-1,0.0,3.0,3.41,3.29,2.21
2024,2025-04-06,Valladolid,Getafe,0.0,4.0,-1,0.0,3.0,4.62,3.18,1.93
2024,2025-04-06,Villarreal,Ath Bilbao,0.0,0.0,0,1.0,1.0,2.22,3.38,3.28
2024,2025-04-05,Girona,Alaves,0.0,1.0,-1,0.0,3.0,2.08,3.36,3.69
2024,2025-04-05,Real Madrid,Valencia,1.0,2.0,-1,0.0,3.0,1.3,5.68,9.44
2024,2025-04-05,Mallorca,Celta,1.0,2.0,-1,0.0,3.0,2.68,3.09,2.85
2024,2025-04-05,Barcelona,Betis,1.0,1.0,0,1.0,1.0,1.37,5.5,7.35
2024,2025-04-04,Vallecano,Espanol,0.0,4.0,-1,0.0,3.0,1.69,3.55,5.88
2024,2025-03-31,Celta,Las Palmas,1.0,1.0,0,1.0,1.0,1.57,4.17,5.64
2024,2025-03-30,Getafe,Villarreal,1.0,2.0,-1,0.0,3.0,3.28,3.14,2.35
2024,2025-03-30,Barcelona,Girona,4.0,1.0,1,3.0,0.0,1.24,6.72,10.69
2024,2025-03-30,Ath Bilbao,Osasuna,0.0,0.0,0,1.0,1.0,1.46,4.33,7.33
2024,2025-03-30,Valencia,Mallorca,1.0,0.0,1,3.0,0.0,2.17,3.15,3.69
2024,2025-03-30,Betis,Sevilla,2.0,1.0,1,3.0,0.0,1.89,3.52,4.26
2024,2025-03-29,Sociedad,Valladolid,2.0,1.0,1,3.0,0.0,1.34,4.81,10.49
2024,2025-03-29,Espanol,Ath Madrid,1.0,1.0,0,1.0,1.0,5.87,3.81,1.62
2024,2025-03-29,Alaves,Vallecano,0.0,2.0,-1,0.0,3.0,2.19,2.99,3.89
2024,2025-03-29,Real Madrid,Leganes,3.0,2.0,1,3.0,0.0,1.15,8.37,17.3
2024,2025-03-27,Barcelona,Osasuna,3.0,0.0,1,3.0,0.0,1.28,6.34,8.82
2024,2025-03-16,Leganes,Betis,2.0,3.0,-1,0.0,3.0,3.77,3.33,2.06
2024,2025-03-16,Sevilla,Ath Bilbao,0.0,1.0,-1,0.0,3.0,2.96,3.15,2.54
2024,2025-03-16,Osasuna,Getafe,1.0,2.0,-1,0.0,3.0,2.32,2.94,3.6
2024,2025-03-16,Vallecano,Sociedad,2.0,2.0,0,1.0,1.0,2.49,3.08,3.12
2024,2025-03-16,Ath Madrid,Barcelona,2.0,4.0,-1,0.0,3.0,3.03,3.64,2.25
2024,2025-03-15,Valladolid,Celta,0.0,1.0,-1,0.0,3.0,5.07,3.88,1.69
2024,2025-03-15,Mallorca,Espanol,2.0,1.0,1,3.0,0.0,1.82,3.37,4.91
2024,2025-03-15,Villarreal,Real Madrid,1.0,2.0,-1,0.0,3.0,3.05,3.9,2.16
2024,2025-03-15,Girona,Valencia,1.0,1.0,0,1.0,1.0,1.98,3.53,3.87
2024,2025-03-14,Las Palmas,Alaves,2.0,2.0,0,1.0,1.0,2.91,3.02,2.7
2024,2025-03-10,Espanol,Girona,1.0,1.0,0,1.0,1.0,3.13,3.22,2.39
2024,2025-03-09,Getafe,Ath Madrid,2.0,1.0,1,3.0,0.0,4.48,3.1,1.98
2024,2025-03-09,Real Madrid,Vallecano,2.0,1.0,1,3.0,0.0,1.28,5.97,10.23
2024,2025-03-09,Ath Bilbao,Mallorca,1.0,1.0,0,1.0,1.0,1.63,3.73,6.01
2024,2025-03-09,Betis,Las Palmas,1.0,0.0,1,3.0,0.0,1.45,4.61,7.02
2024,2025-03-09,Sociedad,Sevilla,0.0,1.0,-1,0.0,3.0,2.2,3.15,3.59
2024,2025-03-08,Celta,Leganes,2.0,1.0,1,3.0,0.0,1.56,4.04,6.37
2024,2025-03-08,Alaves,Villarreal,1.0,0.0,1,3.0,0.0,3.07,3.32,2.4
2024,2025-03-08,Valencia,Valladolid,2.0,1.0,1,3.0,0.0,1.39,4.5,9.27
2024,2025-03-02,Leganes,Getafe,1.0,0.0,1,3.0,0.0,3.21,2.74,2.67
2024,2025-03-02,Barcelona,Sociedad,4.0,0.0,1,3.0,0.0,1.26,5.97,11.44
2024,2025-03-02,Mallorca,Alaves,1.0,1.0,0,1.0,1.0,2.27,3.05,3.57
2024,2025-03-02,Osasuna,Valencia,3.0,3.0,0,1.0,1.0,2.31,3.16,3.32
2024,2025-03-01,Girona,Celta,2.0,2.0,0,1.0,1.0,2.17,3.51,3.31
2024,2025-03-01,Vallecano,Sevilla,1.0,1.0,0,1.0,1.0,2.3,3.23,3.31
2024,2025-03-01,Betis,Real Madrid,2.0,1.0,1,3.0,0.0,4.41,4.07,1.74
2024,2025-03-01,Ath Madrid,Ath Bilbao,1.0,0.0,1,3.0,0.0,2.04,3.44,3.78
2024,2025-02-28,Valladolid,Las Palmas,1.0,1.0,0,1.0,1.0,3.14,3.21,2.43
2024,2025-02-24,Sevilla,Mallorca,1.0,1.0,0,1.0,1.0,2.09,3.17,3.93
2024,2025-02-23,Ath Bilbao,Valladolid,7.0,1.0,1,3.0,0.0,1.16,7.34,18.55
2024,2025-02-23,Real Madrid,Girona,2.0,0.0,1,3.0,0.0,1.28,6.26,9.32
2024,2025-02-23,Getafe,Betis,1.0,2.0,-1,0.0,3.0,2.61,3.06,2.95
2024,2025-02-23,Sociedad,Leganes,3.0,0.0,1,3.0,0.0,1.55,3.79,7.03
2024,2025-02-22,Alaves,Espanol,0.0,1.0,-1,0.0,3.0,1.8,3.38,5.22
2024,2025-02-22,Vallecano,Villarreal,0.0,1.0,-1,0.0,3.0,2.98,3.42,2.39
2024,2025-02-22,Valencia,Ath Madrid,0.0,3.0,-1,0.0,3.0,4.35,3.42,1.91
2024,2025-02-22,Las Palmas,Barcelona,0.0,2.0,-1,0.0,3.0,10.33,6.79,1.24
2024,2025-02-21,Celta,Osasuna,1.0,0.0,1,3.0,0.0,1.7,3.8,5.2
2024,2025-02-17,Barcelona,Vallecano,1.0,0.0,1,3.0,0.0,1.2,7.43,12.37
2024,2025-02-16,Espanol,Ath Bilbao,1.0,1.0,0,1.0,1.0,5.22,3.52,1.75
2024,2025-02-16,Valladolid,Sevilla,0.0,4.0,-1,0.0,3.0,4.01,3.38,1.99
2024,2025-02-16,Mallorca,Las Palmas,3.0,1.0,1,3.0,0.0,1.73,3.53,5.29
2024,2025-02-16,Betis,Sociedad,3.0,0.0,1,3.0,0.0,2.54,3.1,3.0
2024,2025-02-15,Leganes,Alaves,3.0,3.0,0,1.0,1.0,3.19,2.92,2.57
2024,2025-02-15,Osasuna,Real Madrid,1.0,1.0,0,1.0,1.0,5.58,4.32,1.57
2024,2025-02-15,Ath Madrid,Celta,1.0,1.0,0,1.0,1.0,1.42,4.64,7.71
2024,2025-02-15,Villarreal,Valencia,1.0,1.0,0,1.0,1.0,1.53,4.43,5.96
2024,2025-02-14,Girona,Getafe,1.0,2.0,-1,0.0,3.0,1.98,3.22,4.44
2024,2025-02-10,Mallorca,Osasuna,1.0,1.0,0,1.0,1.0,2.02,3.15,4.22
2024,2025-02-09,Alaves,Getafe,0.0,1.0,-1,0.0,3.0,2.32,2.9,3.63
2024,2025-02-09,Valencia,Leganes,2.0,0.0,1,3.0,0.0,1.74,3.43,5.39
2024,2025-02-09,Sociedad,Espanol,2.0,1.0,1,3.0,0.0,1.59,3.81,6.29
2024,2025-02-09,Sevilla,Barcelona,1.0,4.0,-1,0.0,3.0,5.47,4.63,1.54
2024,2025-02-08,Celta,Betis,3.0,2.0,1,3.0,0.0,2.31,3.35,3.16
2024,2025-02-08,Ath Bilbao,Girona,3.0,0.0,1,3.0,0.0,1.67,3.84,5.29
