league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
Bundesliga,AAC,0.4117647058823529,0.3235294117647059,0.36764705882352944,7.0,5.5,12.5,17,17,34,0.47058823529411764,0.5882352941176471,0.5294117647058824
Bundesliga,AUG,0.4088983050847458,0.3592436974789916,0.38396624472573837,96.5,85.5,182.0,236,238,474,0.4491525423728814,0.5210084033613446,0.48523206751054854
Bundesliga,BAY,0.1484593837535014,0.2669491525423729,0.20745428973277075,53.0,94.5,147.5,357,354,711,0.7787114845938375,0.635593220338983,0.7074542897327707
Bundesliga,BIE,0.461864406779661,0.3067226890756303,0.38396624472573837,54.5,36.5,91.0,118,119,237,0.3983050847457627,0.5378151260504201,0.46835443037974683
Bundesliga,BOC,0.4243421052631579,0.30718954248366015,0.3655737704918033,64.5,47.0,111.5,152,153,305,0.4342105263157895,0.5816993464052288,0.5081967213114754
Bundesliga,BRA,0.38235294117647056,0.17647058823529413,0.27941176470588236,6.5,3.0,9.5,17,17,34,0.5294117647058824,0.7058823529411765,0.6176470588235294
Bundesliga,COT,0.44,0.30392156862745096,0.3712871287128713,22.0,15.5,37.5,50,51,101,0.48,0.5490196078431373,0.5148514851485149
Bundesliga,DAR,0.3137254901960784,0.30392156862745096,0.3088235294117647,16.0,15.5,31.5,51,51,102,0.5686274509803921,0.5882352941176471,0.5784313725490197
Bundesliga,DOR,0.2507042253521127,0.3644067796610169,0.307475317348378,89.0,129.0,218.0,355,354,709,0.647887323943662,0.5112994350282486,0.5796897038081805
Bundesliga,DUI,0.42424242424242425,0.27941176470588236,0.35074626865671643,14.0,9.5,23.5,33,34,67,0.3939393939393939,0.6470588235294118,0.5223880597014925
Bundesliga,EINF,0.403125,0.37264150943396224,0.3879310344827586,129.0,118.5,247.5,320,318,638,0.446875,0.4937106918238994,0.4702194357366771
Bundesliga,FORD,0.45098039215686275,0.3137254901960784,0.38235294117647056,23.0,16.0,39.0,51,51,102,0.43137254901960786,0.5490196078431373,0.49019607843137253
Bundesliga,FRE,0.40111940298507465,0.35239852398523985,0.37662337662337664,107.5,95.5,203.0,268,271,539,0.4626865671641791,0.5166051660516605,0.4897959183673469
Bundesliga,GREF,0.36363636363636365,0.25,0.30597014925373134,12.0,8.5,20.5,33,34,67,0.5151515151515151,0.6176470588235294,0.5671641791044776
Bundesliga,HAM,0.44468085106382976,0.41201716738197425,0.4284188034188034,104.5,96.0,200.5,235,233,468,0.4340425531914894,0.4678111587982833,0.45085470085470086
Bundesliga,HAN,0.40638297872340423,0.33755274261603374,0.3718220338983051,95.5,80.0,175.5,235,237,472,0.46808510638297873,0.5485232067510548,0.5084745762711864
Bundesliga,HANR,0.41935483870967744,0.2647058823529412,0.3384615384615385,13.0,9.0,22.0,31,34,65,0.45161290322580644,0.6470588235294118,0.5538461538461539
Bundesliga,HEI,0.3382352941176471,0.38235294117647056,0.3602941176470588,11.5,13.0,24.5,34,34,68,0.5588235294117647,0.47058823529411764,0.5147058823529411
Bundesliga,HERT,0.3819444444444444,0.3621908127208481,0.37215411558669004,110.0,102.5,212.5,288,283,571,0.4895833333333333,0.508833922261484,0.4991243432574431
Bundesliga,HOF,0.40384615384615385,0.3836805555555556,0.39372822299651566,115.5,110.5,226.0,286,288,574,0.458041958041958,0.4756944444444444,0.46689895470383275
Bundesliga,HOLK,0.29411764705882354,0.2647058823529412,0.27941176470588236,5.0,4.5,9.5,17,17,34,0.6470588235294118,0.5882352941176471,0.6176470588235294
Bundesliga,ING,0.5,0.29411764705882354,0.39705882352941174,17.0,10.0,27.0,34,34,68,0.35294117647058826,0.5882352941176471,0.47058823529411764
Bundesliga,KAI,0.3787878787878788,0.33088235294117646,0.35447761194029853,25.0,22.5,47.5,66,68,134,0.5,0.5588235294117647,0.5298507462686567
Bundesliga,KAR,0.5588235294117647,0.3181818181818182,0.44029850746268656,19.0,10.5,29.5,34,33,67,0.29411764705882354,0.6060606060606061,0.44776119402985076
Bundesliga,KOL,0.3949579831932773,0.3403361344537815,0.36764705882352944,94.0,81.0,175.0,238,238,476,0.46218487394957986,0.5252100840336135,0.49369747899159666
Bundesliga,LEVK,0.32162921348314605,0.3963068181818182,0.3587570621468927,114.5,139.5,254.0,356,352,708,0.5617977528089888,0.48863636363636365,0.5254237288135594
Bundesliga,M'G,0.3701492537313433,0.37833827893175076,0.3742559523809524,124.0,127.5,251.5,335,337,672,0.5104477611940299,0.49258160237388726,0.5014880952380952
Bundesliga,MAI,0.3887147335423197,0.37925696594427244,0.3839563862928349,124.0,122.5,246.5,319,323,642,0.47962382445141066,0.4891640866873065,0.48442367601246106
Bundesliga,NUR,0.4467455621301775,0.3165680473372781,0.3816568047337278,75.5,53.5,129.0,169,169,338,0.40236686390532544,0.5562130177514792,0.47928994082840237
Bundesliga,PAD,0.29411764705882354,0.29411764705882354,0.29411764705882354,10.0,10.0,20.0,34,34,68,0.5882352941176471,0.5588235294117647,0.5735294117647058
Bundesliga,RBL,0.2679738562091503,0.3841059602649007,0.3256578947368421,41.0,58.0,99.0,153,151,304,0.6078431372549019,0.4900662251655629,0.5493421052631579
Bundesliga,SCH,0.2967213114754098,0.38461538461538464,0.3402317880794702,90.5,115.0,205.5,305,299,604,0.5967213114754099,0.48494983277591974,0.5413907284768212
Bundesliga,STP,0.35294117647058826,0.3088235294117647,0.33088235294117646,12.0,10.5,22.5,34,34,68,0.5294117647058824,0.6176470588235294,0.5735294117647058
Bundesliga,STU,0.3582554517133956,0.35625,0.35725429017160687,115.0,114.0,229.0,321,320,641,0.5358255451713395,0.5125,0.5241809672386896
Bundesliga,UNI,0.3712871287128713,0.4215686274509804,0.39655172413793105,37.5,43.0,80.5,101,102,203,0.4752475247524752,0.47058823529411764,0.4729064039408867
Bundesliga,WERB,0.3392857142857143,0.39820359281437123,0.3686567164179104,114.0,133.0,247.0,336,334,670,0.5386904761904762,0.47305389221556887,0.5059701492537313
