league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
La Liga,ALA,0.40540540540540543,0.3169642857142857,0.3609865470852018,90.0,71.0,161.0,222,224,446,0.46396396396396394,0.5803571428571429,0.5224215246636771
La Liga,ALB,0.4117647058823529,0.3684210526315789,0.3888888888888889,7.0,7.0,14.0,17,19,36,0.5294117647058824,0.47368421052631576,0.5
La Liga,ALM,0.37748344370860926,0.25496688741721857,0.3162251655629139,57.0,38.5,95.5,151,151,302,0.46357615894039733,0.6556291390728477,0.5596026490066225
La Liga,ATHB,0.32830626450116007,0.3422273781902552,0.3352668213457077,141.5,147.5,289.0,431,431,862,0.54292343387471,0.5127610208816705,0.5278422273781903
La Liga,ATHM,0.20939086294416243,0.36075949367088606,0.28517110266159695,82.5,142.5,225.0,394,395,789,0.6979695431472082,0.5037974683544304,0.6007604562737643
La Liga,BARC,0.16397228637413394,0.30652680652680653,0.23491879350348027,71.0,131.5,202.5,433,429,862,0.76905311778291,0.5734265734265734,0.6716937354988399
La Liga,BET,0.3664772727272727,0.3717948717948718,0.3691322901849218,129.0,130.5,259.5,352,351,703,0.48863636363636365,0.4985754985754986,0.49359886201991465
La Liga,CAD,0.3736842105263158,0.3368421052631579,0.35526315789473684,35.5,32.0,67.5,95,95,190,0.43157894736842106,0.5157894736842106,0.47368421052631576
La Liga,CEL,0.34186746987951805,0.3844984802431611,0.3630862329803328,113.5,126.5,240.0,332,329,661,0.5240963855421686,0.49848024316109424,0.5113464447806354
La Liga,COR,0.3157894736842105,0.23684210526315788,0.27631578947368424,6.0,4.5,10.5,19,19,38,0.5263157894736842,0.631578947368421,0.5789473684210527
La Liga,EIB,0.366412213740458,0.38345864661654133,0.375,48.0,51.0,99.0,131,133,264,0.5190839694656488,0.46616541353383456,0.49242424242424243
La Liga,ELC,0.3526315789473684,0.2789473684210526,0.3157894736842105,33.5,26.5,60.0,95,95,190,0.4842105263157895,0.6105263157894737,0.5473684210526316
La Liga,ESP,0.3877551020408163,0.32061068702290074,0.354140127388535,152.0,126.0,278.0,392,393,785,0.4872448979591837,0.544529262086514,0.5159235668789809
La Liga,GET,0.37168141592920356,0.33724340175953077,0.35441176470588237,126.0,115.0,241.0,339,341,680,0.48672566371681414,0.530791788856305,0.5088235294117647
La Liga,GIR,0.32105263157894737,0.37894736842105264,0.35,30.5,36.0,66.5,95,95,190,0.5894736842105263,0.4842105263157895,0.5368421052631579
La Liga,GRA,0.39210526315789473,0.26842105263157895,0.33026315789473687,74.5,51.0,125.5,190,190,380,0.47368421052631576,0.631578947368421,0.5526315789473685
La Liga,HERC,0.4473684210526316,0.18421052631578946,0.3157894736842105,8.5,3.5,12.0,19,19,38,0.42105263157894735,0.7368421052631579,0.5789473684210527
La Liga,HUE,0.32432432432432434,0.2894736842105263,0.30666666666666664,12.0,11.0,23.0,37,38,75,0.5135135135135135,0.5526315789473685,0.5333333333333333
La Liga,LAC,0.369140625,0.3577075098814229,0.36345776031434185,94.5,90.5,185.0,256,253,509,0.50390625,0.5019762845849802,0.5029469548133595
La Liga,LASP,0.359375,0.25,0.3046875,46.0,32.0,78.0,128,128,256,0.5078125,0.6484375,0.578125
La Liga,LEG,0.4263157894736842,0.30526315789473685,0.36578947368421055,40.5,29.0,69.5,95,95,190,0.43157894736842106,0.5473684210526316,0.48947368421052634
La Liga,LEVA,0.42152466367713004,0.3092105263157895,0.3647450110864745,94.0,70.5,164.5,223,228,451,0.4304932735426009,0.5789473684210527,0.5055432372505543
La Liga,MALL,0.3673469387755102,0.35618729096989965,0.3617200674536256,108.0,106.5,214.5,294,299,593,0.4965986394557823,0.5217391304347826,0.5092748735244519
La Liga,MLG,0.35611510791366907,0.3435251798561151,0.3498201438848921,99.0,95.5,194.5,278,278,556,0.5179856115107914,0.5359712230215827,0.5269784172661871
La Liga,MUR,0.5454545454545454,0.14473684210526316,0.33098591549295775,18.0,5.5,23.5,33,38,71,0.3333333333333333,0.7368421052631579,0.5492957746478874
La Liga,NUM,0.35135135135135137,0.15789473684210525,0.25333333333333335,13.0,6.0,19.0,37,38,75,0.5405405405405406,0.7631578947368421,0.6533333333333333
La Liga,OSA,0.37642045454545453,0.34232954545454547,0.359375,132.5,120.5,253.0,352,352,704,0.48011363636363635,0.5170454545454546,0.49857954545454547
La Liga,OVI,0.3157894736842105,0.15789473684210525,0.23684210526315788,6.0,3.0,9.0,19,19,38,0.5263157894736842,0.7894736842105263,0.6578947368421053
La Liga,RAYO,0.4090909090909091,0.345679012345679,0.37731958762886597,99.0,84.0,183.0,242,243,485,0.47107438016528924,0.5390946502057613,0.5051546391752577
La Liga,REC,0.36607142857142855,0.30701754385964913,0.336283185840708,20.5,17.5,38.0,56,57,113,0.4642857142857143,0.5789473684210527,0.5221238938053098
La Liga,RMA,0.16166281755196305,0.3006993006993007,0.2308584686774942,70.0,129.0,199.0,433,429,862,0.7713625866050808,0.5944055944055944,0.6832946635730859
La Liga,RSO,0.3638814016172507,0.35967302452316074,0.3617886178861789,135.0,132.0,267.0,371,367,738,0.5067385444743935,0.5231607629427792,0.5149051490514905
La Liga,SAN,0.4437869822485207,0.35,0.3967551622418879,75.0,59.5,134.5,169,170,339,0.42011834319526625,0.5117647058823529,0.46607669616519176
La Liga,SEV,0.286231884057971,0.3783783783783784,0.33191230207064554,118.5,154.0,272.5,414,407,821,0.606280193236715,0.49385749385749383,0.5505481120584653
La Liga,SPG,0.3669724770642202,0.2807017543859649,0.32286995515695066,40.0,32.0,72.0,109,114,223,0.5229357798165137,0.5964912280701754,0.5605381165919282
La Liga,TEN,0.38235294117647056,0.20588235294117646,0.29411764705882354,13.0,7.0,20.0,34,34,68,0.47058823529411764,0.7058823529411765,0.5882352941176471
La Liga,VIL,0.3048780487804878,0.4193154034229829,0.362026862026862,125.0,171.5,296.5,410,409,819,0.5634146341463414,0.4474327628361858,0.5054945054945055
La Liga,VLC,0.32060185185185186,0.38333333333333336,0.3515258215962441,138.5,161.0,299.5,432,420,852,0.5532407407407407,0.48333333333333334,0.5187793427230047
La Liga,VLLD,0.4111969111969112,0.2824427480916031,0.34644913627639157,106.5,74.0,180.5,259,262,521,0.42084942084942084,0.5916030534351145,0.5067178502879078
La Liga,XER,0.2631578947368421,0.2631578947368421,0.2631578947368421,5.0,5.0,10.0,19,19,38,0.631578947368421,0.5789473684210527,0.6052631578947368
La Liga,ZAR,0.42073170731707316,0.2878787878787879,0.3541033434650456,69.0,47.5,116.5,164,165,329,0.4268292682926829,0.5878787878787879,0.5075987841945289
