,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches
0,Serie A,2000,0.249,299,53,0.535,213
1,Serie A,2001,0.237,237,41,0.557,173
2,Serie A,2002,0.239,302,51,0.536,213
3,Serie A,2005,0.256,378,69,0.532,270
4,Serie A,2006,0.259,380,69,0.518,266
5,Serie A,2007,0.254,380,68,0.526,268
6,Serie A,2008,0.26,380,74,0.555,285
7,Serie A,2009,0.252,379,70,0.549,278
8,Serie A,2010,0.306,378,86,0.516,281
9,Serie A,2011,0.283,380,76,0.508,269
10,Serie A,2012,0.264,380,75,0.55,284
11,Serie A,2013,0.255,380,74,0.568,290
12,Serie A,2014,0.308,380,80,0.474,260
13,Serie A,2015,0.291,380,83,0.532,285
14,Serie A,2016,0.22,380,66,0.616,300
15,Serie A,2017,0.236,380,70,0.597,297
16,Serie A,2018,0.232,380,63,0.55,272
17,Serie A,2019,0.268,380,79,0.568,295
18,Serie A,2020,0.233,380,66,0.571,283
19,Serie A,2021,0.292,379,82,0.525,281
20,Serie A,2022,0.296,380,83,0.518,280
21,Serie A,2023,0.224,380,60,0.547,268
22,Serie A,2024,0.265,380,72,0.526,272
