league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
Serie A,ASC,0.42105263157894735,0.2631578947368421,0.34210526315789475,16.0,10.0,26.0,38,38,76,0.3684210526315789,0.5789473684210527,0.47368421052631576
Serie A,ATA,0.36563307493540054,0.33505154639175255,0.3503225806451613,141.5,130.0,271.5,387,388,775,0.4909560723514212,0.5360824742268041,0.5135483870967742
Serie A,BARI,0.3090909090909091,0.20909090909090908,0.2590909090909091,17.0,11.5,28.5,55,55,110,0.5818181818181818,0.6727272727272727,0.6272727272727273
Serie A,BEN,0.28378378378378377,0.2631578947368421,0.2733333333333333,10.5,10.0,20.5,37,38,75,0.5945945945945946,0.6578947368421053,0.6266666666666667
Serie A,BOLG,0.3438395415472779,0.3645533141210375,0.3541666666666667,120.0,126.5,246.5,349,347,696,0.5186246418338109,0.4812680115273775,0.5
Serie A,BRES,0.3795180722891566,0.3023255813953488,0.34023668639053256,31.5,26.0,57.5,83,86,169,0.4578313253012048,0.5348837209302325,0.4970414201183432
Serie A,CAG,0.34017595307917886,0.29472140762463345,0.31744868035190615,116.0,100.5,216.5,341,341,682,0.5219941348973607,0.5689149560117303,0.5454545454545454
Serie A,CARP,0.3611111111111111,0.3157894736842105,0.33783783783783783,6.5,6.0,12.5,18,19,37,0.5,0.5263157894736842,0.5135135135135135
Serie A,CAT,0.34105960264900664,0.271523178807947,0.30629139072847683,51.5,41.0,92.5,151,151,302,0.5298013245033113,0.5629139072847682,0.5463576158940397
Serie A,CES,0.35714285714285715,0.21929824561403508,0.28761061946902655,20.0,12.5,32.5,56,57,113,0.48214285714285715,0.6666666666666666,0.5752212389380531
Serie A,CHI,0.33454545454545453,0.3641304347826087,0.34936479128856623,92.0,100.5,192.5,275,276,551,0.49454545454545457,0.5108695652173914,0.5027223230490018
Serie A,COM,0.3142857142857143,0.25,0.28169014084507044,11.0,9.0,20.0,35,36,71,0.5142857142857142,0.6111111111111112,0.5633802816901409
Serie A,CRE,0.3157894736842105,0.2631578947368421,0.2894736842105263,6.0,5.0,11.0,19,19,38,0.5789473684210527,0.5263157894736842,0.5526315789473685
Serie A,CRO,0.2982456140350877,0.17543859649122806,0.23684210526315788,17.0,10.0,27.0,57,57,114,0.5964912280701754,0.7543859649122807,0.6754385964912281
Serie A,EMP,0.3834080717488789,0.3288888888888889,0.3560267857142857,85.5,74.0,159.5,223,225,448,0.4663677130044843,0.5377777777777778,0.5022321428571429
Serie A,FIO,0.3103448275862069,0.3506172839506173,0.33045622688039455,126.0,142.0,268.0,406,405,811,0.5615763546798029,0.5111111111111111,0.5363748458692972
Serie A,FRO,0.2807017543859649,0.22807017543859648,0.2543859649122807,16.0,13.0,29.0,57,57,114,0.5964912280701754,0.6491228070175439,0.6228070175438597
Serie A,GEN,0.35046728971962615,0.36990595611285265,0.36015625,112.5,118.0,230.5,321,319,640,0.5077881619937694,0.48589341692789967,0.496875
Serie A,INT,0.2417452830188679,0.33847980997624705,0.28994082840236685,102.5,142.5,245.0,424,421,845,0.6533018867924528,0.5415676959619953,0.5976331360946746
Serie A,JUV,0.1904176904176904,0.29259259259259257,0.2413793103448276,77.5,118.5,196.0,407,405,812,0.7076167076167076,0.5753086419753086,0.6416256157635468
Serie A,LAZ,0.2936320754716981,0.34988179669030733,0.3217237308146399,124.5,148.0,272.5,424,423,847,0.5872641509433962,0.5342789598108747,0.5608028335301063
Serie A,LEC,0.39502762430939226,0.2983425414364641,0.34668508287292815,71.5,54.0,125.5,181,181,362,0.43646408839779005,0.580110497237569,0.5082872928176796
Serie A,LIVO,0.3882978723404255,0.25,0.3191489361702128,36.5,23.5,60.0,94,94,188,0.43617021276595747,0.648936170212766,0.5425531914893617
Serie A,MES,0.4594594594594595,0.15789473684210525,0.30666666666666664,17.0,6.0,23.0,37,38,75,0.32432432432432434,0.7368421052631579,0.5333333333333333
Serie A,MIL,0.26705882352941174,0.3463356973995272,0.30660377358490565,113.5,146.5,260.0,425,423,848,0.611764705882353,0.5200945626477541,0.5660377358490566
Serie A,MOD,0.4117647058823529,0.3125,0.36363636363636365,7.0,5.0,12.0,17,16,33,0.4117647058823529,0.5625,0.48484848484848486
Serie A,MON,0.3508771929824561,0.34210526315789475,0.34649122807017546,20.0,19.5,39.5,57,57,114,0.5087719298245614,0.5263157894736842,0.5175438596491229
Serie A,NAP,0.28631284916201116,0.32212885154061627,0.3041958041958042,102.5,115.0,217.5,358,357,715,0.5977653631284916,0.5574229691876751,0.5776223776223777
Serie A,NOV,0.47368421052631576,0.18421052631578946,0.32894736842105265,9.0,3.5,12.5,19,19,38,0.3157894736842105,0.7368421052631579,0.5263157894736842
Serie A,PAL,0.3309178743961353,0.3415841584158416,0.33618581907090467,68.5,69.0,137.5,207,202,409,0.5555555555555556,0.5099009900990099,0.5330073349633252
Serie A,PAR,0.3732638888888889,0.33276450511945393,0.3528399311531842,107.5,97.5,205.0,288,293,581,0.4895833333333333,0.5221843003412969,0.5060240963855421
Serie A,PER,0.29545454545454547,0.2872340425531915,0.29120879120879123,13.0,13.5,26.5,44,47,91,0.5681818181818182,0.5531914893617021,0.5604395604395604
Serie A,PES,0.2702702702702703,0.17105263157894737,0.22,10.0,6.5,16.5,37,38,75,0.6486486486486487,0.7368421052631579,0.6933333333333334
Serie A,PIA,0.4032258064516129,0.25806451612903225,0.33064516129032256,12.5,8.0,20.5,31,31,62,0.5161290322580645,0.6129032258064516,0.5645161290322581
Serie A,REG,0.3867924528301887,0.2777777777777778,0.3317757009345794,41.0,30.0,71.0,106,108,214,0.4528301886792453,0.5925925925925926,0.5233644859813084
Serie A,ROM,0.22365339578454332,0.3557919621749409,0.28941176470588237,95.5,150.5,246.0,427,423,850,0.6721311475409836,0.5059101654846335,0.5894117647058823
Serie A,SAL,0.32456140350877194,0.30701754385964913,0.3157894736842105,18.5,17.5,36.0,57,57,114,0.5263157894736842,0.5263157894736842,0.5263157894736842
Serie A,SAM,0.37538940809968846,0.322884012539185,0.34921875,120.5,103.0,223.5,321,319,640,0.48598130841121495,0.5579937304075235,0.521875
Serie A,SAS,0.3918269230769231,0.3660287081339713,0.37889688249400477,81.5,76.5,158.0,208,209,417,0.4567307692307692,0.5119617224880383,0.4844124700239808
Serie A,SIE,0.39015151515151514,0.30303030303030304,0.3465909090909091,51.5,40.0,91.5,132,132,264,0.44696969696969696,0.553030303030303,0.5
Serie A,SPA,0.41228070175438597,0.21929824561403508,0.3157894736842105,23.5,12.5,36.0,57,57,114,0.42105263157894735,0.7017543859649122,0.5614035087719298
Serie A,SPE,0.3333333333333333,0.30701754385964913,0.3201754385964912,19.0,17.5,36.5,57,57,114,0.5087719298245614,0.5789473684210527,0.543859649122807
