,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches
0,Bundesliga,2004,0.361,306,87,0.503,241
1,Bundesliga,2005,0.267,306,56,0.503,210
2,Bundesliga,2006,0.352,306,80,0.48,227
3,Bundesliga,2007,0.316,306,72,0.51,228
4,Bundesliga,2008,0.297,306,69,0.533,232
5,Bundesliga,2009,0.314,306,69,0.493,220
6,Bundesliga,2010,0.395,306,96,0.48,243
7,Bundesliga,2011,0.317,306,72,0.507,227
8,Bundesliga,2012,0.329,306,75,0.5,228
9,Bundesliga,2013,0.302,306,73,0.552,242
10,Bundesliga,2014,0.308,306,69,0.507,224
11,Bundesliga,2015,0.311,306,73,0.529,235
12,Bundesliga,2016,0.315,306,73,0.52,232
13,Bundesliga,2017,0.309,306,69,0.503,223
14,Bundesliga,2018,0.296,306,69,0.536,233
15,Bundesliga,2019,0.328,306,78,0.523,238
16,Bundesliga,2020,0.298,306,67,0.516,225
17,Bundesliga,2021,0.33,306,77,0.51,233
18,Bundesliga,2022,0.299,306,69,0.529,231
19,Bundesliga,2023,0.262,306,59,0.542,225
20,Bundesliga,2024,0.298,306,68,0.523,228
