team,season,first_half_goals,second_half_goals,league
BAY,2004,34.0,43.0,Bundesliga
BIE,2004,24.0,16.0,Bundesliga
BOC,2004,14.0,21.0,Bundesliga
DOR,2004,18.0,37.0,Bundesliga
FRE,2004,11.0,7.0,Bundesliga
HAM,2004,25.0,26.0,Bundesliga
HAN,2004,28.0,17.0,Bundesliga
HANR,2004,11.0,19.0,Bundesliga
HERT,2004,28.0,30.0,Bundesliga
KAI,2004,21.0,21.0,Bundesliga
LEVK,2004,26.0,31.0,Bundesliga
M'G,2004,17.0,19.0,Bundesliga
MAI,2004,22.0,21.0,Bundesliga
NUR,2004,21.0,17.0,Bundesliga
SCH,2004,34.0,29.0,Bundesliga
STU,2004,31.0,27.0,Bundesliga
WERB,2004,28.0,31.0,Bundesliga
WOB,2004,30.0,18.0,Bundesliga
BAY,2005,44.0,31.0,Bundesliga
BIE,2005,20.0,17.0,Bundesliga
DOR,2005,21.0,25.0,Bundesliga
DUI,2005,12.0,15.0,Bundesliga
EINF,2005,21.0,15.0,Bundesliga
HAM,2005,38.0,30.0,Bundesliga
HAN,2005,21.0,17.0,Bundesliga
HERT,2005,26.0,22.0,Bundesliga
KAI,2005,12.0,21.0,Bundesliga
KOL,2005,12.0,18.0,Bundesliga
LEVK,2005,19.0,33.0,Bundesliga
M'G,2005,25.0,17.0,Bundesliga
MAI,2005,16.0,22.0,Bundesliga
NUR,2005,14.0,30.0,Bundesliga
SCH,2005,31.0,30.0,Bundesliga
STU,2005,25.0,18.0,Bundesliga
WERB,2005,36.0,34.0,Bundesliga
WOB,2005,18.0,16.0,Bundesliga
AAC,2006,19.0,15.0,Bundesliga
BAY,2006,33.0,27.0,Bundesliga
BIE,2006,22.0,20.0,Bundesliga
BOC,2006,18.0,27.0,Bundesliga
COT,2006,17.0,24.0,Bundesliga
DOR,2006,22.0,22.0,Bundesliga
EINF,2006,20.0,20.0,Bundesliga
HAM,2006,13.0,32.0,Bundesliga
HAN,2006,20.0,24.0,Bundesliga
HERT,2006,27.0,17.0,Bundesliga
LEVK,2006,25.0,26.0,Bundesliga
M'G,2006,15.0,11.0,Bundesliga
MAI,2006,11.0,23.0,Bundesliga
NUR,2006,23.0,25.0,Bundesliga
SCH,2006,36.0,32.0,Bundesliga
STU,2006,32.0,38.0,Bundesliga
WERB,2006,36.0,30.0,Bundesliga
WOB,2006,19.0,18.0,Bundesliga
BAY,2007,36.0,40.0,Bundesliga
BIE,2007,18.0,16.0,Bundesliga
BOC,2007,19.0,22.0,Bundesliga
COT,2007,15.0,21.0,Bundesliga
DOR,2007,21.0,19.0,Bundesliga
DUI,2007,13.0,16.0,Bundesliga
EINF,2007,23.0,23.0,Bundesliga
HAM,2007,32.0,22.0,Bundesliga
HAN,2007,27.0,22.0,Bundesliga
HANR,2007,17.0,13.0,Bundesliga
HERT,2007,20.0,24.0,Bundesliga
KAR,2007,28.0,15.0,Bundesliga
LEVK,2007,30.0,21.0,Bundesliga
NUR,2007,15.0,16.0,Bundesliga
SCH,2007,29.0,35.0,Bundesliga
STU,2007,25.0,27.0,Bundesliga
WERB,2007,36.0,30.0,Bundesliga
WOB,2007,20.0,34.0,Bundesliga
BAY,2008,35.0,32.0,Bundesliga
BIE,2008,14.0,14.0,Bundesliga
BOC,2008,11.0,21.0,Bundesliga
COT,2008,13.0,17.0,Bundesliga
DOR,2008,29.0,30.0,Bundesliga
EINF,2008,19.0,14.0,Bundesliga
HAM,2008,33.0,28.0,Bundesliga
HAN,2008,17.0,23.0,Bundesliga
HERT,2008,33.0,30.0,Bundesliga
HOF,2008,35.0,20.0,Bundesliga
KAR,2008,13.0,16.0,Bundesliga
KOL,2008,22.0,17.0,Bundesliga
LEVK,2008,32.0,17.0,Bundesliga
M'G,2008,11.0,20.0,Bundesliga
SCH,2008,27.0,23.0,Bundesliga
STU,2008,25.0,39.0,Bundesliga
WERB,2008,26.0,19.0,Bundesliga
WOB,2008,26.0,43.0,Bundesliga
BAY,2009,33.0,37.0,Bundesliga
BOC,2009,16.0,12.0,Bundesliga
DOR,2009,30.0,27.0,Bundesliga
EINF,2009,24.0,22.0,Bundesliga
FRE,2009,18.0,17.0,Bundesliga
HAM,2009,31.0,21.0,Bundesliga
HAN,2009,17.0,16.0,Bundesliga
HERT,2009,6.0,18.0,Bundesliga
HOF,2009,25.0,17.0,Bundesliga
KOL,2009,18.0,20.0,Bundesliga
LEVK,2009,35.0,24.0,Bundesliga
M'G,2009,21.0,18.0,Bundesliga
MAI,2009,24.0,23.0,Bundesliga
NUR,2009,12.0,19.0,Bundesliga
SCH,2009,34.0,31.0,Bundesliga
STU,2009,16.0,39.0,Bundesliga
WERB,2009,28.0,33.0,Bundesliga
WOB,2009,24.0,26.0,Bundesliga
BAY,2010,29.0,36.0,Bundesliga
DOR,2010,43.0,32.0,Bundesliga
EINF,2010,26.0,8.0,Bundesliga
FRE,2010,28.0,16.0,Bundesliga
