league,season,points_std
Bundesliga,2004,13.912072154570897
Bundesliga,2005,14.208530991667526
Bundesliga,2006,12.219265833770043
Bundesliga,2007,13.065446121466387
Bundesliga,2008,14.579957592486085
Bundesliga,2009,13.366136119733401
Bundesliga,2010,12.552243764738307
Bundesliga,2011,15.154649408442625
Bundesliga,2012,16.03672256379823
Bundesliga,2013,17.365355036841475
Bundesliga,2014,13.587287407167308
Bundesliga,2015,15.65612912200737
Bundesliga,2016,13.940583534452413
Bundesliga,2017,13.987973359025617
Bundesliga,2018,17.006822929159657
Bundesliga,2019,16.152055252780954
Bundesliga,2020,15.112324537978145
Bundesliga,2021,14.830303722335968
Bundesliga,2022,13.882913747396369
Bundesliga,2023,18.740487783217947
Bundesliga,2024,15.362291495737217
La Liga,2000,12.500421045540406
La Liga,2001,10.630022032952354
La Liga,2002,12.752192793893585
La Liga,2003,12.50210508590243
La Liga,2005,14.671400751121215
La Liga,2007,14.246975671681122
La Liga,2008,14.517774949133363
La Liga,2009,18.597891787709937
La Liga,2010,16.769254447853136
La Liga,2011,16.74294824066161
La Liga,2012,17.74853589217403
La Liga,2013,18.28747054535888
La Liga,2014,20.81364683895741
La Liga,2015,18.103212858204856
La Liga,2016,20.625673832692883
La Liga,2017,18.22693206855116
La Liga,2018,13.907589749182966
La Liga,2019,16.130634470505264
La Liga,2020,17.839857799763685
La Liga,2021,15.240096007433468
La Liga,2022,15.882711554258902
La Liga,2023,20.36838365289644
La Liga,2024,17.89817691392352
Premier League,2001,16.687451951438817
Premier League,2002,15.322841566896479
Premier League,2005,18.6103395144233
Premier League,2006,15.85095049449551
Premier League,2007,19.735087641318607
Premier League,2008,18.236097805119787
Premier League,2009,18.144449637053718
Premier League,2010,12.77940365958979
Premier League,2011,17.43944410026638
Premier League,2012,17.818972739012874
Premier League,2013,19.273379514105372
Premier League,2014,16.349070470921518
Premier League,2015,15.438417562758987
Premier League,2016,19.85102410191315
Premier League,2017,19.170907234936127
Premier League,2018,21.007454817153278
Premier League,2019,17.77461229127834
Premier League,2020,16.887475895031297
Premier League,2021,19.34561013715896
Premier League,2022,18.1898612592724
Premier League,2023,20.227391537740417
Premier League,2024,18.576371522645875
Serie A,2000,14.26179136050088
Serie A,2001,14.940076383771979
Serie A,2002,14.19564510225869
Serie A,2005,19.258354304724882
Serie A,2006,17.342069323499214
Serie A,2007,15.642048593791234
Serie A,2008,15.562691554517567
Serie A,2009,14.735921023846887
Serie A,2010,14.89356978875889
Serie A,2011,14.759385952139422
Serie A,2012,16.61514844636475
Serie A,2013,19.44898860853019
Serie A,2014,15.434070309409288
Serie A,2015,17.247043987761764
Serie A,2016,20.56056521852605
Serie A,2017,20.55102763469762
Serie A,2018,18.07120419486846
Serie A,2019,18.393004963271974
Serie A,2020,20.696490930640994
Serie A,2021,18.461624493726664
Serie A,2022,18.433379334354576
Serie A,2023,18.700970985204854
Serie A,2024,18.916436740236474
