,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches
0,La Liga,2000,0.261,376,73,0.551,280
1,La Liga,2001,0.321,300,71,0.5,221
2,La Liga,2002,0.345,379,95,0.475,275
3,La Liga,2003,0.368,375,103,0.472,280
4,La Liga,2005,0.342,380,94,0.476,275
5,La Liga,2007,0.341,380,100,0.508,293
6,La Liga,2008,0.269,380,80,0.571,297
7,La Liga,2009,0.225,380,64,0.582,285
8,La Liga,2010,0.233,380,70,0.608,301
9,La Liga,2011,0.287,380,82,0.537,286
10,La Liga,2012,0.291,380,86,0.553,296
11,La Liga,2013,0.306,380,90,0.537,294
12,La Liga,2014,0.256,380,74,0.566,289
13,La Liga,2015,0.278,380,80,0.547,288
14,La Liga,2016,0.234,380,68,0.587,291
15,La Liga,2017,0.289,380,85,0.55,294
16,La Liga,2018,0.315,380,85,0.487,270
17,La Liga,2019,0.291,380,80,0.513,275
18,La Liga,2020,0.251,380,68,0.534,271
19,La Liga,2021,0.268,380,72,0.518,269
20,La Liga,2022,0.282,380,82,0.55,291
21,La Liga,2023,0.227,380,62,0.555,273
22,La Liga,2024,0.258,380,73,0.553,283
