,league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
0,La Liga,ALM,0.32,0.208,0.259,33,26,59,152,152,304,0.461,0.651,0.556
1,La Liga,OSA,0.331,0.28,0.305,84,72,156,357,356,713,0.476,0.52,0.498
2,La Liga,HERC,0.429,0.125,0.267,6,2,8,19,19,38,0.421,0.737,0.579
3,La Liga,GET,0.318,0.278,0.298,78,70,148,342,342,684,0.488,0.532,0.51
4,La Liga,ATHM,0.148,0.313,0.226,48,91,139,399,399,798,0.692,0.501,0.596
5,La Liga,EIB,0.333,0.333,0.333,34,31,65,133,133,266,0.511,0.466,0.489
6,La Liga,REC,0.289,0.25,0.268,11,11,22,57,57,114,0.474,0.579,0.526
7,La Liga,MALL,0.312,0.31,0.311,68,70,138,299,299,598,0.502,0.522,0.512
8,La Liga,VLLD,0.37,0.209,0.285,64,41,105,262,262,524,0.416,0.592,0.504
9,La Liga,ALA,0.376,0.27,0.321,62,48,110,224,224,448,0.46,0.58,0.52
10,La Liga,ZAR,0.383,0.224,0.3,44,28,72,166,167,333,0.428,0.581,0.505
11,La Liga,BET,0.32,0.337,0.329,81,89,170,356,356,712,0.483,0.492,0.487
12,La Liga,ATHB,0.273,0.278,0.275,88,85,173,433,433,866,0.54,0.51,0.525
13,La Liga,VLC,0.259,0.343,0.3,84,108,192,433,432,865,0.554,0.479,0.517
14,La Liga,XER,0.2,0.154,0.179,3,2,5,19,19,38,0.632,0.579,0.605
15,La Liga,GRA,0.353,0.211,0.278,49,32,81,190,190,380,0.474,0.632,0.553
16,La Liga,BARC,0.112,0.246,0.175,42,81,123,433,433,866,0.769,0.573,0.671
17,La Liga,CAD,0.293,0.269,0.28,17,18,35,95,95,190,0.432,0.516,0.474
18,La Liga,LAC,0.321,0.301,0.312,63,56,119,261,261,522,0.51,0.498,0.504
19,La Liga,RSO,0.315,0.319,0.317,87,92,179,374,376,750,0.505,0.521,0.513
20,La Liga,SPG,0.33,0.209,0.27,29,18,47,114,114,228,0.518,0.596,0.557
21,La Liga,LEVA,0.395,0.254,0.322,64,45,109,228,228,456,0.43,0.579,0.504
22,La Liga,COR,0.231,0.143,0.185,3,2,5,19,19,38,0.526,0.632,0.579
23,La Liga,VIL,0.237,0.391,0.314,72,119,191,413,414,827,0.562,0.447,0.504
24,La Liga,MUR,0.538,0.034,0.273,14,1,15,37,38,75,0.324,0.737,0.533
25,La Liga,ESP,0.354,0.257,0.306,105,74,179,395,394,789,0.486,0.543,0.515
26,La Liga,GIR,0.282,0.333,0.306,22,23,45,95,95,190,0.589,0.484,0.537
27,La Liga,SEV,0.228,0.342,0.283,74,105,179,414,414,828,0.606,0.488,0.547
28,La Liga,HUE,0.24,0.192,0.216,6,5,11,38,38,76,0.5,0.553,0.526
29,La Liga,MLG,0.311,0.291,0.301,65,62,127,281,281,562,0.512,0.537,0.525
30,La Liga,LEG,0.397,0.224,0.311,27,15,42,95,95,190,0.432,0.547,0.489
31,La Liga,OVI,0.231,0.118,0.167,3,2,5,19,19,38,0.526,0.789,0.658
32,La Liga,ELC,0.281,0.216,0.246,18,16,34,95,95,190,0.484,0.611,0.547
33,La Liga,RMA,0.109,0.246,0.175,41,84,125,433,431,864,0.771,0.596,0.684
34,La Liga,RAYO,0.38,0.299,0.34,70,56,126,243,243,486,0.469,0.539,0.504
35,La Liga,TEN,0.333,0.143,0.231,8,4,12,34,34,68,0.471,0.706,0.588
36,La Liga,ALB,0.471,0.308,0.4,8,4,12,19,19,38,0.474,0.474,0.474
37,La Liga,LASP,0.316,0.186,0.249,30,19,49,129,129,258,0.504,0.643,0.574
38,La Liga,NUM,0.3,0.094,0.194,9,3,12,38,38,76,0.553,0.763,0.658
39,La Liga,CEL,0.287,0.355,0.322,71,91,162,337,336,673,0.522,0.491,0.507
40,La Liga,SAN,0.419,0.29,0.355,52,36,88,170,171,341,0.424,0.515,0.469
