,league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
0,Premier League,BIR,0.317,0.216,0.261,19,16,35,95,95,190,0.432,0.611,0.521
1,Premier League,CHA,0.315,0.241,0.278,17,13,30,70,74,144,0.529,0.554,0.542
2,Premier League,CARD,0.387,0.219,0.302,12,7,19,38,38,76,0.5,0.658,0.579
3,Premier League,LEE,0.323,0.28,0.3,21,21,42,91,89,180,0.484,0.607,0.544
4,Premier League,WIG,0.308,0.289,0.298,33,35,68,152,152,304,0.487,0.566,0.526
5,Premier League,BOLN,0.302,0.267,0.283,35,35,70,166,167,333,0.488,0.575,0.532
6,Premier League,FUL,0.294,0.23,0.264,69,48,117,300,300,600,0.553,0.537,0.545
7,Premier League,MANU,0.192,0.259,0.224,66,81,147,415,413,828,0.67,0.562,0.616
8,Premier League,WBA,0.359,0.264,0.312,61,43,104,228,228,456,0.478,0.526,0.502
9,Premier League,BOU,0.363,0.287,0.323,41,35,76,152,152,304,0.474,0.572,0.523
10,Premier League,BUR,0.349,0.258,0.304,45,33,78,171,171,342,0.491,0.556,0.523
11,Premier League,LEIC,0.312,0.299,0.306,50,46,96,205,204,409,0.537,0.529,0.533
12,Premier League,SHU,0.323,0.148,0.236,20,9,29,76,76,152,0.553,0.684,0.618
13,Premier League,NOR,0.262,0.167,0.213,22,15,37,114,114,228,0.544,0.658,0.601
14,Premier League,EVE,0.31,0.327,0.318,96,93,189,414,414,828,0.517,0.461,0.489
15,Premier League,SOU,0.33,0.298,0.313,62,59,121,263,262,525,0.479,0.531,0.505
16,Premier League,WAT,0.33,0.239,0.282,32,26,58,133,133,266,0.489,0.624,0.556
17,Premier League,NOTF,0.366,0.2,0.279,15,9,24,57,57,114,0.456,0.632,0.544
18,Premier League,AVL,0.279,0.319,0.299,72,84,156,357,358,715,0.521,0.5,0.51
19,Premier League,HUD,0.267,0.138,0.203,8,4,12,38,38,76,0.579,0.658,0.618
20,Premier League,ARS,0.139,0.293,0.213,46,91,137,415,413,828,0.687,0.533,0.61
21,Premier League,WHU,0.341,0.299,0.32,102,89,191,397,394,791,0.496,0.53,0.513
22,Premier League,MID,0.393,0.229,0.308,35,22,57,129,128,257,0.419,0.578,0.498
23,Premier League,WOLV,0.373,0.322,0.348,56,46,102,190,190,380,0.495,0.511,0.503
24,Premier League,LUT,0.333,0.133,0.233,5,2,7,19,19,38,0.526,0.684,0.605
25,Premier League,BLPL,0.5,0.333,0.414,7,5,12,19,19,38,0.368,0.526,0.447
26,Premier League,LIVP,0.138,0.297,0.218,43,94,137,414,414,828,0.65,0.539,0.594
27,Premier League,CHE,0.151,0.294,0.223,48,95,143,414,415,829,0.65,0.549,0.6
28,Premier League,SWA,0.312,0.269,0.29,30,28,58,133,133,266,0.496,0.571,0.534
29,Premier League,QPR,0.41,0.143,0.261,16,7,23,57,57,114,0.404,0.737,0.57
30,Premier League,POR,0.29,0.27,0.28,20,20,40,95,95,190,0.516,0.568,0.542
31,Premier League,DER,0.346,0.1,0.214,9,3,12,34,34,68,0.5,0.794,0.647
32,Premier League,BRNT,0.309,0.288,0.298,17,17,34,76,76,152,0.5,0.553,0.526
33,Premier League,TOT,0.24,0.301,0.269,81,93,174,413,414,827,0.622,0.522,0.572
34,Premier League,SUN,0.354,0.226,0.288,62,42,104,242,243,485,0.467,0.593,0.53
35,Premier League,NEW,0.301,0.313,0.307,85,91,176,375,375,750,0.525,0.533,0.529
36,Premier League,HUL,0.338,0.169,0.254,24,12,36,95,95,190,0.495,0.621,0.558
37,Premier League,MANC,0.169,0.272,0.219,58,86,144,399,399,798,0.714,0.576,0.645
38,Premier League,STO,0.36,0.267,0.314,49,36,85,190,190,380,0.458,0.521,0.489
39,Premier League,BLBN,0.289,0.312,0.301,35,40,75,166,167,333,0.518,0.527,0.523
40,Premier League,REA,0.333,0.174,0.253,15,8,23,57,57,114,0.526,0.667,0.596
41,Premier League,IPS,0.222,0.24,0.231,6,6,12,33,35,68,0.636,0.543,0.588
42,Premier League,BHA,0.439,0.324,0.379,43,35,78,152,152,304,0.362,0.48,0.421
43,Premier League,CRY,0.281,0.331,0.306,48,56,104,228,228,456,0.539,0.496,0.518
