season,team,points,wins,draws,losses,rank
2004,BAY,55,15,10,9,1
2004,MAI,53,14,11,9,2
2004,BIE,52,14,10,10,3
2004,HERT,52,13,13,8,4
2004,FRE,47,10,17,7,5
2004,LEVK,47,12,11,11,6
2004,WERB,47,12,11,11,7
2004,BOC,46,11,13,10,8
2004,KAI,45,11,12,11,9
2004,HANR,44,11,11,12,10
2004,HAM,43,9,16,9,11
2004,NUR,43,11,10,13,12
2004,SCH,42,9,15,10,13
2004,DOR,41,9,14,11,14
2004,WOB,41,11,8,15,15
2004,M'G,39,9,12,13,16
2004,STU,38,9,11,14,17
2004,HAN,35,8,11,15,18
2005,EINF,59,16,11,7,1
2005,KAI,55,16,7,11,2
2005,WOB,54,15,9,10,3
2005,BAY,53,13,14,7,4
2005,DOR,52,13,13,8,5
2005,WERB,52,14,10,10,6
2005,M'G,49,13,10,11,7
2005,HAM,48,12,12,10,8
2005,HERT,48,13,9,12,9
2005,LEVK,45,9,18,7,10
2005,DUI,44,11,11,12,11
2005,KOL,44,12,8,14,12
2005,MAI,40,11,7,16,13
2005,SCH,40,10,10,14,14
2005,STU,38,9,11,14,15
2005,NUR,36,9,9,16,16
2005,HAN,33,7,12,15,17
2005,BIE,32,7,11,16,18
2006,DOR,62,16,14,4,1
2006,M'G,57,14,15,5,2
2006,COT,54,14,12,8,3
2006,HERT,51,14,9,11,4
2006,NUR,50,13,11,10,5
2006,AAC,49,13,10,11,6
2006,SCH,48,13,9,12,7
2006,HAM,45,10,15,9,8
2006,HAN,45,12,9,13,9
2006,BAY,43,10,13,11,10
2006,LEVK,43,11,10,13,11
2006,BOC,42,11,9,14,12
2006,STU,42,11,9,14,13
2006,BIE,41,12,5,17,14
2006,EINF,40,10,10,14,15
2006,MAI,38,8,14,12,16
2006,WOB,35,8,11,15,17
2006,WERB,33,6,15,13,18
2007,HAN,63,18,9,7,1
2007,BAY,58,15,13,6,2
2007,NUR,57,15,12,7,3
2007,HANR,54,15,9,10,4
2007,WOB,53,15,8,11,5
2007,DOR,52,15,7,12,6
2007,EINF,49,13,10,11,7
2007,KAR,49,12,13,9,8
2007,HAM,48,13,9,12,9
2007,HERT,46,10,16,8,10
2007,STU,43,9,16,9,11
2007,COT,42,11,9,14,12
2007,BIE,37,8,13,13,13
2007,BOC,37,9,10,15,14
2007,SCH,34,8,10,16,15
2007,WERB,34,9,7,18,16
2007,DUI,33,7,12,15,17
2007,LEVK,33,8,9,17,18
2008,HOF,60,16,12,6,1
2008,WERB,57,15,12,7,2
2008,DOR,56,15,11,8,3
2008,EINF,51,14,9,11,4
2008,BIE,49,12,13,9,5
2008,WOB,49,13,10,11,6
2008,BAY,46,12,10,12,7
2008,HAM,46,11,13,10,8
2008,KOL,46,12,10,12,9
2008,HAN,42,10,12,12,10
2008,KAR,42,10,12,12,11
2008,COT,41,9,14,11,12
2008,HERT,40,10,10,14,13
2008,SCH,40,9,13,12,14
2008,BOC,39,9,12,13,15
2008,STU,38,9,11,14,16
2008,M'G,36,7,15,12,17
2008,LEVK,33,6,15,13,18
2009,NUR,58,16,10,8,1
2009,M'G,54,15,9,10,2
2009,STU,52,14,10,10,3
2009,HAM,51,14,9,11,4
2009,HOF,51,12,15,7,5
2009,LEVK,48,11,15,8,6
2009,BOC,47,11,14,9,7
2009,WERB,47,12,11,11,8
2009,KOL,45,12,9,13,9
2009,MAI,44,10,14,10,10
2009,BAY,43,9,16,9,11
2009,HAN,43,11,10,13,12
2009,EINF,42,9,15,10,13
2009,FRE,42,10,12,12,14
2009,WOB,37,9,10,15,15
2009,DOR,36,7,15,12,16
2009,SCH,36,9,9,16,17
2009,HERT,34,7,13,14,18
2010,KAI,59,17,8,9,1
2010,SCH,55,15,10,9,2
2010,HAM,54,14,12,8,3
2010,DOR,52,14,10,10,4
2010,M'G,49,12,13,9,5
2010,NUR,49,11,16,7,6
2010,EINF,47,12,11,11,7
2010,FRE,46,13,7,14,8
2010,MAI,46,11,13,10,9
2010,LEVK,45,13,6,15,10
2010,HAN,44,11,11,12,11
2010,STP,43,12,7,15,12
2010,STU,42,9,15,10,13
2010,KOL,41,10,11,13,14
2010,WOB,40,10,10,14,15
2010,BAY,39,10,9,15,16
2010,WERB,38,9,11,14,17
2010,HOF,32,6,14,14,18
2011,AUG,59,16,11,7,1
2011,KOL,54,14,12,8,2
2011,DOR,53,13,14,7,3
2011,MAI,49,13,10,11,4
2011,SCH,49,13,10,11,5
2011,STU,49,12,13,9,6
2011,HAN,47,12,11,11,7
2011,HOF,46,12,10,12,8
2011,KAI,45,9,18,7,9
2011,FRE,44,11,11,12,10
2011,HAM,44,12,8,14,11
2011,HERT,44,10,14,10,12
2011,M'G,43,11,10,13,13
2011,LEVK,41,9,14,11,14
2011,WERB,39,9,12,13,15
2011,WOB,38,8,14,12,16
2011,NUR,35,9,8,17,17
2011,BAY,34,8,10,16,18
