season,team,points,wins,draws,losses,rank
2000,CEL,66,19,9,10,1
2000,BARC,63,16,15,7,2
2000,RMA,63,16,15,7,3
2000,OSA,61,17,10,11,4
2000,ALA,60,17,9,12,5
2000,NUM,56,15,11,12,6
2000,RSO,55,13,16,9,7
2000,VIL,54,15,9,14,8
2000,MALL,51,12,15,11,9
2000,VLC,51,13,12,13,10
2000,ATHB,49,11,16,11,11
2000,LASP,47,11,14,13,12
2000,VLLD,46,10,16,12,13
2000,ZAR,46,9,19,10,14
2000,RAYO,45,12,9,17,15
2000,SAN,45,9,18,11,16
2000,OVI,42,10,12,16,17
2000,LAC,36,7,15,16,18
2000,ESP,35,7,14,17,19
2000,MLG,34,6,16,16,20
2001,BARC,63,17,12,9,1
2001,ALA,60,15,15,8,2
2001,ZAR,57,14,15,9,3
2001,VLC,56,16,8,14,4
2001,SEV,55,14,13,11,5
2001,VIL,54,14,12,12,6
2001,ATHB,53,12,17,9,7
2001,LAC,53,13,14,11,8
2001,RMA,52,13,13,12,9
2001,MALL,51,13,12,13,10
2001,VLLD,50,13,11,14,11
2001,OSA,49,12,13,13,12
2001,RAYO,49,14,7,17,13
2001,RSO,48,12,12,14,14
2001,BET,47,12,11,15,15
2001,TEN,46,11,13,14,16
2001,CEL,45,10,15,13,17
2001,LASP,45,11,12,15,18
2001,ESP,43,10,13,15,19
2001,MLG,38,8,14,16,20
2002,MALL,64,17,13,8,1
2002,REC,61,17,10,11,2
2002,ATHM,60,16,12,10,3
2002,OSA,60,18,6,14,4
2002,ALA,59,16,11,11,5
2002,MLG,59,15,14,9,6
2002,VIL,54,11,21,6,7
2002,RMA,53,13,14,11,8
2002,VLLD,53,13,14,11,9
2002,ATHB,51,14,9,15,10
2002,SEV,51,12,15,11,11
2002,RSO,49,12,13,13,12
2002,ESP,46,10,16,12,13
2002,LAC,45,11,12,15,14
2002,VLC,45,11,12,15,15
2002,SAN,44,11,11,16,16
2002,BARC,43,11,10,17,17
2002,RAYO,41,9,14,15,18
2002,CEL,39,9,12,17,19
2002,BET,38,9,11,18,20
2003,VLLD,65,18,11,9,1
2003,BET,59,17,8,13,2
2003,MUR,58,14,16,8,3
2003,RMA,58,15,13,10,4
2003,ATHB,57,16,9,13,5
2003,ESP,55,14,13,11,6
2003,VLC,54,14,12,12,7
2003,MLG,53,15,8,15,8
2003,SAN,52,13,13,12,9
2003,SEV,52,13,13,12,10
2003,MALL,50,12,14,12,11
2003,LAC,49,13,10,15,12
2003,RSO,49,11,16,11,13
2003,ZAR,49,13,10,15,14
2003,ATHM,47,11,14,13,15
2003,ALB,45,11,12,15,16
2003,BARC,44,9,17,12,17
2003,CEL,44,8,20,10,18
2003,VIL,39,8,15,15,19
2003,OSA,32,6,14,18,20
2005,ATHM,65,17,14,7,1
2005,MLG,64,17,13,8,2
2005,BET,60,17,9,12,3
2005,LAC,59,15,14,9,4
2005,MALL,57,16,9,13,5
2005,CAD,54,14,12,12,6
2005,RSO,54,13,15,10,7
2005,SAN,53,12,17,9,8
2005,VLC,53,14,11,13,9
2005,BARC,52,13,13,12,10
2005,VIL,50,13,11,14,11
2005,ZAR,48,11,15,12,12
2005,OSA,47,12,11,15,13
2005,RMA,47,11,14,13,14
2005,ALA,42,9,15,14,15
2005,SEV,42,8,18,12,16
2005,ESP,41,9,14,15,17
2005,GET,41,10,11,17,18
2005,ATHB,40,8,16,14,19
2005,CEL,38,8,14,16,20
2007,LEVA,59,15,14,9,1
2007,SEV,59,16,11,11,2
2007,VLLD,58,14,16,8,3
2007,SAN,56,14,14,10,4
2007,RMA,55,13,16,9,5
2007,ATHM,54,14,12,12,6
2007,REC,53,11,20,7,7
2007,ESP,52,13,13,12,8
2007,VLC,52,13,13,12,9
2007,LAC,51,12,15,11,10
2007,ATHB,50,13,11,14,11
2007,VIL,49,12,13,13,12
2007,GET,47,13,8,17,13
2007,ALM,46,11,13,14,14
2007,BET,45,9,18,11,15
2007,MUR,45,10,15,13,16
2007,BARC,44,10,14,14,17
2007,OSA,44,10,14,14,18
2007,ZAR,43,10,13,15,19
2007,MALL,38,7,17,14,20
2008,OSA,68,20,8,10,1
2008,BET,66,19,9,10,2
2008,ATHB,64,18,10,10,3
2008,BARC,63,16,15,7,4
2008,VLLD,63,17,12,9,5
2008,GET,58,16,10,12,6
2008,NUM,56,15,11,12,7
2008,MLG,52,14,10,14,8
2008,SAN,50,10,20,8,9
2008,VIL,50,12,14,12,10
2008,LAC,49,12,13,13,11
2008,ALM,46,12,10,16,12
2008,RMA,46,11,13,14,13
2008,MALL,45,10,15,13,14
2008,REC,42,9,15,14,15
2008,SPG,42,9,15,14,16
2008,ESP,40,7,19,12,17
2008,VLC,38,7,17,14,18
2008,ATHM,34,6,16,16,19
2008,SEV,32,4,20,14,20
2009,LAC,68,20,8,10,1
2009,MLG,60,16,12,10,2
2009,SEV,60,17,9,12,3
2009,XER,60,17,9,12,4
2009,SPG,58,16,10,12,5
2009,ATHB,56,15,11,12,6
2009,OSA,55,16,7,15,7
2009,TEN,55,13,16,9,8
2009,ATHM,53,15,8,15,9
2009,VIL,52,13,13,12,10
2009,MALL,51,13,12,13,11
2009,GET,50,12,14,12,12
2009,SAN,50,12,14,12,13
2009,VLC,48,13,9,16,14
2009,ALM,47,10,17,11,15
2009,BARC,46,12,10,16,16
2009,RMA,44,12,8,18,17
2009,ESP,43,11,10,17,18
2009,ZAR,38,8,14,16,19
