team,season,first_half_points,second_half_points,league
BAY,2004,100.0,100.0,Bundesliga
BIE,2004,29.411764705882355,29.411764705882355,Bundesliga
BOC,2004,11.764705882352942,11.764705882352942,Bundesliga
DOR,2004,64.70588235294117,64.70588235294117,Bundesliga
FRE,2004,0.0,0.0,Bundesliga
HAM,2004,58.82352941176471,58.82352941176471,Bundesliga
HAN,2004,47.05882352941177,47.05882352941177,Bundesliga
HANR,2004,5.882352941176471,5.882352941176471,Bundesliga
HERT,2004,82.3529411764706,82.3529411764706,Bundesliga
KAI,2004,35.294117647058826,35.294117647058826,Bundesliga
LEVK,2004,70.58823529411765,70.58823529411765,Bundesliga
M'G,2004,17.647058823529413,17.647058823529413,Bundesliga
MAI,2004,41.1764705882353,41.1764705882353,Bundesliga
NUR,2004,23.529411764705884,23.529411764705884,Bundesliga
SCH,2004,94.11764705882354,94.11764705882354,Bundesliga
STU,2004,76.47058823529412,76.47058823529412,Bundesliga
WERB,2004,88.23529411764706,88.23529411764706,Bundesliga
WOB,2004,52.94117647058824,52.94117647058824,Bundesliga
BAY,2005,100.0,100.0,Bundesliga
BIE,2005,29.411764705882355,29.411764705882355,Bundesliga
DOR,2005,64.70588235294117,64.70588235294117,Bundesliga
DUI,2005,0.0,0.0,Bundesliga
EINF,2005,23.529411764705884,23.529411764705884,Bundesliga
HAM,2005,88.23529411764706,88.23529411764706,Bundesliga
HAN,2005,35.294117647058826,35.294117647058826,Bundesliga
HERT,2005,70.58823529411765,70.58823529411765,Bundesliga
KAI,2005,11.764705882352942,11.764705882352942,Bundesliga
KOL,2005,5.882352941176471,5.882352941176471,Bundesliga
LEVK,2005,76.47058823529412,76.47058823529412,Bundesliga
M'G,2005,47.05882352941177,47.05882352941177,Bundesliga
MAI,2005,41.1764705882353,41.1764705882353,Bundesliga
NUR,2005,58.82352941176471,58.82352941176471,Bundesliga
SCH,2005,82.3529411764706,82.3529411764706,Bundesliga
STU,2005,52.94117647058824,52.94117647058824,Bundesliga
WERB,2005,94.11764705882354,94.11764705882354,Bundesliga
WOB,2005,17.647058823529413,17.647058823529413,Bundesliga
AAC,2006,5.882352941176471,5.882352941176471,Bundesliga
BAY,2006,82.3529411764706,82.3529411764706,Bundesliga
BIE,2006,35.294117647058826,35.294117647058826,Bundesliga
BOC,2006,58.82352941176471,58.82352941176471,Bundesliga
COT,2006,29.411764705882355,29.411764705882355,Bundesliga
DOR,2006,52.94117647058824,52.94117647058824,Bundesliga
EINF,2006,23.529411764705884,23.529411764705884,Bundesliga
HAM,2006,64.70588235294117,64.70588235294117,Bundesliga
HAN,2006,41.1764705882353,41.1764705882353,Bundesliga
HERT,2006,47.05882352941177,47.05882352941177,Bundesliga
LEVK,2006,76.47058823529412,76.47058823529412,Bundesliga
M'G,2006,0.0,0.0,Bundesliga
MAI,2006,11.764705882352942,11.764705882352942,Bundesliga
NUR,2006,70.58823529411765,70.58823529411765,Bundesliga
SCH,2006,94.11764705882354,94.11764705882354,Bundesliga
STU,2006,100.0,100.0,Bundesliga
WERB,2006,88.23529411764706,88.23529411764706,Bundesliga
WOB,2006,17.647058823529413,17.647058823529413,Bundesliga
BAY,2007,100.0,100.0,Bundesliga
BIE,2007,17.647058823529413,17.647058823529413,Bundesliga
BOC,2007,35.294117647058826,35.294117647058826,Bundesliga
COT,2007,23.529411764705884,23.529411764705884,Bundesliga
DOR,2007,29.411764705882355,29.411764705882355,Bundesliga
DUI,2007,0.0,0.0,Bundesliga
EINF,2007,52.94117647058824,52.94117647058824,Bundesliga
HAM,2007,82.3529411764706,82.3529411764706,Bundesliga
HAN,2007,58.82352941176471,58.82352941176471,Bundesliga
HANR,2007,5.882352941176471,5.882352941176471,Bundesliga
HERT,2007,47.05882352941177,47.05882352941177,Bundesliga
KAR,2007,41.1764705882353,41.1764705882353,Bundesliga
LEVK,2007,64.70588235294117,64.70588235294117,Bundesliga
NUR,2007,11.764705882352942,11.764705882352942,Bundesliga
SCH,2007,88.23529411764706,88.23529411764706,Bundesliga
STU,2007,70.58823529411765,70.58823529411765,Bundesliga
WERB,2007,94.11764705882354,94.11764705882354,Bundesliga
WOB,2007,76.47058823529412,76.47058823529412,Bundesliga
BAY,2008,94.11764705882354,94.11764705882354,Bundesliga
BIE,2008,0.0,0.0,Bundesliga
BOC,2008,23.529411764705884,23.529411764705884,Bundesliga
COT,2008,11.764705882352942,11.764705882352942,Bundesliga
DOR,2008,70.58823529411765,70.58823529411765,Bundesliga
EINF,2008,29.411764705882355,29.411764705882355,Bundesliga
HAM,2008,76.47058823529412,76.47058823529412,Bundesliga
HAN,2008,41.1764705882353,41.1764705882353,Bundesliga
HERT,2008,82.3529411764706,82.3529411764706,Bundesliga
HOF,2008,64.70588235294117,64.70588235294117,Bundesliga
KAR,2008,5.882352941176471,5.882352941176471,Bundesliga
KOL,2008,35.294117647058826,35.294117647058826,Bundesliga
LEVK,2008,52.94117647058824,52.94117647058824,Bundesliga
M'G,2008,17.647058823529413,17.647058823529413,Bundesliga
SCH,2008,58.82352941176471,58.82352941176471,Bundesliga
STU,2008,88.23529411764706,88.23529411764706,Bundesliga
WERB,2008,47.05882352941177,47.05882352941177,Bundesliga
WOB,2008,100.0,100.0,Bundesliga
BAY,2009,100.0,100.0,Bundesliga
BOC,2009,5.882352941176471,5.882352941176471,Bundesliga
DOR,2009,76.47058823529412,76.47058823529412,Bundesliga
EINF,2009,47.05882352941177,47.05882352941177,Bundesliga
FRE,2009,23.529411764705884,23.529411764705884,Bundesliga
HAM,2009,64.70588235294117,64.70588235294117,Bundesliga
HAN,2009,17.647058823529413,17.647058823529413,Bundesliga
HERT,2009,0.0,0.0,Bundesliga
HOF,2009,41.1764705882353,41.1764705882353,Bundesliga
KOL,2009,29.411764705882355,29.411764705882355,Bundesliga
LEVK,2009,82.3529411764706,82.3529411764706,Bundesliga
M'G,2009,35.294117647058826,35.294117647058826,Bundesliga
MAI,2009,52.94117647058824,52.94117647058824,Bundesliga
NUR,2009,11.764705882352942,11.764705882352942,Bundesliga
SCH,2009,94.11764705882354,94.11764705882354,Bundesliga
STU,2009,70.58823529411765,70.58823529411765,Bundesliga
WERB,2009,88.23529411764706,88.23529411764706,Bundesliga
WOB,2009,58.82352941176471,58.82352941176471,Bundesliga
BAY,2010,88.23529411764706,88.23529411764706,Bundesliga
DOR,2010,100.0,100.0,Bundesliga
EINF,2010,5.882352941176471,5.882352941176471,Bundesliga
FRE,2010,52.94117647058824,52.94117647058824,Bundesliga
HAM,2010,58.82352941176471,58.82352941176471,Bundesliga
HAN,2010,82.3529411764706,82.3529411764706,Bundesliga
HOF,2010,41.1764705882353,41.1764705882353,Bundesliga
KAI,2010,64.70588235294117,64.70588235294117,Bundesliga
KOL,2010,47.05882352941177,47.05882352941177,Bundesliga
LEVK,2010,94.11764705882354,94.11764705882354,Bundesliga
M'G,2010,11.764705882352942,11.764705882352942,Bundesliga
MAI,2010,76.47058823529412,76.47058823529412,Bundesliga
