,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches
0,Bundesliga,2004,0.32,306,77,0.536,241
1,Bundesliga,2005,0.3,306,63,0.48,210
2,Bundesliga,2006,0.339,306,77,0.49,227
3,Bundesliga,2007,0.307,306,70,0.516,228
4,Bundesliga,2008,0.272,306,63,0.552,232
5,Bundesliga,2009,0.295,306,65,0.507,220
6,Bundesliga,2010,0.321,306,78,0.539,243
7,Bundesliga,2011,0.286,306,65,0.529,227
8,Bundesliga,2012,0.276,306,63,0.539,228
9,Bundesliga,2013,0.264,306,64,0.582,242
10,Bundesliga,2014,0.344,306,77,0.48,224
11,Bundesliga,2015,0.306,306,72,0.533,235
12,Bundesliga,2016,0.302,306,70,0.529,232
13,Bundesliga,2017,0.287,306,64,0.52,223
14,Bundesliga,2018,0.227,306,53,0.588,233
15,Bundesliga,2019,0.303,306,72,0.542,238
16,Bundesliga,2020,0.289,306,65,0.523,225
17,Bundesliga,2021,0.296,306,69,0.536,233
18,Bundesliga,2022,0.299,306,69,0.529,231
19,Bundesliga,2023,0.236,306,53,0.562,225
20,Bundesliga,2024,0.285,306,65,0.533,228
