,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches
0,La Liga,2000,0.324,380,91,0.5,281
1,La Liga,2001,0.373,380,104,0.461,279
2,La Liga,2002,0.36,380,99,0.463,275
3,La Liga,2003,0.316,380,90,0.513,285
4,La Liga,2005,0.316,380,87,0.495,275
5,La Liga,2007,0.321,380,94,0.524,293
6,La Liga,2008,0.32,380,95,0.532,297
7,La Liga,2009,0.305,380,87,0.521,285
8,La Liga,2010,0.306,380,92,0.55,301
9,La Liga,2011,0.339,380,97,0.497,286
10,La Liga,2012,0.294,380,87,0.55,296
11,La Liga,2013,0.276,380,81,0.561,294
12,La Liga,2014,0.256,380,74,0.566,289
13,La Liga,2015,0.302,380,87,0.529,288
14,La Liga,2016,0.237,380,69,0.584,291
15,La Liga,2017,0.265,380,78,0.568,294
16,La Liga,2018,0.322,380,87,0.482,270
17,La Liga,2019,0.262,380,72,0.534,275
18,La Liga,2020,0.244,380,66,0.539,271
19,La Liga,2021,0.253,380,68,0.529,269
20,La Liga,2022,0.313,380,91,0.526,291
21,La Liga,2023,0.234,380,64,0.55,273
22,La Liga,2024,0.258,380,73,0.553,283
