league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
La Liga,ALA,0.39473684210526316,0.3333333333333333,0.36403508771929827,90.0,76.0,166.0,228,228,456,0.47368421052631576,0.5614035087719298,0.5175438596491229
La Liga,ALB,0.3157894736842105,0.3684210526315789,0.34210526315789475,6.0,7.0,13.0,19,19,38,0.631578947368421,0.47368421052631576,0.5526315789473685
La Liga,ALM,0.39144736842105265,0.29276315789473684,0.34210526315789475,59.5,44.5,104.0,152,152,304,0.4473684210526316,0.618421052631579,0.5328947368421053
La Liga,ATHB,0.36498855835240274,0.3695652173913043,0.36727688787185353,159.5,161.5,321.0,437,437,874,0.505720823798627,0.4851258581235698,0.4954233409610984
La Liga,ATHM,0.21679197994987467,0.37092731829573933,0.29385964912280704,86.5,148.0,234.5,399,399,798,0.6892230576441103,0.49373433583959897,0.5914786967418546
La Liga,BARC,0.15560640732265446,0.28718535469107553,0.221395881006865,68.0,125.5,193.5,437,437,874,0.7757437070938215,0.5926773455377574,0.6842105263157895
La Liga,BET,0.3767313019390582,0.3587257617728532,0.36772853185595566,136.0,129.5,265.5,361,361,722,0.4792243767313019,0.5124653739612188,0.49584487534626037
La Liga,CAD,0.4052631578947368,0.30526315789473685,0.35526315789473684,38.5,29.0,67.5,95,95,190,0.4,0.5473684210526316,0.47368421052631576
La Liga,CEL,0.34649122807017546,0.3845029239766082,0.3654970760233918,118.5,131.5,250.0,342,342,684,0.52046783625731,0.49122807017543857,0.5058479532163743
La Liga,COR,0.21052631578947367,0.23684210526315788,0.2236842105263158,4.0,4.5,8.5,19,19,38,0.631578947368421,0.631578947368421,0.631578947368421
La Liga,EIB,0.38721804511278196,0.38345864661654133,0.38533834586466165,51.5,51.0,102.5,133,133,266,0.49624060150375937,0.46616541353383456,0.48120300751879697
La Liga,ELC,0.3736842105263158,0.2894736842105263,0.33157894736842103,35.5,27.5,63.0,95,95,190,0.4631578947368421,0.6,0.531578947368421
La Liga,ESP,0.40726817042606517,0.37092731829573933,0.3890977443609023,162.5,148.0,310.5,399,399,798,0.46867167919799496,0.49624060150375937,0.4824561403508772
La Liga,GET,0.4108187134502924,0.347953216374269,0.3793859649122807,140.5,119.0,259.5,342,342,684,0.4473684210526316,0.52046783625731,0.48391812865497075
La Liga,GIR,0.26842105263157895,0.37894736842105264,0.3236842105263158,25.5,36.0,61.5,95,95,190,0.6421052631578947,0.4842105263157895,0.5631578947368421
La Liga,GRA,0.3763157894736842,0.2631578947368421,0.31973684210526315,71.5,50.0,121.5,190,190,380,0.48947368421052634,0.6368421052631579,0.5631578947368421
La Liga,HERC,0.5526315789473685,0.18421052631578946,0.3684210526315789,10.5,3.5,14.0,19,19,38,0.3157894736842105,0.7368421052631579,0.5263157894736842
La Liga,HUE,0.4605263157894737,0.23684210526315788,0.34868421052631576,17.5,9.0,26.5,38,38,76,0.3684210526315789,0.6052631578947368,0.4868421052631579
La Liga,LAC,0.3815789473684211,0.37218045112781956,0.3768796992481203,101.5,99.0,200.5,266,266,532,0.4924812030075188,0.4849624060150376,0.48872180451127817
La Liga,LASP,0.41729323308270677,0.29699248120300753,0.35714285714285715,55.5,39.5,95.0,133,133,266,0.45112781954887216,0.6015037593984962,0.5263157894736842
La Liga,LEG,0.4052631578947368,0.29473684210526313,0.35,38.5,28.0,66.5,95,95,190,0.45263157894736844,0.5578947368421052,0.5052631578947369
La Liga,LEVA,0.4166666666666667,0.3092105263157895,0.36293859649122806,95.0,70.5,165.5,228,228,456,0.43859649122807015,0.5789473684210527,0.5087719298245614
La Liga,MALL,0.3782894736842105,0.41118421052631576,0.39473684210526316,115.0,125.0,240.0,304,304,608,0.4868421052631579,0.46710526315789475,0.4769736842105263
La Liga,MLG,0.356140350877193,0.3684210526315789,0.362280701754386,101.5,105.0,206.5,285,285,570,0.5157894736842106,0.5087719298245614,0.512280701754386
La Liga,MUR,0.4605263157894737,0.14473684210526316,0.3026315789473684,17.5,5.5,23.0,38,38,76,0.39473684210526316,0.7368421052631579,0.5657894736842105
La Liga,NUM,0.5263157894736842,0.18421052631578946,0.35526315789473684,20.0,7.0,27.0,38,38,76,0.3684210526315789,0.7368421052631579,0.5526315789473685
La Liga,OSA,0.3850415512465374,0.3684210526315789,0.3767313019390582,139.0,133.0,272.0,361,361,722,0.4709141274238227,0.4930747922437673,0.481994459833795
La Liga,OVI,0.5263157894736842,0.2631578947368421,0.39473684210526316,10.0,5.0,15.0,19,19,38,0.3157894736842105,0.6842105263157895,0.5
La Liga,RAYO,0.4230769230769231,0.34615384615384615,0.38461538461538464,104.5,85.5,190.0,247,247,494,0.4574898785425101,0.5384615384615384,0.4979757085020243
La Liga,REC,0.32456140350877194,0.34210526315789475,0.3333333333333333,18.5,19.5,38.0,57,57,114,0.5087719298245614,0.543859649122807,0.5263157894736842
La Liga,RMA,0.15331807780320367,0.2963386727688787,0.2248283752860412,67.0,129.5,196.5,437,437,874,0.7780320366132724,0.597254004576659,0.6876430205949656
La Liga,RSO,0.3671052631578947,0.32894736842105265,0.3480263157894737,139.5,125.0,264.5,380,380,760,0.5,0.5552631578947368,0.5276315789473685
La Liga,SAN,0.36257309941520466,0.3362573099415205,0.34941520467836257,62.0,57.5,119.5,171,171,342,0.5029239766081871,0.5263157894736842,0.5146198830409356
La Liga,SEV,0.3014354066985646,0.388755980861244,0.3450956937799043,126.0,162.5,288.5,418,418,836,0.5909090909090909,0.48086124401913877,0.5358851674641149
La Liga,SPG,0.49122807017543857,0.37719298245614036,0.4342105263157895,56.0,43.0,99.0,114,114,228,0.39473684210526316,0.5,0.4473684210526316
La Liga,TEN,0.4868421052631579,0.23684210526315788,0.3618421052631579,18.5,9.0,27.5,38,38,76,0.3684210526315789,0.6842105263157895,0.5263157894736842
La Liga,VIL,0.3229665071770335,0.4043062200956938,0.36363636363636365,135.0,169.0,304.0,418,418,836,0.5454545454545454,0.46411483253588515,0.5047846889952153
La Liga,VLC,0.2997711670480549,0.38329519450800914,0.341533180778032,131.0,167.5,298.5,437,437,874,0.5743707093821511,0.4782608695652174,0.5263157894736842
La Liga,VLLD,0.44360902255639095,0.31390977443609025,0.37875939849624063,118.0,83.5,201.5,266,266,532,0.38721804511278196,0.5601503759398496,0.47368421052631576
La Liga,XER,0.42105263157894735,0.2631578947368421,0.34210526315789475,8.0,5.0,13.0,19,19,38,0.47368421052631576,0.5789473684210527,0.5263157894736842
La Liga,ZAR,0.4298245614035088,0.3362573099415205,0.3830409356725146,73.5,57.5,131.0,171,171,342,0.4152046783625731,0.5380116959064327,0.4766081871345029
