,league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
0,Premier League,BIR,0.333,0.135,0.224,20,10,30,95,95,190,0.421,0.674,0.547
1,Premier League,BOU,0.363,0.303,0.332,41,37,78,152,152,304,0.474,0.559,0.516
2,Premier League,CHE,0.151,0.295,0.224,48,96,144,418,418,836,0.646,0.548,0.597
3,Premier League,MANU,0.176,0.256,0.214,61,81,142,418,418,836,0.684,0.562,0.623
4,Premier League,EVE,0.291,0.341,0.315,91,98,189,418,418,836,0.531,0.452,0.492
5,Premier League,NOR,0.31,0.267,0.287,26,24,50,114,114,228,0.509,0.579,0.544
6,Premier League,WIG,0.29,0.298,0.294,31,36,67,152,152,304,0.5,0.559,0.53
7,Premier League,MID,0.387,0.273,0.328,36,27,63,133,133,266,0.429,0.541,0.485
8,Premier League,SOU,0.283,0.257,0.27,54,52,106,266,266,532,0.515,0.564,0.539
9,Premier League,BOLN,0.347,0.235,0.289,42,31,73,171,171,342,0.462,0.591,0.526
10,Premier League,BLBN,0.355,0.29,0.322,44,38,82,171,171,342,0.468,0.544,0.506
11,Premier League,SUN,0.302,0.25,0.275,54,47,101,247,247,494,0.506,0.571,0.538
12,Premier League,CRY,0.327,0.284,0.306,56,48,104,228,228,456,0.504,0.531,0.518
13,Premier League,BHA,0.408,0.343,0.374,40,37,77,152,152,304,0.382,0.467,0.424
14,Premier League,HUD,0.233,0.172,0.203,7,5,12,38,38,76,0.605,0.632,0.618
15,Premier League,STO,0.368,0.281,0.325,50,38,88,190,190,380,0.453,0.511,0.482
16,Premier League,MANC,0.146,0.263,0.202,50,83,133,399,399,798,0.734,0.584,0.659
17,Premier League,BLPL,0.429,0.333,0.379,6,5,11,19,19,38,0.421,0.526,0.474
18,Premier League,WBA,0.359,0.264,0.312,61,43,104,228,228,456,0.478,0.526,0.502
19,Premier League,POR,0.333,0.27,0.301,23,20,43,95,95,190,0.484,0.568,0.526
20,Premier League,AVL,0.3,0.309,0.305,78,82,160,361,361,722,0.504,0.507,0.506
21,Premier League,LEIC,0.284,0.258,0.271,46,41,87,209,209,418,0.555,0.565,0.56
22,Premier League,SHU,0.306,0.115,0.211,19,7,26,76,76,152,0.566,0.711,0.638
23,Premier League,LUT,0.4,0.067,0.233,6,1,7,19,19,38,0.474,0.737,0.605
24,Premier League,REA,0.311,0.196,0.253,14,9,23,57,57,114,0.544,0.649,0.596
25,Premier League,ARS,0.168,0.283,0.224,56,89,145,418,418,836,0.663,0.541,0.602
26,Premier League,FUL,0.342,0.284,0.315,81,60,141,304,304,608,0.513,0.497,0.505
27,Premier League,LEE,0.265,0.215,0.238,18,17,35,95,95,190,0.526,0.653,0.589
28,Premier League,WAT,0.351,0.174,0.257,34,19,53,133,133,266,0.474,0.677,0.575
29,Premier League,CARD,0.323,0.219,0.27,10,7,17,38,38,76,0.553,0.658,0.605
30,Premier League,BUR,0.279,0.195,0.237,36,25,61,171,171,342,0.544,0.602,0.573
31,Premier League,QPR,0.436,0.163,0.284,17,8,25,57,57,114,0.386,0.719,0.553
32,Premier League,IPS,0.2,0.185,0.193,6,5,11,38,38,76,0.632,0.579,0.605
33,Premier League,DER,0.241,0.061,0.145,7,2,9,38,38,76,0.579,0.816,0.697
34,Premier League,BRNT,0.255,0.356,0.307,14,21,35,76,76,152,0.539,0.5,0.52
35,Premier League,CHA,0.414,0.164,0.292,24,9,33,76,76,152,0.447,0.605,0.526
36,Premier League,WHU,0.27,0.308,0.289,81,93,174,399,399,798,0.549,0.524,0.536
37,Premier League,LIVP,0.149,0.28,0.215,47,90,137,418,418,836,0.641,0.553,0.597
38,Premier League,TOT,0.222,0.314,0.266,76,98,174,418,418,836,0.636,0.512,0.574
39,Premier League,WOLV,0.353,0.294,0.324,53,42,95,190,190,380,0.511,0.532,0.521
40,Premier League,SWA,0.312,0.375,0.345,30,39,69,133,133,266,0.496,0.489,0.492
41,Premier League,NOTF,0.341,0.156,0.244,14,7,21,57,57,114,0.474,0.667,0.57
42,Premier League,NEW,0.322,0.285,0.303,92,84,176,380,380,760,0.511,0.555,0.533
43,Premier League,HUL,0.352,0.197,0.275,25,14,39,95,95,190,0.484,0.6,0.542
