league,season,upset_frequency,total_predictions,total_upsets,draw_predictions,accuracy
La Liga,2000,0.36973684210526314,380,140.5,99,0.5
La Liga,2001,0.40657894736842104,380,154.5,101,0.4605263157894737
La Liga,2002,0.3986842105263158,380,151.5,105,0.4631578947368421
La Liga,2003,0.3618421052631579,380,137.5,95,0.5131578947368421
La Liga,2005,0.3671052631578947,380,139.5,105,0.49473684210526314
La Liga,2007,0.3618421052631579,380,137.5,87,0.5236842105263158
La Liga,2008,0.3592105263157895,380,136.5,83,0.531578947368421
La Liga,2009,0.3539473684210526,380,134.5,95,0.5210526315789473
La Liga,2010,0.3460526315789474,380,131.5,79,0.55
La Liga,2011,0.37894736842105264,380,144.0,94,0.49736842105263157
La Liga,2012,0.3394736842105263,380,129.0,84,0.55
La Liga,2013,0.3263157894736842,380,124.0,86,0.5605263157894737
La Liga,2014,0.3144736842105263,380,119.5,91,0.5657894736842105
La Liga,2015,0.35,380,133.0,92,0.5289473684210526
La Liga,2016,0.2986842105263158,380,113.5,89,0.5842105263157895
La Liga,2017,0.31842105263157894,380,121.0,86,0.5684210526315789
La Liga,2018,0.3736842105263158,380,142.0,110,0.48157894736842105
La Liga,2019,0.32763157894736844,380,124.5,105,0.5342105263157895
La Liga,2020,0.3171052631578947,380,120.5,109,0.5394736842105263
La Liga,2021,0.325,380,123.5,111,0.5289473684210526
La Liga,2022,0.35657894736842105,380,135.5,89,0.5263157894736842
La Liga,2023,0.3092105263157895,380,117.5,107,0.55
La Liga,2024,0.31973684210526315,380,121.5,97,0.5526315789473685
