,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches
0,Serie A,2000,0.266,306,58,0.523,218
1,Serie A,2001,0.265,306,58,0.526,219
2,Serie A,2002,0.313,306,67,0.48,214
3,Serie A,2005,0.257,380,70,0.532,272
4,Serie A,2006,0.267,380,71,0.513,266
5,Serie A,2007,0.317,380,85,0.482,268
6,Serie A,2008,0.312,380,89,0.516,285
7,Serie A,2009,0.327,380,91,0.492,278
8,Serie A,2010,0.314,380,89,0.511,283
9,Serie A,2011,0.286,380,77,0.505,269
10,Serie A,2012,0.296,380,84,0.526,284
11,Serie A,2013,0.248,380,72,0.574,290
12,Serie A,2014,0.285,380,74,0.489,260
13,Serie A,2015,0.27,380,77,0.547,285
14,Serie A,2016,0.26,380,78,0.584,300
15,Serie A,2017,0.239,380,71,0.595,297
16,Serie A,2018,0.239,380,65,0.545,272
17,Serie A,2019,0.254,380,75,0.579,295
18,Serie A,2020,0.219,380,62,0.582,283
19,Serie A,2021,0.245,380,69,0.561,282
20,Serie A,2022,0.268,380,75,0.539,280
21,Serie A,2023,0.209,380,56,0.558,268
22,Serie A,2024,0.224,380,61,0.555,272
