league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall
Serie A,ASC,0.3684210526315789,0.2631578947368421,0.3157894736842105,14.0,10.0,24.0,38,38,76,0.42105263157894735,0.5789473684210527,0.5
Serie A,ATA,0.32951653944020354,0.34987277353689566,0.33969465648854963,129.5,137.5,267.0,393,393,786,0.5267175572519084,0.5216284987277354,0.5241730279898219
Serie A,BARI,0.32727272727272727,0.2818181818181818,0.30454545454545456,18.0,15.5,33.5,55,55,110,0.5636363636363636,0.6,0.5818181818181818
Serie A,BEN,0.3026315789473684,0.2631578947368421,0.28289473684210525,11.5,10.0,21.5,38,38,76,0.5789473684210527,0.6578947368421053,0.618421052631579
Serie A,BOLG,0.3816901408450704,0.38873239436619716,0.3852112676056338,135.5,138.0,273.5,355,355,710,0.48169014084507045,0.4591549295774648,0.4704225352112676
Serie A,BRES,0.33707865168539325,0.3258426966292135,0.33146067415730335,30.0,29.0,59.0,89,89,178,0.48314606741573035,0.5168539325842697,0.5
Serie A,CAG,0.391812865497076,0.347953216374269,0.36988304093567254,134.0,119.0,253.0,342,342,684,0.47076023391812866,0.5146198830409356,0.4926900584795322
Serie A,CARP,0.39473684210526316,0.3157894736842105,0.35526315789473684,7.5,6.0,13.5,19,19,38,0.47368421052631576,0.5263157894736842,0.5
Serie A,CAT,0.47039473684210525,0.33223684210526316,0.40131578947368424,71.5,50.5,122.0,152,152,304,0.40131578947368424,0.5,0.4506578947368421
Serie A,CES,0.34210526315789475,0.20175438596491227,0.2719298245614035,19.5,11.5,31.0,57,57,114,0.49122807017543857,0.6842105263157895,0.5877192982456141
Serie A,CHI,0.3274021352313167,0.3416370106761566,0.33451957295373663,92.0,96.0,188.0,281,281,562,0.505338078291815,0.5338078291814946,0.5195729537366548
Serie A,COM,0.2777777777777778,0.3055555555555556,0.2916666666666667,10.0,11.0,21.0,36,36,72,0.5555555555555556,0.5555555555555556,0.5555555555555556
Serie A,CRE,0.3684210526315789,0.21052631578947367,0.2894736842105263,7.0,4.0,11.0,19,19,38,0.5263157894736842,0.5789473684210527,0.5526315789473685
Serie A,CRO,0.3333333333333333,0.19298245614035087,0.2631578947368421,19.0,11.0,30.0,57,57,114,0.5614035087719298,0.7368421052631579,0.6491228070175439
Serie A,EMP,0.39601769911504425,0.32964601769911506,0.36283185840707965,89.5,74.5,164.0,226,226,452,0.4557522123893805,0.5353982300884956,0.49557522123893805
Serie A,FIO,0.3103864734299517,0.37077294685990336,0.34057971014492755,128.5,153.5,282.0,414,414,828,0.5603864734299517,0.4927536231884058,0.5265700483091788
Serie A,FRO,0.3157894736842105,0.2631578947368421,0.2894736842105263,18.0,15.0,33.0,57,57,114,0.5614035087719298,0.6140350877192983,0.5877192982456141
Serie A,GEN,0.38544891640866874,0.3544891640866873,0.369969040247678,124.5,114.5,239.0,323,323,646,0.47368421052631576,0.5015479876160991,0.48761609907120745
Serie A,INT,0.2482598607888631,0.3259860788863109,0.287122969837587,107.0,140.5,247.5,431,431,862,0.6473317865429234,0.5522041763341067,0.5997679814385151
Serie A,JUV,0.18932038834951456,0.3143203883495146,0.2518203883495146,78.0,129.5,207.5,412,412,824,0.7087378640776699,0.5509708737864077,0.6298543689320388
Serie A,LAZ,0.2842227378190255,0.36310904872389793,0.3236658932714617,122.5,156.5,279.0,431,431,862,0.5939675174013921,0.5197215777262181,0.5568445475638051
Serie A,LEC,0.3548387096774194,0.26881720430107525,0.3118279569892473,66.0,50.0,116.0,186,186,372,0.4731182795698925,0.6075268817204301,0.5403225806451613
Serie A,LIVO,0.4052631578947368,0.24210526315789474,0.3236842105263158,38.5,23.0,61.5,95,95,190,0.42105263157894735,0.6526315789473685,0.5368421052631579
Serie A,MES,0.39473684210526316,0.13157894736842105,0.2631578947368421,15.0,5.0,20.0,38,38,76,0.39473684210526316,0.7631578947368421,0.5789473684210527
Serie A,MIL,0.27726218097447797,0.3352668213457077,0.3062645011600928,119.5,144.5,264.0,431,431,862,0.6009280742459396,0.531322505800464,0.5661252900232019
Serie A,MOD,0.4117647058823529,0.3235294117647059,0.36764705882352944,7.0,5.5,12.5,17,17,34,0.4117647058823529,0.5294117647058824,0.47058823529411764
Serie A,MON,0.2982456140350877,0.2894736842105263,0.29385964912280704,17.0,16.5,33.5,57,57,114,0.5614035087719298,0.5789473684210527,0.5701754385964912
Serie A,NAP,0.28969359331476324,0.30919220055710306,0.2994428969359331,104.0,111.0,215.0,359,359,718,0.5933147632311978,0.5710306406685237,0.5821727019498607
Serie A,NOV,0.42105263157894735,0.23684210526315788,0.32894736842105265,8.0,4.5,12.5,19,19,38,0.3684210526315789,0.6842105263157895,0.5263157894736842
Serie A,PAL,0.3588516746411483,0.41148325358851673,0.38516746411483255,75.0,86.0,161.0,209,209,418,0.5263157894736842,0.44019138755980863,0.48325358851674644
Serie A,PAR,0.37919463087248323,0.3288590604026846,0.3540268456375839,113.0,98.0,211.0,298,298,596,0.48322147651006714,0.5234899328859061,0.5033557046979866
Serie A,PER,0.3431372549019608,0.4117647058823529,0.37745098039215685,17.5,21.0,38.5,51,51,102,0.5098039215686274,0.43137254901960786,0.47058823529411764
Serie A,PES,0.23684210526315788,0.17105263157894737,0.20394736842105263,9.0,6.5,15.5,38,38,76,0.6842105263157895,0.7368421052631579,0.7105263157894737
Serie A,PIA,0.4852941176470588,0.23529411764705882,0.3602941176470588,16.5,8.0,24.5,34,34,68,0.4411764705882353,0.6176470588235294,0.5294117647058824
Serie A,REG,0.4409090909090909,0.2681818181818182,0.35454545454545455,48.5,29.5,78.0,110,110,220,0.4,0.6,0.5
Serie A,ROM,0.2354988399071926,0.3619489559164733,0.29872389791183296,101.5,156.0,257.5,431,431,862,0.6589327146171694,0.4988399071925754,0.5788863109048724
Serie A,SAL,0.2719298245614035,0.2894736842105263,0.2807017543859649,15.5,16.5,32.0,57,57,114,0.5789473684210527,0.543859649122807,0.5614035087719298
Serie A,SAM,0.33126934984520123,0.3622291021671827,0.34674922600619196,107.0,117.0,224.0,323,323,646,0.5294117647058824,0.5201238390092879,0.5247678018575851
Serie A,SAS,0.3588516746411483,0.35167464114832536,0.35526315789473684,75.0,73.5,148.5,209,209,418,0.4880382775119617,0.5263157894736842,0.507177033492823
Serie A,SIE,0.424812030075188,0.2706766917293233,0.34774436090225563,56.5,36.0,92.5,133,133,266,0.41353383458646614,0.5864661654135338,0.5
Serie A,SPA,0.37719298245614036,0.20175438596491227,0.2894736842105263,21.5,11.5,33.0,57,57,114,0.45614035087719296,0.7192982456140351,0.5877192982456141
Serie A,SPE,0.2807017543859649,0.2894736842105263,0.2850877192982456,16.0,16.5,32.5,57,57,114,0.5614035087719298,0.5964912280701754,0.5789473684210527
Serie A,TOR,0.3727810650887574,0.28402366863905326,0.32840236686390534,126.0,96.0,222.0,338,338,676,0.47041420118343197,0.5414201183431953,0.5059171597633136
Serie A,TRE,0.21052631578947367,0.2631578947368421,0.23684210526315788,4.0,5.0,9.0,19,19,38,0.6842105263157895,0.5263157894736842,0.6052631578947368
Serie A,UDI,0.37935034802784223,0.37470997679814383,0.37703016241299303,163.5,161.5,325.0,431,431,862,0.4872389791183295,0.5011600928074246,0.494199535962877
Serie A,VEN,0.3090909090909091,0.21818181818181817,0.2636363636363636,17.0,12.0,29.0,55,55,110,0.5454545454545454,0.6363636363636364,0.5909090909090909
Serie A,VER,0.3638392857142857,0.2924107142857143,0.328125,81.5,65.5,147.0,224,224,448,0.5223214285714286,0.5669642857142857,0.5446428571428571
Serie A,VIC,0.38235294117647056,0.23529411764705882,0.3088235294117647,6.5,4.0,10.5,17,17,34,0.47058823529411764,0.6470588235294118,0.5588235294117647
