,league,season,upset_frequency,total_predictions,total_upsets,accuracy,non_draw_matches,draw_predictions
0,Premier League,2001,0.0,380,0.0,1.0,380,0
1,Premier League,2002,0.0,380,0.0,1.0,380,0
2,Premier League,2005,0.0,380,0.0,1.0,380,0
3,Premier League,2006,0.0,380,0.0,1.0,380,0
4,Premier League,2007,0.0,380,0.0,1.0,380,0
5,Premier League,2008,0.0,380,0.0,1.0,380,0
6,Premier League,2009,0.0,380,0.0,1.0,380,0
7,Premier League,2010,0.0,380,0.0,1.0,380,0
8,Premier League,2011,0.0,380,0.0,1.0,380,0
9,Premier League,2012,0.0,380,0.0,1.0,380,0
10,Premier League,2013,0.0,380,0.0,1.0,380,0
11,Premier League,2014,0.0,380,0.0,1.0,380,0
12,Premier League,2015,0.0,380,0.0,1.0,380,0
13,Premier League,2016,0.0,380,0.0,1.0,380,0
14,Premier League,2017,0.0,380,0.0,1.0,380,0
15,Premier League,2018,0.0,380,0.0,1.0,380,0
16,Premier League,2019,0.0,380,0.0,1.0,380,0
17,Premier League,2020,0.0,380,0.0,1.0,380,0
18,Premier League,2021,0.0,380,0.0,1.0,380,0
19,Premier League,2022,0.0,380,0.0,1.0,380,0
20,Premier League,2023,0.0,380,0.0,1.0,380,0
21,Premier League,2024,0.0,380,0.0,1.0,380,0
22,Serie A,2000,0.0,306,0.0,1.0,306,0
23,Serie A,2001,0.0,306,0.0,1.0,306,0
24,Serie A,2002,0.0,306,0.0,1.0,306,0
25,Serie A,2005,0.0,380,0.0,1.0,380,0
26,Serie A,2006,0.0,380,0.0,1.0,380,0
27,Serie A,2007,0.0,380,0.0,1.0,380,0
28,Serie A,2008,0.0,380,0.0,1.0,380,0
29,Serie A,2009,0.0,380,0.0,1.0,380,0
30,Serie A,2010,0.0,380,0.0,1.0,380,0
31,Serie A,2011,0.0,380,0.0,1.0,380,0
32,Serie A,2012,0.0,380,0.0,1.0,380,0
33,Serie A,2013,0.0,380,0.0,1.0,380,0
34,Serie A,2014,0.0,380,0.0,1.0,380,0
35,Serie A,2015,0.0,380,0.0,1.0,380,0
36,Serie A,2016,0.0,380,0.0,1.0,380,0
37,Serie A,2017,0.0,380,0.0,1.0,380,0
38,Serie A,2018,0.0,380,0.0,1.0,380,0
39,Serie A,2019,0.0,380,0.0,1.0,380,0
40,Serie A,2020,0.0,380,0.0,1.0,380,0
41,Serie A,2021,0.0,380,0.0,1.0,380,0
42,Serie A,2022,0.0,380,0.0,1.0,380,0
43,Serie A,2023,0.0,380,0.0,1.0,380,0
44,Serie A,2024,0.0,380,0.0,1.0,380,0
45,Bundesliga,2004,0.0,306,0.0,1.0,306,0
46,Bundesliga,2005,0.0,306,0.0,1.0,306,0
47,Bundesliga,2006,0.0,306,0.0,1.0,306,0
48,Bundesliga,2007,0.0,306,0.0,1.0,306,0
49,Bundesliga,2008,0.0,306,0.0,1.0,306,0
50,Bundesliga,2009,0.0,306,0.0,1.0,306,0
51,Bundesliga,2010,0.0,306,0.0,1.0,306,0
52,Bundesliga,2011,0.0,306,0.0,1.0,306,0
53,Bundesliga,2012,0.0,306,0.0,1.0,306,0
54,Bundesliga,2013,0.0,306,0.0,1.0,306,0
55,Bundesliga,2014,0.0,306,0.0,1.0,306,0
56,Bundesliga,2015,0.0,306,0.0,1.0,306,0
57,Bundesliga,2016,0.0,306,0.0,1.0,306,0
58,Bundesliga,2017,0.0,306,0.0,1.0,306,0
59,Bundesliga,2018,0.0,306,0.0,1.0,306,0
60,Bundesliga,2019,0.0,306,0.0,1.0,306,0
61,Bundesliga,2020,0.0,306,0.0,1.0,306,0
62,Bundesliga,2021,0.0,306,0.0,1.0,306,0
63,Bundesliga,2022,0.0,306,0.0,1.0,306,0
64,Bundesliga,2023,0.0,306,0.0,1.0,306,0
65,Bundesliga,2024,0.0,306,0.0,1.0,306,0
66,La Liga,2000,0.0,380,0.0,1.0,380,0
67,La Liga,2001,0.0,380,0.0,1.0,380,0
68,La Liga,2002,0.0,380,0.0,1.0,380,0
69,La Liga,2003,0.0,380,0.0,1.0,380,0
70,La Liga,2005,0.0,380,0.0,1.0,380,0
71,La Liga,2007,0.0,380,0.0,1.0,380,0
72,La Liga,2008,0.0,380,0.0,1.0,380,0
73,La Liga,2009,0.0,380,0.0,1.0,380,0
74,La Liga,2010,0.0,380,0.0,1.0,380,0
75,La Liga,2011,0.0,380,0.0,1.0,380,0
76,La Liga,2012,0.0,380,0.0,1.0,380,0
77,La Liga,2013,0.0,380,0.0,1.0,380,0
78,La Liga,2014,0.0,380,0.0,1.0,380,0
79,La Liga,2015,0.0,380,0.0,1.0,380,0
80,La Liga,2016,0.0,380,0.0,1.0,380,0
81,La Liga,2017,0.0,380,0.0,1.0,380,0
82,La Liga,2018,0.0,380,0.0,1.0,380,0
83,La Liga,2019,0.0,380,0.0,1.0,380,0
84,La Liga,2020,0.0,380,0.0,1.0,380,0
85,La Liga,2021,0.0,380,0.0,1.0,380,0
86,La Liga,2022,0.0,380,0.0,1.0,380,0
87,La Liga,2023,0.0,380,0.0,1.0,380,0
88,La Liga,2024,0.0,380,0.0,1.0,380,0
