Season,Team_Standardized,Team_Full_Name
2000,BAY,Bayern Munich
2000,BOC,Bochum
2000,COT,Cottbus
2000,DOR,Dortmund
2000,EINF,Ein Frankfurt
2000,KOL,FC Koln
2000,FRE,Freiburg
2000,HAM,Hamburg
2000,HANR,Hansa Rostock
2000,HER,Hertha
2000,KAI,Kaiserslautern
2000,LEV,Leverkusen
2000,MGL,MGladbach
2000,MUN1,Munich 1860
2000,NUR,Nurnberg
2000,SCH,Schalke 04
2000,STP,St Pauli
2000,STU,Stuttgart
2000,UNT,Unterhaching
2000,WERB,Werder Bremen
2000,WOL,Wolfsburg
2001,BAY,Bayern Munich
2001,COT,Cottbus
2001,DOR,Dortmund
2001,KOL,FC Koln
2001,FRE,Freiburg
2001,HAM,Hamburg
2001,HANR,Hansa Rostock
2001,HER,Hertha
2001,KAI,Kaiserslautern
2001,LEV,Leverkusen
2001,MGL,MGladbach
2001,MUN1,Munich 1860
2001,NUR,Nurnberg
2001,SCH,Schalke 04
2001,STP,St Pauli
2001,STU,Stuttgart
2001,WERB,Werder Bremen
2001,WOL,Wolfsburg
2002,BAY,Bayern Munich
2002,BIE,Bielefeld
2002,BOC,Bochum
2002,COT,Cottbus
2002,DOR,Dortmund
2002,HAM,Hamburg
2002,HAN,Hannover
2002,HANR,Hansa Rostock
2002,HER,Hertha
2002,KAI,Kaiserslautern
2002,LEV,Leverkusen
2002,MGL,MGladbach
2002,MUN1,Munich 1860
2002,NUR,Nurnberg
2002,SCH,Schalke 04
2002,STU,Stuttgart
2002,WERB,Werder Bremen
2002,WOL,Wolfsburg
2003,BAY,Bayern Munich
2003,BOC,Bochum
2003,DOR,Dortmund
2003,EINF,Ein Frankfurt
2003,KOL,FC Koln
2003,FRE,Freiburg
2003,HAM,Hamburg
2003,HAN,Hannover
2003,HANR,Hansa Rostock
2003,HER,Hertha
2003,KAI,Kaiserslautern
2003,LEV,Leverkusen
2003,MGL,MGladbach
2003,MUN1,Munich 1860
2003,SCH,Schalke 04
2003,STU,Stuttgart
2003,WERB,Werder Bremen
2003,WOL,Wolfsburg
2004,BAY,Bayern Munich
2004,BIE,Bielefeld
2004,BOC,Bochum
2004,DOR,Dortmund
2004,FRE,Freiburg
2004,HAM,Hamburg
2004,HAN,Hannover
2004,HANR,Hansa Rostock
2004,HER,Hertha
2004,KAI,Kaiserslautern
2004,LEV,Leverkusen
2004,MGL,MGladbach
2004,MAI,Mainz
2004,NUR,Nurnberg
2004,SCH,Schalke 04
2004,STU,Stuttgart
2004,WERB,Werder Bremen
2004,WOL,Wolfsburg
2005,BAY,Bayern Munich
2005,BIE,Bielefeld
2005,DOR,Dortmund
2005,DUI,Duisburg
2005,EINF,Ein Frankfurt
2005,KOL,FC Koln
2005,HAM,Hamburg
2005,HAN,Hannover
2005,HER,Hertha
2005,KAI,Kaiserslautern
2005,LEV,Leverkusen
2005,MGL,MGladbach
2005,MAI,Mainz
2005,NUR,Nurnberg
2005,SCH,Schalke 04
2005,STU,Stuttgart
2005,WERB,Werder Bremen
2005,WOL,Wolfsburg
2006,AAC,Aachen
2006,BAY,Bayern Munich
2006,BIE,Bielefeld
2006,BOC,Bochum
2006,COT,Cottbus
2006,DOR,Dortmund
2006,EINF,Ein Frankfurt
2006,HAM,Hamburg
2006,HAN,Hannover
2006,HER,Hertha
2006,LEV,Leverkusen
2006,MGL,MGladbach
2006,MAI,Mainz
2006,NUR,Nurnberg
2006,SCH,Schalke 04
2006,STU,Stuttgart
2006,WERB,Werder Bremen
2006,WOL,Wolfsburg
2007,BAY,Bayern Munich
2007,BIE,Bielefeld
2007,BOC,Bochum
2007,COT,Cottbus
2007,DOR,Dortmund
2007,DUI,Duisburg
2007,EINF,Ein Frankfurt
2007,HAM,Hamburg
2007,HAN,Hannover
2007,HANR,Hansa Rostock
2007,HER,Hertha
2007,KAR,Karlsruhe
2007,LEV,Leverkusen
2007,NUR,Nurnberg
2007,SCH,Schalke 04
2007,STU,Stuttgart
2007,WERB,Werder Bremen
2007,WOL,Wolfsburg
2008,BAY,Bayern Munich
2008,BIE,Bielefeld
2008,BOC,Bochum
2008,COT,Cottbus
2008,DOR,Dortmund
2008,EINF,Ein Frankfurt
2008,KOL,FC Koln
2008,HAM,Hamburg
2008,HAN,Hannover
2008,HER,Hertha
2008,HOF,Hoffenheim
2008,KAR,Karlsruhe
2008,LEV,Leverkusen
2008,MGL,MGladbach
2008,SCH,Schalke 04
2008,STU,Stuttgart
2008,WERB,Werder Bremen
2008,WOL,Wolfsburg
2009,BAY,Bayern Munich
2009,BOC,Bochum
2009,DOR,Dortmund
