season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2000,Real Madrid,80,24,8,6,81,40,41,1
2000,La Coruna,73,22,7,9,73,44,29,2
2000,Mallorca,71,20,11,7,61,43,18,3
2000,Barcelona,63,17,12,9,80,57,23,4
2000,Valencia,63,18,9,11,55,34,21,5
2000,Celta,59,16,11,11,51,49,2,6
2000,Villarreal,57,16,9,13,58,52,6,7
2000,Malaga,56,16,8,14,60,61,-1,8
2000,Espanol,50,14,8,16,46,44,2,9
2000,Alaves,49,14,7,17,58,59,-1,10
2000,Las Palmas,46,13,7,18,42,62,-20,11
2000,Vallecano,43,10,13,15,56,68,-12,12
2000,Sociedad,43,11,10,17,52,68,-16,13
2000,Ath Bilbao,43,11,10,17,44,60,-16,14
2000,Zaragoza,42,9,15,14,54,57,-3,15
2000,Valladolid,42,9,15,14,42,50,-8,16
2000,Osasuna,42,10,12,16,43,54,-11,17
2000,Oviedo,41,11,8,19,51,67,-16,18
2000,Santander,39,10,9,19,48,62,-14,19
2000,Numancia,39,10,9,19,40,64,-24,20
2001,Valencia,75,21,12,5,51,27,24,1
2001,La Coruna,68,20,8,10,65,41,24,2
2001,Real Madrid,66,19,9,10,69,44,25,3
2001,Barcelona,64,18,10,10,65,37,28,4
2001,Celta,60,16,12,10,64,46,18,5
2001,Betis,59,15,14,9,42,34,8,6
2001,Alaves,54,17,3,18,41,44,-3,7
2001,Sevilla,53,14,11,13,51,40,11,8
2001,Malaga,53,13,14,11,44,44,0,9
2001,Ath Bilbao,53,14,11,13,54,66,-12,10
2001,Vallecano,49,13,10,15,46,52,-6,11
2001,Valladolid,48,13,9,16,45,58,-13,12
2001,Sociedad,47,13,8,17,48,54,-6,13
2001,Espanol,47,13,8,17,47,56,-9,14
2001,Villarreal,43,11,10,17,46,55,-9,15
2001,Mallorca,43,11,10,17,40,52,-12,16
2001,Osasuna,42,10,12,16,36,49,-13,17
2001,Las Palmas,40,9,13,16,40,50,-10,18
2001,Tenerife,38,10,8,20,32,58,-26,19
2001,Zaragoza,37,9,10,19,35,54,-19,20
2002,Real Madrid,78,22,12,4,86,42,44,1
2002,Sociedad,76,22,10,6,71,45,26,2
2002,La Coruna,72,22,6,10,67,47,20,3
2002,Celta,61,17,10,11,45,36,9,4
2002,Valencia,60,17,9,12,56,35,21,5
2002,Barcelona,56,15,11,12,63,47,16,6
2002,Ath Bilbao,55,15,10,13,63,61,2,7
2002,Betis,54,14,12,12,56,53,3,8
2002,Mallorca,52,14,10,14,49,56,-7,9
2002,Sevilla,50,13,11,14,38,39,-1,10
2002,Ath Madrid,47,12,11,15,51,56,-5,11
2002,Osasuna,47,12,11,15,40,48,-8,12
2002,Valladolid,46,12,10,16,37,40,-3,13
2002,Malaga,46,11,13,14,44,49,-5,14
2002,Villarreal,45,11,12,15,44,53,-9,15
2002,Santander,44,13,5,20,54,64,-10,16
2002,Espanol,43,10,13,15,48,54,-6,17
2002,Recreativo,36,8,12,18,35,61,-26,18
2002,Alaves,35,8,11,19,38,68,-30,19
2002,Vallecano,32,7,11,20,31,62,-31,20
2003,Valencia,77,23,8,7,71,27,44,1
2003,Barcelona,72,21,9,8,63,39,24,2
2003,La Coruna,71,21,8,9,60,34,26,3
2003,Real Madrid,70,21,7,10,72,54,18,4
2003,Ath Bilbao,56,15,11,12,53,49,4,5
2003,Sevilla,55,15,10,13,56,45,11,6
2003,Ath Madrid,55,15,10,13,51,53,-2,7
2003,Villarreal,54,15,9,14,47,49,-2,8
2003,Betis,52,13,13,12,46,43,3,9
2003,Malaga,51,15,6,17,50,55,-5,10
2003,Mallorca,51,15,6,17,54,66,-12,11
2003,Osasuna,48,11,15,12,38,37,1,12
2003,Zaragoza,48,13,9,16,46,55,-9,13
2003,Albacete,47,13,8,17,40,48,-8,14
2003,Sociedad,46,11,13,14,49,53,-4,15
2003,Santander,43,11,10,17,48,63,-15,16
2003,Espanol,43,13,4,21,48,64,-16,17
2003,Valladolid,41,10,11,17,46,56,-10,18
2003,Celta,39,9,12,17,48,68,-20,19
2003,Murcia,26,5,11,22,29,57,-28,20
2004,Barcelona,62,18,8,1,51,16,35,1
2004,Real Madrid,58,18,4,6,48,21,27,2
2004,Villarreal,47,13,8,5,50,24,26,3
2004,Valencia,44,12,8,6,36,23,13,4
2004,Sevilla,43,12,7,8,30,29,1,5
2004,Espanol,42,11,9,7,38,31,7,6
2004,Betis,39,10,9,8,38,34,4,7
2004,Malaga,39,12,3,10,30,31,-1,8
2004,Osasuna,35,9,8,11,40,53,-13,9
2004,Ath Madrid,34,9,7,11,26,28,-2,10
2004,Getafe,34,9,7,11,29,33,-4,11
2004,Zaragoza,34,10,4,11,38,43,-5,12
2004,Santander,34,9,7,10,31,39,-8,13
2004,Levante,34,9,7,13,35,45,-10,14
2004,La Coruna,33,7,12,9,35,42,-7,15
2004,Ath Bilbao,30,8,6,12,34,37,-3,16
2004,Sociedad,27,7,6,12,28,34,-6,17
2004,Mallorca,26,7,5,15,33,48,-15,18
2004,Albacete,21,4,9,15,22,36,-14,19
2004,Numancia,16,2,10,15,21,46,-25,20
2005,Barcelona,82,25,7,6,80,35,45,1
2005,Real Madrid,70,20,10,8,70,40,30,2
2005,Valencia,69,19,12,7,58,33,25,3
2005,Sevilla,68,20,8,10,54,39,15,4
2005,Osasuna,68,21,5,12,49,43,6,5
2005,Celta,64,20,4,14,45,33,12,6
2005,Villarreal,57,14,15,9,50,39,11,7
2005,La Coruna,55,15,10,13,47,45,2,8
2005,Getafe,54,15,9,14,54,49,5,9
2005,Ath Madrid,52,13,13,12,45,37,8,10
2005,Zaragoza,46,10,16,12,46,51,-5,11
2005,Ath Bilbao,45,11,12,15,40,46,-6,12
2005,Mallorca,43,10,13,15,37,51,-14,13
2005,Betis,42,10,12,16,34,51,-17,14
