season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2000,RMA,80,24,8,6,81,40,41,1
2000,LAC,73,22,7,9,73,44,29,2
2000,MALL,71,20,11,7,61,43,18,3
2000,BARC,63,17,12,9,80,57,23,4
2000,VLC,63,18,9,11,55,34,21,5
2000,CEL,59,16,11,11,51,49,2,6
2000,VIL,57,16,9,13,58,52,6,7
2000,MLG,56,16,8,14,60,61,-1,8
2000,ESP,50,14,8,16,46,44,2,9
2000,ALA,49,14,7,17,58,59,-1,10
2000,LASP,46,13,7,18,42,62,-20,11
2000,RAYO,43,10,13,15,56,68,-12,12
2000,RSO,43,11,10,17,52,68,-16,13
2000,ATHB,43,11,10,17,44,60,-16,14
2000,ZAR,42,9,15,14,54,57,-3,15
2000,VLLD,42,9,15,14,42,50,-8,16
2000,OSA,42,10,12,16,43,54,-11,17
2000,OVI,41,11,8,19,51,67,-16,18
2000,SAN,39,10,9,19,48,62,-14,19
2000,NUM,39,10,9,19,40,64,-24,20
2001,VLC,75,21,12,5,51,27,24,1
2001,LAC,68,20,8,10,65,41,24,2
2001,RMA,66,19,9,10,69,44,25,3
2001,BARC,64,18,10,10,65,37,28,4
2001,CEL,60,16,12,10,64,46,18,5
2001,BET,59,15,14,9,42,34,8,6
2001,ALA,54,17,3,18,41,44,-3,7
2001,SEV,53,14,11,13,51,40,11,8
2001,MLG,53,13,14,11,44,44,0,9
2001,ATHB,53,14,11,13,54,66,-12,10
2001,RAYO,49,13,10,15,46,52,-6,11
2001,VLLD,48,13,9,16,45,58,-13,12
2001,RSO,47,13,8,17,48,54,-6,13
2001,ESP,47,13,8,17,47,56,-9,14
2001,VIL,43,11,10,17,46,55,-9,15
2001,MALL,43,11,10,17,40,52,-12,16
2001,OSA,42,10,12,16,36,49,-13,17
2001,LASP,40,9,13,16,40,50,-10,18
2001,TEN,38,10,8,20,32,58,-26,19
2001,ZAR,37,9,10,19,35,54,-19,20
2002,RMA,78,22,12,4,86,42,44,1
2002,RSO,76,22,10,6,71,45,26,2
2002,LAC,72,22,6,10,67,47,20,3
2002,CEL,61,17,10,11,45,36,9,4
2002,VLC,60,17,9,12,56,35,21,5
2002,BARC,56,15,11,12,63,47,16,6
2002,ATHB,55,15,10,13,63,61,2,7
2002,BET,54,14,12,12,56,53,3,8
