Season,Team_Standardized,Team_Full_Name
2000,ALA,Alaves
2000,ATHB,Ath Bilbao
2000,BAR,Barcelona
2000,CEL,Celta
2000,ESP,Espanol
2000,LAC,La Coruna
2000,LASP,Las Palmas
2000,MAL,Malaga
2000,MAL,Mallorca
2000,NUM,Numancia
2000,OSA,Osasuna
2000,OVI,Oviedo
2000,RMA,Real Madrid
2000,SAN,Santander
2000,RSO,Sociedad
2000,VAL,Valencia
2000,VAL,Valladolid
2000,VAL,Vallecano
2000,VIL,Villarreal
2000,ZAR,Zaragoza
2001,ALA,Alaves
2001,ATHB,Ath Bilbao
2001,BAR,Barcelona
2001,BET,Betis
2001,CEL,Celta
2001,ESP,Espanol
2001,LAC,La Coruna
2001,LASP,Las Palmas
2001,MAL,Malaga
2001,MAL,Mallorca
2001,OSA,Osasuna
2001,RMA,Real Madrid
2001,SEV,Sevilla
2001,RSO,Sociedad
2001,TEN,Tenerife
2001,VAL,Valencia
2001,VAL,Valladolid
2001,VAL,Vallecano
2001,VIL,Villarreal
2001,ZAR,Zaragoza
2002,ALA,Alaves
2002,ATHB,Ath Bilbao
2002,ATHM,Ath Madrid
2002,BAR,Barcelona
2002,BET,Betis
2002,CEL,Celta
2002,ESP,Espanol
2002,LAC,La Coruna
2002,MAL,Malaga
2002,MAL,Mallorca
2002,OSA,Osasuna
2002,RMA,Real Madrid
2002,REC,Recreativo
2002,SAN,Santander
2002,SEV,Sevilla
2002,RSO,Sociedad
2002,VAL,Valencia
2002,VAL,Valladolid
2002,VAL,Vallecano
2002,VIL,Villarreal
2003,ALB,Albacete
2003,ATHB,Ath Bilbao
2003,ATHM,Ath Madrid
2003,BAR,Barcelona
2003,BET,Betis
2003,CEL,Celta
2003,ESP,Espanol
2003,LAC,La Coruna
2003,MAL,Malaga
2003,MAL,Mallorca
2003,MUR,Murcia
2003,OSA,Osasuna
2003,RMA,Real Madrid
2003,SAN,Santander
2003,SEV,Sevilla
2003,RSO,Sociedad
2003,VAL,Valencia
2003,VAL,Valladolid
2003,VIL,Villarreal
2003,ZAR,Zaragoza
2004,ALB,Albacete
2004,ATHB,Ath Bilbao
2004,ATHM,Ath Madrid
2004,BAR,Barcelona
2004,BET,Betis
2004,ESP,Espanol
2004,GET,Getafe
2004,LAC,La Coruna
2004,LEV,Levante
2004,MAL,Malaga
2004,MAL,Mallorca
2004,NUM,Numancia
2004,OSA,Osasuna
2004,RMA,Real Madrid
2004,SAN,Santander
2004,SEV,Sevilla
2004,RSO,Sociedad
2004,VAL,Valencia
2004,VIL,Villarreal
2004,ZAR,Zaragoza
2005,ALA,Alaves
2005,ATHB,Ath Bilbao
2005,ATHM,Ath Madrid
2005,BAR,Barcelona
2005,BET,Betis
2005,CAD,Cadiz
2005,CEL,Celta
2005,ESP,Espanol
2005,GET,Getafe
2005,LAC,La Coruna
2005,MAL,Malaga
2005,MAL,Mallorca
2005,OSA,Osasuna
2005,RMA,Real Madrid
2005,SAN,Santander
2005,SEV,Sevilla
2005,RSO,Sociedad
2005,VAL,Valencia
2005,VIL,Villarreal
2005,ZAR,Zaragoza
2007,ALM,Almeria
2007,ATHB,Ath Bilbao
2007,ATHM,Ath Madrid
2007,BAR,Barcelona
2007,BET,Betis
2007,ESP,Espanol
2007,GET,Getafe
2007,LAC,La Coruna
2007,LEV,Levante
2007,MAL,Mallorca
2007,MUR,Murcia
2007,OSA,Osasuna
2007,RMA,Real Madrid
2007,REC,Recreativo
2007,SAN,Santander
2007,SEV,Sevilla
2007,VAL,Valencia
2007,VAL,Valladolid
2007,VIL,Villarreal
2007,ZAR,Zaragoza
2008,ALM,Almeria
2008,ATHB,Ath Bilbao
2008,ATHM,Ath Madrid
2008,BAR,Barcelona
2008,BET,Betis
2008,ESP,Espanol
2008,GET,Getafe
2008,LAC,La Coruna
2008,MAL,Malaga
2008,MAL,Mallorca
2008,NUM,Numancia
2008,OSA,Osasuna
2008,RMA,Real Madrid
2008,REC,Recreativo
2008,SAN,Santander
2008,SEV,Sevilla
2008,SPG,Sp Gijon
2008,VAL,Valencia
2008,VAL,Valladolid
2008,VIL,Villarreal
2009,ALM,Almeria
2009,ATHB,Ath Bilbao
2009,ATHM,Ath Madrid
2009,BAR,Barcelona
2009,ESP,Espanol
2009,GET,Getafe
2009,LAC,La Coruna
2009,MAL,Malaga
2009,MAL,Mallorca
2009,OSA,Osasuna
2009,RMA,Real Madrid
2009,SAN,Santander
2009,SEV,Sevilla
2009,SPG,Sp Gijon
2009,TEN,Tenerife
2009,VAL,Valencia
2009,VAL,Valladolid
2009,VIL,Villarreal
2009,XER,Xerez
2009,ZAR,Zaragoza
2010,ALM,Almeria
2010,ATHB,Ath Bilbao
2010,ATHM,Ath Madrid
2010,BAR,Barcelona
2010,ESP,Espanol
2010,GET,Getafe
2010,HER,Hercules
2010,LAC,La Coruna
2010,LEV,Levante
2010,MAL,Malaga
2010,MAL,Mallorca
2010,OSA,Osasuna
2010,RMA,Real Madrid
2010,SAN,Santander
2010,SEV,Sevilla
2010,RSO,Sociedad
2010,SPG,Sp Gijon
2010,VAL,Valencia
2010,VIL,Villarreal
2010,ZAR,Zaragoza
2011,ATHB,Ath Bilbao
2011,ATHM,Ath Madrid
2011,BAR,Barcelona
2011,BET,Betis
2011,ESP,Espanol
2011,GET,Getafe
2011,GRA,Granada
2011,LEV,Levante
2011,MAL,Malaga
2011,MAL,Mallorca
2011,OSA,Osasuna
2011,RMA,Real Madrid
2011,SAN,Santander
2011,SEV,Sevilla
2011,RSO,Sociedad
2011,SPG,Sp Gijon
2011,VAL,Valencia
2011,VAL,Vallecano
2011,VIL,Villarreal
2011,ZAR,Zaragoza
2012,ATHB,Ath Bilbao
2012,ATHM,Ath Madrid
2012,BAR,Barcelona
2012,BET,Betis
2012,CEL,Celta
2012,ESP,Espanol
2012,GET,Getafe
2012,GRA,Granada
2012,LAC,La Coruna
2012,LEV,Levante
2012,MAL,Malaga
2012,MAL,Mallorca
2012,OSA,Osasuna
2012,RMA,Real Madrid
2012,SEV,Sevilla
2012,RSO,Sociedad
2012,VAL,Valencia
2012,VAL,Valladolid
2012,VAL,Vallecano
2012,ZAR,Zaragoza
2013,ALM,Almeria
2013,ATHB,Ath Bilbao
2013,ATHM,Ath Madrid
2013,BAR,Barcelona
2013,BET,Betis
2013,CEL,Celta
2013,ELC,Elche
2013,ESP,Espanol
2013,GET,Getafe
2013,GRA,Granada
2013,LEV,Levante
2013,MAL,Malaga
2013,OSA,Osasuna
2013,RMA,Real Madrid
2013,SEV,Sevilla
2013,RSO,Sociedad
2013,VAL,Valencia
2013,VAL,Valladolid
2013,VAL,Vallecano
2013,VIL,Villarreal
2014,ALM,Almeria
2014,ATHB,Ath Bilbao
2014,ATHM,Ath Madrid
2014,BAR,Barcelona
2014,CEL,Celta
2014,COR,Cordoba
2014,EIB,Eibar
2014,ELC,Elche
2014,ESP,Espanol
2014,GET,Getafe
2014,GRA,Granada
2014,LAC,La Coruna
2014,LEV,Levante
2014,MAL,Malaga
2014,RMA,Real Madrid
2014,SEV,Sevilla
2014,RSO,Sociedad
2014,VAL,Valencia
2014,VAL,Vallecano
2014,VIL,Villarreal
2015,ATHB,Ath Bilbao
2015,ATHM,Ath Madrid
2015,BAR,Barcelona
2015,BET,Betis
2015,CEL,Celta
2015,EIB,Eibar
2015,ESP,Espanol
2015,GET,Getafe
2015,GRA,Granada
2015,LAC,La Coruna
2015,LASP,Las Palmas
2015,LEV,Levante
2015,MAL,Malaga
2015,RMA,Real Madrid
2015,SEV,Sevilla
2015,RSO,Sociedad
2015,SPG,Sp Gijon
2015,VAL,Valencia
2015,VAL,Vallecano
2015,VIL,Villarreal
2016,ALA,Alaves
2016,ATHB,Ath Bilbao
2016,ATHM,Ath Madrid
2016,BAR,Barcelona
2016,BET,Betis
2016,CEL,Celta
2016,EIB,Eibar
2016,ESP,Espanol
2016,GRA,Granada
2016,LAC,La Coruna
2016,LASP,Las Palmas
2016,LEG,Leganes
2016,MAL,Malaga
2016,OSA,Osasuna
2016,RMA,Real Madrid
2016,SEV,Sevilla
2016,RSO,Sociedad
2016,SPG,Sp Gijon
2016,VAL,Valencia
2016,VIL,Villarreal
2017,ALA,Alaves
2017,ATHB,Ath Bilbao
2017,ATHM,Ath Madrid
2017,BAR,Barcelona
2017,BET,Betis
2017,CEL,Celta
2017,EIB,Eibar
2017,ESP,Espanol
2017,GET,Getafe
2017,GIR,Girona
2017,LAC,La Coruna
2017,LASP,Las Palmas
2017,LEG,Leganes
2017,LEV,Levante
2017,MAL,Malaga
2017,RMA,Real Madrid
2017,SEV,Sevilla
2017,RSO,Sociedad
2017,VAL,Valencia
2017,VIL,Villarreal
2018,ALA,Alaves
2018,ATHB,Ath Bilbao
2018,ATHM,Ath Madrid
2018,BAR,Barcelona
2018,BET,Betis
2018,CEL,Celta
2018,EIB,Eibar
2018,ESP,Espanol
2018,GET,Getafe
2018,GIR,Girona
2018,HUE,Huesca
2018,LEG,Leganes
2018,LEV,Levante
2018,RMA,Real Madrid
2018,SEV,Sevilla
2018,RSO,Sociedad
2018,VAL,Valencia
2018,VAL,Valladolid
2018,VAL,Vallecano
2018,VIL,Villarreal
2019,ALA,Alaves
2019,ATHB,Ath Bilbao
2019,ATHM,Ath Madrid
2019,BAR,Barcelona
2019,BET,Betis
2019,CEL,Celta
2019,EIB,Eibar
2019,ESP,Espanol
2019,GET,Getafe
2019,GRA,Granada
2019,LEG,Leganes
2019,LEV,Levante
2019,MAL,Mallorca
2019,OSA,Osasuna
2019,RMA,Real Madrid
2019,SEV,Sevilla
2019,RSO,Sociedad
2019,VAL,Valencia
2019,VAL,Valladolid
2019,VIL,Villarreal
2020,ALA,Alaves
2020,ATHB,Ath Bilbao
2020,ATHM,Ath Madrid
2020,BAR,Barcelona
2020,BET,Betis
2020,CAD,Cadiz
2020,CEL,Celta
2020,EIB,Eibar
2020,ELC,Elche
2020,GET,Getafe
2020,GRA,Granada
2020,HUE,Huesca
2020,LEV,Levante
2020,OSA,Osasuna
2020,RMA,Real Madrid
2020,SEV,Sevilla
2020,RSO,Sociedad
2020,VAL,Valencia
2020,VAL,Valladolid
2020,VIL,Villarreal
2021,ALA,Alaves
2021,ATHB,Ath Bilbao
2021,ATHM,Ath Madrid
2021,BAR,Barcelona
2021,BET,Betis
2021,CAD,Cadiz
2021,CEL,Celta
2021,ELC,Elche
2021,ESP,Espanol
2021,GET,Getafe
