season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2000,Roma,75,22,9,3,68,33,35,1
2000,Juventus,73,21,10,3,61,27,34,2
2000,Lazio,69,21,6,7,65,36,29,3
2000,Parma,56,16,8,10,51,31,20,4
2000,Inter,51,14,9,11,47,47,0,5
2000,Milan,49,12,13,9,56,46,10,6
2000,Atalanta,44,10,14,10,38,34,4,7
2000,Brescia,44,10,14,10,44,42,2,8
2000,Fiorentina,43,10,13,11,53,52,1,9
2000,Bologna,43,11,10,13,49,53,-4,10
2000,Perugia,42,10,12,12,49,53,-4,11
2000,Udinese,38,11,5,18,49,59,-10,12
2000,Lecce,37,8,13,13,40,54,-14,13
2000,Reggina,37,10,7,17,32,49,-17,14
2000,Verona,37,10,7,17,40,59,-19,15
2000,Vicenza,36,9,9,16,37,51,-14,16
2000,Napoli,36,8,12,14,35,51,-16,17
2000,Bari,20,5,5,24,31,68,-37,18
2001,Juventus,71,20,11,3,64,23,41,1
2001,Roma,70,19,13,2,58,24,34,2
2001,Inter,69,20,9,5,62,35,27,3
2001,Milan,55,14,13,7,47,33,14,4
2001,Chievo,54,14,12,8,57,52,5,5
2001,Lazio,53,14,11,9,50,37,13,6
2001,Bologna,52,15,7,12,40,40,0,7
2001,Perugia,46,13,7,14,38,46,-8,8
2001,Atalanta,45,12,9,13,41,50,-9,9
2001,Parma,44,12,8,14,43,47,-4,10
2001,Torino,43,10,13,11,37,39,-2,11
2001,Piacenza,42,11,9,14,49,43,6,12
2001,Brescia,40,9,13,12,43,52,-9,13
2001,Udinese,40,11,7,16,41,52,-11,14
2001,Verona,39,11,6,17,41,53,-12,15
2001,Lecce,28,6,10,18,36,56,-20,16
2001,Fiorentina,22,5,7,22,29,63,-34,17
2001,Venezia,18,3,9,22,30,61,-31,18
2002,Juventus,72,21,9,4,64,29,35,1
2002,Inter,65,19,8,7,64,38,26,2
2002,Milan,61,18,7,9,55,30,25,3
2002,Lazio,60,15,15,4,57,32,25,4
2002,Parma,56,15,11,8,55,36,19,5
2002,Udinese,56,16,8,10,38,35,3,6
2002,Chievo,55,16,7,11,51,39,12,7
2002,Roma,49,13,10,11,55,46,9,8
2002,Brescia,42,9,15,10,36,38,-2,9
2002,Perugia,42,10,12,12,40,48,-8,10
2002,Bologna,41,10,11,13,39,47,-8,11
