Season,Team_Standardized,Team_Full_Name
1999,ATA,Atalanta
1999,BAR,Bari
1999,BOL,Bologna
1999,BRE,Brescia
1999,FIO,Fiorentina
1999,INT,Inter
1999,JUV,Juventus
1999,LAZ,Lazio
1999,LEC,Lecce
1999,MIL,Milan
1999,NAP,Napoli
1999,PAR,Parma
1999,PER,Perugia
1999,REG,Reggina
1999,ROM,Roma
1999,UDI,Udinese
1999,VER,Verona
1999,VIC,Vicenza
2000,ATA,Atalanta
2000,BAR,Bari
2000,BOL,Bologna
2000,BRE,Brescia
2000,CHI,Chievo
2000,FIO,Fiorentina
2000,INT,Inter
2000,JUV,Juventus
2000,LAZ,Lazio
2000,LEC,Lecce
2000,MIL,Milan
2000,NAP,Napoli
2000,PAR,Parma
2000,PER,Perugia
2000,PIA,Piacenza
2000,REG,Reggina
2000,ROM,Roma
2000,TOR,Torino
2000,UDI,Udinese
2000,VEN,Venezia
2000,VER,Verona
2000,VIC,Vicenza
2001,ATA,Atalanta
2001,BAR,Bari
2001,BOL,Bologna
2001,BRE,Brescia
2001,CHI,Chievo
2001,COM,Como
2001,EMP,Empoli
2001,FIO,Fiorentina
2001,INT,Inter
2001,JUV,Juventus
2001,LAZ,Lazio
2001,LEC,Lecce
2001,MIL,Milan
2001,MOD,Modena
2001,NAP,Napoli
2001,PAR,Parma
2001,PER,Perugia
2001,PIA,Piacenza
2001,REG,Reggina
2001,ROM,Roma
2001,TOR,Torino
2001,UDI,Udinese
2001,VEN,Venezia
2001,VER,Verona
2001,VIC,Vicenza
2002,ANC,Ancona
2002,ATA,Atalanta
2002,BOL,Bologna
2002,BRE,Brescia
2002,CHI,Chievo
2002,COM,Como
2002,EMP,Empoli
2002,FIO,Fiorentina
2002,INT,Inter
2002,JUV,Juventus
2002,LAZ,Lazio
2002,LEC,Lecce
2002,MIL,Milan
2002,MOD,Modena
2002,PAR,Parma
2002,PER,Perugia
2002,PIA,Piacenza
2002,REG,Reggina
2002,ROM,Roma
2002,SAM,Sampdoria
2002,SIE,Siena
2002,TOR,Torino
2002,UDI,Udinese
2002,VEN,Venezia
2002,VER,Verona
2003,ANC,Ancona
2003,ATA,Atalanta
2003,BOL,Bologna
2003,BRE,Brescia
2003,CAG,Cagliari
2003,CHI,Chievo
2003,COM,Como
2003,EMP,Empoli
2003,FIO,Fiorentina
2003,INT,Inter
2003,JUV,Juventus
2003,LAZ,Lazio
2003,LEC,Lecce
2003,LIV,Livorno
2003,MES,Messina
2003,MIL,Milan
2003,MOD,Modena
2003,PAL,Palermo
2003,PAR,Parma
2003,PER,Perugia
2003,PIA,Piacenza
2003,REG,Reggina
2003,ROM,Roma
2003,SAM,Sampdoria
2003,SIE,Siena
2003,TOR,Torino
2003,UDI,Udinese
2004,ANC,Ancona
2004,ASC,Ascoli
2004,ATA,Atalanta
2004,BOL,Bologna
2004,BRE,Brescia
2004,CAG,Cagliari
2004,CHI,Chievo
2004,EMP,Empoli
2004,FIO,Fiorentina
2004,INT,Inter
2004,JUV,Juventus
2004,LAZ,Lazio
2004,LEC,Lecce
2004,LIV,Livorno
2004,MES,Messina
2004,MIL,Milan
2004,MOD,Modena
2004,PAL,Palermo
2004,PAR,Parma
2004,PER,Perugia
2004,REG,Reggina
2004,ROM,Roma
2004,SAM,Sampdoria
2004,SIE,Siena
2004,TRE,Treviso
2004,UDI,Udinese
2005,ASC,Ascoli
2005,ATA,Atalanta
2005,BOL,Bologna
2005,BRE,Brescia
2005,CAG,Cagliari
2005,CAT,Catania
2005,CHI,Chievo
2005,EMP,Empoli
2005,FIO,Fiorentina
2005,INT,Inter
2005,JUV,Juventus
2005,LAZ,Lazio
2005,LEC,Lecce
2005,LIV,Livorno
2005,MES,Messina
2005,MIL,Milan
2005,PAL,Palermo
2005,PAR,Parma
2005,REG,Reggina
2005,ROM,Roma
2005,SAM,Sampdoria
2005,SIE,Siena
2005,TOR,Torino
2005,TRE,Treviso
2005,UDI,Udinese
2006,ASC,Ascoli
2006,ATA,Atalanta
2006,CAG,Cagliari
2006,CAT,Catania
2006,CHI,Chievo
2006,EMP,Empoli
2006,FIO,Fiorentina
2006,GEN,Genoa
2006,INT,Inter
2006,JUV,Juventus
2006,LAZ,Lazio
2006,LEC,Lecce
2006,LIV,Livorno
2006,MES,Messina
2006,MIL,Milan
2006,NAP,Napoli
2006,PAL,Palermo
2006,PAR,Parma
2006,REG,Reggina
2006,ROM,Roma
2006,SAM,Sampdoria
2006,SIE,Siena
2006,TOR,Torino
2006,TRE,Treviso
2006,UDI,Udinese
2007,ASC,Ascoli
2007,ATA,Atalanta
2007,BOL,Bologna
2007,CAG,Cagliari
2007,CAT,Catania
2007,CHI,Chievo
2007,EMP,Empoli
2007,FIO,Fiorentina
2007,GEN,Genoa
2007,INT,Inter
2007,JUV,Juventus
2007,LAZ,Lazio
2007,LEC,Lecce
2007,LIV,Livorno
2007,MES,Messina
2007,MIL,Milan
2007,NAP,Napoli
2007,PAL,Palermo
2007,PAR,Parma
2007,REG,Reggina
2007,ROM,Roma
2007,SAM,Sampdoria
2007,SIE,Siena
2007,TOR,Torino
2007,UDI,Udinese
2008,ATA,Atalanta
2008,BAR,Bari
2008,BOL,Bologna
2008,CAG,Cagliari
2008,CAT,Catania
2008,CHI,Chievo
2008,EMP,Empoli
2008,FIO,Fiorentina
