season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024,2025-05-17,AUG,UNI,1.0,2.0,-1,0.0,3.0,2.08,3.47,3.52
2024,2025-05-17,DOR,HOLK,3.0,0.0,1,3.0,0.0,1.08,12.72,21.58
2024,2025-05-17,FRE,EINF,1.0,3.0,-1,0.0,3.0,2.37,3.72,2.76
2024,2025-05-17,HEI,WERB,1.0,4.0,-1,0.0,3.0,2.3,3.87,2.78
2024,2025-05-17,HOF,BAY,0.0,4.0,-1,0.0,3.0,5.11,5.23,1.5
2024,2025-05-17,MAI,LEVK,2.0,2.0,0,1.0,1.0,2.18,3.94,2.94
2024,2025-05-17,M'G,WOB,0.0,1.0,-1,0.0,3.0,2.19,4.23,2.79
2024,2025-05-17,RBL,STU,2.0,3.0,-1,0.0,3.0,1.99,4.24,3.19
2024,2025-05-17,STP,BOC,0.0,2.0,-1,0.0,3.0,1.67,4.2,4.68
2024,2025-05-11,LEVK,DOR,2.0,4.0,-1,0.0,3.0,2.65,3.94,2.39
2024,2025-05-11,EINF,STP,2.0,2.0,0,1.0,1.0,1.52,4.49,5.96
2024,2025-05-11,STU,AUG,4.0,0.0,1,3.0,0.0,1.55,4.46,5.47
2024,2025-05-10,BOC,MAI,1.0,4.0,-1,0.0,3.0,2.95,3.68,2.27
2024,2025-05-10,HOLK,FRE,1.0,2.0,-1,0.0,3.0,3.21,3.8,2.09
2024,2025-05-10,UNI,HEI,0.0,3.0,-1,0.0,3.0,2.19,3.47,3.28
2024,2025-05-10,WERB,RBL,0.0,0.0,0,1.0,1.0,2.36,3.68,2.82
2024,2025-05-10,BAY,M'G,2.0,0.0,1,3.0,0.0,1.16,9.49,12.4
2024,2025-05-09,WOB,HOF,2.0,2.0,0,1.0,1.0,2.29,3.7,2.94
2024,2025-05-04,AUG,HOLK,1.0,3.0,-1,0.0,3.0,1.84,3.76,4.14
2024,2025-05-04,FRE,LEVK,2.0,2.0,0,1.0,1.0,3.08,3.51,2.27
