season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024,2025-05-25,Atalanta,Parma,2.0,3.0,-1,0.0,3.0,1.76,3.63,4.84
2024,2025-05-25,Empoli,Verona,1.0,2.0,-1,0.0,3.0,1.98,3.24,4.21
2024,2025-05-25,Lazio,Lecce,0.0,1.0,-1,0.0,3.0,1.56,3.72,7.09
2024,2025-05-25,Torino,Roma,0.0,2.0,-1,0.0,3.0,5.74,4.16,1.57
2024,2025-05-25,Udinese,Fiorentina,2.0,3.0,-1,0.0,3.0,3.68,3.64,1.99
2024,2025-05-25,Venezia,Juventus,2.0,3.0,-1,0.0,3.0,5.8,4.23,1.55
2024,2025-05-24,Bologna,Genoa,1.0,3.0,-1,0.0,3.0,1.5,4.45,6.3
2024,2025-05-24,Milan,Monza,2.0,0.0,1,3.0,0.0,1.22,7.1,11.13
2024,2025-05-23,Como,Inter,0.0,2.0,-1,0.0,3.0,4.82,4.3,1.65
2024,2025-05-23,Napoli,Cagliari,2.0,0.0,1,3.0,0.0,1.19,6.94,14.74
2024,2025-05-18,Cagliari,Venezia,3.0,0.0,1,3.0,0.0,2.58,3.01,3.02
2024,2025-05-18,Fiorentina,Bologna,3.0,2.0,1,3.0,0.0,2.77,3.12,2.71
2024,2025-05-18,Inter,Lazio,2.0,2.0,0,1.0,1.0,1.63,4.13,5.06
2024,2025-05-18,Juventus,Udinese,2.0,0.0,1,3.0,0.0,1.36,4.82,9.02
2024,2025-05-18,Lecce,Torino,1.0,0.0,1,3.0,0.0,1.86,3.38,4.58
2024,2025-05-18,Monza,Empoli,1.0,3.0,-1,0.0,3.0,4.88,3.63,1.74
2024,2025-05-18,Parma,Napoli,0.0,0.0,0,1.0,1.0,6.32,4.19,1.52
2024,2025-05-18,Roma,Milan,3.0,1.0,1,3.0,0.0,2.31,3.54,2.97
2024,2025-05-18,Verona,Como,1.0,1.0,0,1.0,1.0,3.48,3.32,2.16
2024,2025-05-17,Genoa,Atalanta,2.0,3.0,-1,0.0,3.0,4.54,3.79,1.76
2024,2025-05-12,Venezia,Fiorentina,2.0,1.0,1,3.0,0.0,3.06,3.2,2.41
2024,2025-05-12,Atalanta,Roma,2.0,1.0,1,3.0,0.0,1.99,3.54,3.71
2024,2025-05-11,Udinese,Monza,1.0,2.0,-1,0.0,3.0,1.48,4.35,6.8
2024,2025-05-11,Verona,Lecce,1.0,1.0,0,1.0,1.0,2.22,3.03,3.72
2024,2025-05-11,Torino,Inter,0.0,2.0,-1,0.0,3.0,5.93,4.1,1.56
2024,2025-05-11,Napoli,Genoa,2.0,2.0,0,1.0,1.0,1.29,5.08,11.88
2024,2025-05-10,Como,Cagliari,3.0,1.0,1,3.0,0.0,1.75,3.76,4.66
2024,2025-05-10,Lazio,Juventus,1.0,1.0,0,1.0,1.0,2.46,3.2,3.03
2024,2025-05-10,Empoli,Parma,2.0,1.0,1,3.0,0.0,2.14,3.39,3.48
2024,2025-05-09,Milan,Bologna,3.0,1.0,1,3.0,0.0,2.35,3.38,3.05
2024,2025-05-05,Genoa,Milan,1.0,2.0,-1,0.0,3.0,4.48,3.7,1.79
2024,2025-05-04,Empoli,Lazio,0.0,1.0,-1,0.0,3.0,4.42,3.62,1.82
2024,2025-05-04,Monza,Atalanta,0.0,4.0,-1,0.0,3.0,12.68,6.51,1.22
2024,2025-05-04,Roma,Fiorentina,1.0,0.0,1,3.0,0.0,1.65,3.85,5.32
2024,2025-05-04,Bologna,Juventus,1.0,1.0,0,1.0,1.0,2.43,3.1,3.15
2024,2025-05-03,Cagliari,Udinese,1.0,2.0,-1,0.0,3.0,2.21,3.16,3.53
2024,2025-05-03,Parma,Como,0.0,1.0,-1,0.0,3.0,3.1,3.38,2.31
2024,2025-05-03,Lecce,Napoli,0.0,1.0,-1,0.0,3.0,6.55,4.08,1.53
2024,2025-05-03,Inter,Verona,1.0,0.0,1,3.0,0.0,1.33,5.03,9.61
2024,2025-05-02,Torino,Venezia,1.0,1.0,0,1.0,1.0,2.48,2.96,3.28
