season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024,2025-05-25,GIR,ATHM,0,0,0,1.0,1.0,3.71,3.75,1.95
2024,2025-05-25,VIL,SEV,4,1,1,3.0,0.0,1.46,4.89,6.15
2024,2025-05-25,ATHB,BARC,0,0,0,1.0,1.0,3.22,3.75,2.11
2024,2025-05-24,RMA,RSO,2,1,1,3.0,0.0,1.42,5.04,6.72
2024,2025-05-24,ESP,LASP,1,2,-1,0.0,3.0,1.38,4.88,8.3
2024,2025-05-24,LEG,VLLD,1,0,1,3.0,0.0,1.32,5.42,9.4
2024,2025-05-24,ALA,OSA,1,2,-1,0.0,3.0,3.2,3.2,2.36
2024,2025-05-24,GET,CEL,1,2,-1,0.0,3.0,4.22,3.65,1.86
2024,2025-05-24,RAYO,MALL,0,0,0,1.0,1.0,1.53,4.1,6.46
2024,2025-05-23,BET,VLC,3,0,1,3.0,0.0,1.96,3.78,3.66
2024,2025-05-18,ATHM,BET,0,2,-1,0.0,3.0,1.95,3.72,3.69
2024,2025-05-18,BARC,VIL,1,1,0,1.0,1.0,1.85,4.15,3.7
2024,2025-05-18,CEL,RAYO,2,0,1,3.0,0.0,1.78,3.91,4.32
2024,2025-05-18,LASP,LEG,2,1,1,3.0,0.0,2.9,3.45,2.39
2024,2025-05-18,MALL,GET,0,2,-1,0.0,3.0,2.01,3.2,4.16
2024,2025-05-18,OSA,ESP,1,2,-1,0.0,3.0,1.83,3.48,4.59
2024,2025-05-18,SEV,RMA,3,2,1,3.0,0.0,4.13,3.99,1.78
2024,2025-05-18,RSO,GIR,1,0,1,3.0,0.0,2.13,3.08,3.88
2024,2025-05-18,VLC,ATHB,3,1,1,3.0,0.0,2.24,2.99,3.73
2024,2025-05-18,VLLD,ALA,2,2,0,1.0,1.0,5.73,3.84,1.62
2024,2025-05-15,RAYO,BET,1,0,1,3.0,0.0,3.05,3.13,2.48
2024,2025-05-15,OSA,ATHM,2,1,1,3.0,0.0,3.74,3.3,2.08
2024,2025-05-15,ESP,BARC,1,1,0,1.0,1.0,9.34,5.76,1.3
2024,2025-05-15,GET,ATHB,2,1,1,3.0,0.0,3.4,2.65,2.64
2024,2025-05-14,ALA,VLC,1,2,-1,0.0,3.0,2.16,3.17,3.69
2024,2025-05-14,VIL,LEG,2,3,-1,0.0,3.0,1.34,5.26,8.73
2024,2025-05-14,RMA,MALL,0,2,-1,0.0,3.0,1.38,5.06,7.87
2024,2025-05-13,VLLD,GIR,2,2,0,1.0,1.0,4.59,3.88,1.75
2024,2025-05-13,RSO,CEL,1,0,1,3.0,0.0,2.37,3.32,3.12
2024,2025-05-13,SEV,LASP,1,0,1,3.0,0.0,1.69,3.73,5.37
2024,2025-05-11,LEG,ESP,1,3,-1,0.0,3.0,2.41,3.07,3.22
2024,2025-05-11,BARC,RMA,0,3,-1,0.0,3.0,1.97,4.08,3.34
2024,2025-05-11,ATHB,ALA,1,2,-1,0.0,3.0,1.88,3.24,4.68
2024,2025-05-11,BET,OSA,1,1,0,1.0,1.0,1.64,3.98,5.24
2024,2025-05-10,VLC,GET,1,3,-1,0.0,3.0,2.05,3.12,4.13
2024,2025-05-10,CEL,SEV,0,0,0,1.0,1.0,1.83,3.66,4.34
2024,2025-05-10,GIR,VIL,4,0,1,3.0,0.0,3.12,3.72,2.16
2024,2025-05-10,MALL,VLLD,2,0,1,3.0,0.0,1.34,5.0,9.97
