season,team_name,points,wins,draws,losses,rank
2002,Man United,83,25,8,5,1
2002,Arsenal,78,23,9,6,2
2002,Newcastle,69,21,6,11,3
2002,Chelsea,67,19,10,9,4
2002,Liverpool,64,18,10,10,5
2002,Blackburn,60,16,12,10,6
2002,Everton,59,17,8,13,7
2002,Southampton,52,13,13,12,8
2002,Man City,51,15,6,17,9
2002,Tottenham,50,14,8,16,10
2002,Middlesbrough,49,13,10,15,11
2002,Charlton,49,14,7,17,12
2002,Birmingham,48,13,9,16,13
2002,Fulham,48,13,9,16,14
2002,Leeds,47,14,5,19,15
2002,Aston Villa,45,12,9,17,16
2002,Bolton,44,10,14,14,17
2002,West Ham,42,10,12,16,18
2002,West Brom,26,6,8,24,19
2002,Sunderland,19,4,7,27,20
2004,Man United,9,3,0,0,1
2004,West Ham,7,2,1,0,2
2004,Man City,6,2,0,1,3
2004,Blackburn,6,2,0,1,4
2004,Chelsea,6,2,0,1,5
2004,Liverpool,6,2,0,1,6
2004,Bolton,6,2,0,1,7
2004,Tottenham,6,2,0,1,8
2004,Arsenal,6,2,0,1,9
2004,Everton,6,2,0,1,10
2004,Wigan,6,2,0,1,11
2004,Newcastle,5,1,2,0,12
2004,Fulham,4,1,1,1,13
2004,Middlesbrough,3,1,0,2,14
2004,Sunderland,1,0,1,2,15
2004,Aston Villa,1,0,1,2,16
2004,West Brom,1,0,1,2,17
2004,Portsmouth,1,0,1,2,18
2004,Birmingham,0,0,0,3,19
2004,Charlton,0,0,0,3,20
2005,Chelsea,79,25,4,4,1
2005,Liverpool,76,23,7,3,2
2005,Man United,74,22,8,5,3
2005,Tottenham,64,18,10,8,4
2005,Arsenal,59,18,5,10,5
2005,Blackburn,59,18,5,13,6
2005,West Ham,51,15,6,16,7
2005,Newcastle,50,15,5,15,8
2005,Wigan,47,14,5,17,9
2005,Bolton,46,12,10,12,10
2005,Charlton,46,13,7,14,11
2005,Fulham,45,13,6,17,12
2005,Aston Villa,44,11,11,12,13
2005,Everton,40,11,7,16,14
2005,Middlesbrough,39,10,9,16,15
2005,Man City,35,10,5,19,16
2005,Portsmouth,33,9,6,19,17
2005,Birmingham,32,8,8,17,18
2005,West Brom,27,7,6,19,19
2005,Sunderland,13,3,4,26,20
2005,Sheffield United,6,2,0,0,21
2005,Reading,6,2,0,2,22
2005,Watford,5,1,2,0,23
2006,Man United,95,30,5,5,1
2006,Chelsea,94,28,10,4,2
2006,Arsenal,77,21,14,8,3
2006,Liverpool,76,22,10,11,4
2006,Everton,65,17,14,10,5
2006,Portsmouth,62,16,14,11,6
2006,Blackburn,59,17,8,14,7
2006,Tottenham,58,15,13,12,8
2006,Bolton,57,16,9,16,9
2006,Aston Villa,56,13,17,12,10
2006,Middlesbrough,54,14,12,15,11
2006,Reading,49,14,7,15,12
2006,Newcastle,49,13,10,18,13
2006,Man City,48,13,9,19,14
2006,Fulham,42,9,15,15,15
2006,West Ham,42,12,6,21,16
2006,Wigan,36,9,9,21,17
2006,Charlton,34,8,10,19,18
2006,Sheffield United,29,7,8,20,19
2006,Watford,17,2,11,20,20
2006,Birmingham,5,1,2,3,21
2006,Sunderland,4,1,1,4,22
2006,West Brom,2,0,2,1,23
2006,Derby,0,0,0,4,24
2007,Man United,84,26,6,4,1
2007,Chelsea,81,24,9,2,2
2007,Arsenal,72,21,9,4,3
2007,Liverpool,67,19,10,6,4
2007,Everton,53,15,8,11,5
2007,Blackburn,49,12,13,11,6
2007,Portsmouth,47,13,8,13,7
2007,Man City,46,12,10,12,8
2007,Newcastle,44,11,11,11,9
2007,Aston Villa,43,11,10,12,10
2007,West Ham,42,11,9,12,11
2007,Bolton,42,11,9,16,12
2007,Tottenham,39,10,9,13,13
2007,Wigan,39,10,9,16,14
2007,Sunderland,34,9,7,17,15
2007,Middlesbrough,32,8,8,17,16
2007,Reading,30,8,6,17,17
2007,Birmingham,26,6,8,15,18
2007,Fulham,26,5,11,18,19
2007,Derby,11,1,8,20,20
2007,Watford,6,2,0,0,21
2007,Hull,6,2,0,1,22
2007,West Brom,5,1,2,0,23
2007,Stoke,4,1,1,1,24
2007,Sheffield United,3,1,0,0,25
2007,Charlton,1,0,1,1,26
2008,Liverpool,81,23,12,2,1
2008,Man United,79,24,7,5,2
2008,Chelsea,79,23,10,5,3
2008,Arsenal,78,22,12,4,4
2008,Aston Villa,73,20,13,8,5
2008,Everton,69,19,12,8,6
2008,Man City,61,18,7,17,7
2008,Fulham,57,15,12,12,8
2008,West Ham,57,16,9,15,9
2008,Tottenham,55,15,10,15,10
2008,Portsmouth,52,14,10,17,11
2008,Wigan,43,11,10,17,12
2008,Bolton,39,10,9,19,13
2008,Blackburn,39,9,12,17,14
2008,Sunderland,37,10,7,22,15
2008,Stoke,37,10,7,17,16
2008,Middlesbrough,33,7,12,18,17
2008,Hull,32,7,11,16,18
2008,Newcastle,25,5,10,22,19
2008,West Brom,23,6,5,21,20
