season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024,2025-05-17,Augsburg,Union Berlin,1.0,2.0,-1,0.0,3.0,2.08,3.47,3.52
2024,2025-05-17,Dortmund,Holstein Kiel,3.0,0.0,1,3.0,0.0,1.08,12.72,21.58
2024,2025-05-17,Freiburg,Ein Frankfurt,1.0,3.0,-1,0.0,3.0,2.37,3.72,2.76
2024,2025-05-17,Heidenheim,Werder Bremen,1.0,4.0,-1,0.0,3.0,2.3,3.87,2.78
2024,2025-05-17,Hoffenheim,Bayern Munich,0.0,4.0,-1,0.0,3.0,5.11,5.23,1.5
2024,2025-05-17,Mainz,Leverkusen,2.0,2.0,0,1.0,1.0,2.18,3.94,2.94
2024,2025-05-17,M'gladbach,Wolfsburg,0.0,1.0,-1,0.0,3.0,2.19,4.23,2.79
2024,2025-05-17,RB Leipzig,Stuttgart,2.0,3.0,-1,0.0,3.0,1.99,4.24,3.19
2024,2025-05-17,St Pauli,Bochum,0.0,2.0,-1,0.0,3.0,1.67,4.2,4.68
2024,2025-05-11,Leverkusen,Dortmund,2.0,4.0,-1,0.0,3.0,2.65,3.94,2.39
2024,2025-05-11,Ein Frankfurt,St Pauli,2.0,2.0,0,1.0,1.0,1.52,4.49,5.96
2024,2025-05-11,Stuttgart,Augsburg,4.0,0.0,1,3.0,0.0,1.55,4.46,5.47
2024,2025-05-10,Bochum,Mainz,1.0,4.0,-1,0.0,3.0,2.95,3.68,2.27
2024,2025-05-10,Holstein Kiel,Freiburg,1.0,2.0,-1,0.0,3.0,3.21,3.8,2.09
2024,2025-05-10,Union Berlin,Heidenheim,0.0,3.0,-1,0.0,3.0,2.19,3.47,3.28
2024,2025-05-10,Werder Bremen,RB Leipzig,0.0,0.0,0,1.0,1.0,2.36,3.68,2.82
2024,2025-05-10,Bayern Munich,M'gladbach,2.0,0.0,1,3.0,0.0,1.16,9.49,12.4
2024,2025-05-09,Wolfsburg,Hoffenheim,2.0,2.0,0,1.0,1.0,2.29,3.7,2.94
2024,2025-05-04,Augsburg,Holstein Kiel,1.0,3.0,-1,0.0,3.0,1.84,3.76,4.14
2024,2025-05-04,Freiburg,Leverkusen,2.0,2.0,0,1.0,1.0,3.08,3.51,2.27
2024,2025-05-04,Mainz,Ein Frankfurt,1.0,1.0,0,1.0,1.0,2.38,3.64,2.82
2024,2025-05-03,M'gladbach,Hoffenheim,4.0,4.0,0,1.0,1.0,2.1,3.95,3.11
2024,2025-05-03,RB Leipzig,Bayern Munich,3.0,3.0,0,1.0,1.0,4.49,4.57,1.64
2024,2025-05-03,St Pauli,Stuttgart,0.0,1.0,-1,0.0,3.0,2.67,3.47,2.57
2024,2025-05-03,Union Berlin,Werder Bremen,2.0,2.0,0,1.0,1.0,2.72,3.42,2.56
2024,2025-05-03,Dortmund,Wolfsburg,4.0,0.0,1,3.0,0.0,1.32,5.97,7.96
2024,2025-05-02,Heidenheim,Bochum,0.0,0.0,0,1.0,1.0,2.29,3.54,3.06
2024,2025-04-27,Bochum,Union Berlin,1.0,1.0,0,1.0,1.0,2.3,3.49,3.04
2024,2025-04-27,Werder Bremen,St Pauli,0.0,0.0,0,1.0,1.0,1.9,3.68,3.93
2024,2025-04-26,Bayern Munich,Mainz,3.0,0.0,1,3.0,0.0,1.22,7.12,11.36
2024,2025-04-26,Hoffenheim,Dortmund,2.0,3.0,-1,0.0,3.0,4.15,4.3,1.73
2024,2025-04-26,Holstein Kiel,M'gladbach,4.0,3.0,1,3.0,0.0,3.06,3.86,2.15
2024,2025-04-26,Leverkusen,Augsburg,2.0,0.0,1,3.0,0.0,1.36,5.01,8.72
2024,2025-04-26,Wolfsburg,Freiburg,0.0,1.0,-1,0.0,3.0,2.4,3.56,2.84
2024,2025-04-26,Ein Frankfurt,RB Leipzig,4.0,0.0,1,3.0,0.0,2.16,3.84,3.03
2024,2025-04-25,Stuttgart,Heidenheim,0.0,1.0,-1,0.0,3.0,1.49,4.9,5.87
2024,2025-04-20,Augsburg,Ein Frankfurt,0.0,0.0,0,1.0,1.0,2.58,3.36,2.72
2024,2025-04-20,Dortmund,M'gladbach,3.0,2.0,1,3.0,0.0,1.41,5.25,6.6
2024,2025-04-20,St Pauli,Leverkusen,1.0,1.0,0,1.0,1.0,5.15,3.85,1.67
2024,2025-04-19,Freiburg,Hoffenheim,3.0,2.0,1,3.0,0.0,1.94,3.72,3.76
2024,2025-04-19,Heidenheim,Bayern Munich,0.0,4.0,-1,0.0,3.0,9.41,6.18,1.28
2024,2025-04-19,Mainz,Wolfsburg,2.0,2.0,0,1.0,1.0,2.02,3.65,3.53
2024,2025-04-19,RB Leipzig,Holstein Kiel,1.0,1.0,0,1.0,1.0,1.31,5.89,8.51
2024,2025-04-19,Werder Bremen,Bochum,1.0,0.0,1,3.0,0.0,1.73,4.11,4.35
2024,2025-04-19,Union Berlin,Stuttgart,4.0,4.0,0,1.0,1.0,2.83,3.4,2.48
2024,2025-04-13,Stuttgart,Werder Bremen,1.0,2.0,-1,0.0,3.0,1.64,4.45,4.57
2024,2025-04-13,Ein Frankfurt,Heidenheim,3.0,0.0,1,3.0,0.0,1.72,4.08,4.41
2024,2025-04-12,Bochum,Augsburg,1.0,2.0,-1,0.0,3.0,2.46,3.34,2.9
2024,2025-04-12,Hoffenheim,Mainz,2.0,0.0,1,3.0,0.0,2.66,3.46,2.59
2024,2025-04-12,Holstein Kiel,St Pauli,1.0,2.0,-1,0.0,3.0,3.16,3.37,2.29
2024,2025-04-12,Leverkusen,Union Berlin,0.0,0.0,0,1.0,1.0,1.33,5.32,8.99
2024,2025-04-12,M'gladbach,Freiburg,1.0,2.0,-1,0.0,3.0,2.18,3.65,3.15
2024,2025-04-12,Bayern Munich,Dortmund,2.0,2.0,0,1.0,1.0,1.43,5.2,6.4
2024,2025-04-11,Wolfsburg,RB Leipzig,2.0,3.0,-1,0.0,3.0,2.9,3.7,2.32
2024,2025-04-06,St Pauli,M'gladbach,1.0,1.0,0,1.0,1.0,2.49,3.4,2.8
2024,2025-04-06,Union Berlin,Wolfsburg,1.0,0.0,1,3.0,0.0,2.45,3.31,2.92
2024,2025-04-05,Bochum,Stuttgart,0.0,4.0,-1,0.0,3.0,3.13,3.71,2.16
2024,2025-04-05,Freiburg,Dortmund,1.0,4.0,-1,0.0,3.0,3.07,3.53,2.27
2024,2025-04-05,Heidenheim,Leverkusen,0.0,1.0,-1,0.0,3.0,6.78,4.7,1.44
2024,2025-04-05,Mainz,Holstein Kiel,1.0,1.0,0,1.0,1.0,1.44,4.72,6.92
2024,2025-04-05,RB Leipzig,Hoffenheim,3.0,1.0,1,3.0,0.0,1.54,4.53,5.57
2024,2025-04-05,Werder Bremen,Ein Frankfurt,2.0,0.0,1,3.0,0.0,2.64,3.67,2.51
2024,2025-04-04,Augsburg,Bayern Munich,1.0,3.0,-1,0.0,3.0,7.41,4.85,1.42
2024,2025-03-30,Freiburg,Union Berlin,1.0,2.0,-1,0.0,3.0,2.0,3.43,3.89
2024,2025-03-30,Dortmund,Mainz,3.0,1.0,1,3.0,0.0,1.66,4.1,4.86
2024,2025-03-29,Bayern Munich,St Pauli,3.0,2.0,1,3.0,0.0,1.14,8.67,17.25
2024,2025-03-29,Hoffenheim,Augsburg,1.0,1.0,0,1.0,1.0,2.4,3.3,3.05
2024,2025-03-29,Holstein Kiel,Werder Bremen,0.0,3.0,-1,0.0,3.0,3.32,3.8,2.07
2024,2025-03-29,M'gladbach,RB Leipzig,1.0,0.0,1,3.0,0.0,2.9,3.57,2.37
2024,2025-03-29,Wolfsburg,Heidenheim,0.0,1.0,-1,0.0,3.0,1.66,4.02,5.04
2024,2025-03-29,Ein Frankfurt,Stuttgart,1.0,0.0,1,3.0,0.0,2.52,3.65,2.63
2024,2025-03-28,Leverkusen,Bochum,3.0,1.0,1,3.0,0.0,1.23,6.58,12.03
2024,2025-03-16,Bochum,Ein Frankfurt,1.0,3.0,-1,0.0,3.0,3.09,3.6,2.24
2024,2025-03-16,Heidenheim,Holstein Kiel,3.0,1.0,1,3.0,0.0,2.02,3.59,3.64
2024,2025-03-16,Stuttgart,Leverkusen,3.0,4.0,-1,0.0,3.0,3.03,3.54,2.29
2024,2025-03-15,Augsburg,Wolfsburg,1.0,0.0,1,3.0,0.0,2.6,3.29,2.81
2024,2025-03-15,Mainz,Freiburg,2.0,2.0,0,1.0,1.0,2.01,3.42,3.91
2024,2025-03-15,Union Berlin,Bayern Munich,1.0,1.0,0,1.0,1.0,8.5,5.27,1.35
2024,2025-03-15,Werder Bremen,M'gladbach,2.0,4.0,-1,0.0,3.0,2.4,3.61,2.83
2024,2025-03-15,RB Leipzig,Dortmund,2.0,0.0,1,3.0,0.0,2.41,3.63,2.82
2024,2025-03-14,St Pauli,Hoffenheim,1.0,0.0,1,3.0,0.0,2.3,3.28,3.3
2024,2025-03-09,Ein Frankfurt,Union Berlin,1.0,2.0,-1,0.0,3.0,1.74,4.04,4.45
2024,2025-03-09,Hoffenheim,Heidenheim,1.0,1.0,0,1.0,1.0,1.77,3.98,4.31
2024,2025-03-08,Bayern Munich,Bochum,2.0,3.0,-1,0.0,3.0,1.11,10.81,18.52
2024,2025-03-08,Dortmund,Augsburg,0.0,1.0,-1,0.0,3.0,1.53,4.39,6.02
2024,2025-03-08,Holstein Kiel,Stuttgart,2.0,2.0,0,1.0,1.0,5.78,4.64,1.52
2024,2025-03-08,Leverkusen,Werder Bremen,0.0,2.0,-1,0.0,3.0,1.26,6.22,10.53
2024,2025-03-08,Wolfsburg,St Pauli,1.0,1.0,0,1.0,1.0,1.76,3.72,4.79
2024,2025-03-08,Freiburg,RB Leipzig,0.0,0.0,0,1.0,1.0,2.6,3.32,2.75
2024,2025-03-07,M'gladbach,Mainz,1.0,3.0,-1,0.0,3.0,2.6,3.41,2.7
2024,2025-03-02,Union Berlin,Holstein Kiel,0.0,1.0,-1,0.0,3.0,1.6,4.23,5.3
2024,2025-03-02,Augsburg,Freiburg,0.0,0.0,0,1.0,1.0,2.65,3.15,2.82
2024,2025-03-01,Bochum,Hoffenheim,0.0,1.0,-1,0.0,3.0,2.43,3.57,2.83
2024,2025-03-01,Heidenheim,M'gladbach,0.0,3.0,-1,0.0,3.0,3.02,3.59,2.29
2024,2025-03-01,RB Leipzig,Mainz,1.0,2.0,-1,0.0,3.0,1.99,3.7,3.64
2024,2025-03-01,St Pauli,Dortmund,0.0,2.0,-1,0.0,3.0,4.12,3.73,1.87
2024,2025-03-01,Werder Bremen,Wolfsburg,1.0,2.0,-1,0.0,3.0,2.65,3.53,2.59
2024,2025-03-01,Ein Frankfurt,Leverkusen,1.0,4.0,-1,0.0,3.0,4.58,3.92,1.74
2024,2025-02-28,Stuttgart,Bayern Munich,1.0,3.0,-1,0.0,3.0,4.85,4.29,1.67
2024,2025-02-23,RB Leipzig,Heidenheim,2.0,2.0,0,1.0,1.0,1.35,5.37,7.98
2024,2025-02-23,Bayern Munich,Ein Frankfurt,4.0,0.0,1,3.0,0.0,1.3,6.33,8.27
2024,2025-02-23,Hoffenheim,Stuttgart,1.0,1.0,0,1.0,1.0,3.5,3.92,1.96
2024,2025-02-22,Holstein Kiel,Leverkusen,0.0,2.0,-1,0.0,3.0,10.53,6.57,1.25
2024,2025-02-22,Mainz,St Pauli,2.0,0.0,1,3.0,0.0,1.8,3.57,4.73
2024,2025-02-22,M'gladbach,Augsburg,0.0,3.0,-1,0.0,3.0,1.84,3.79,4.19
2024,2025-02-22,Wolfsburg,Bochum,1.0,1.0,0,1.0,1.0,1.55,4.42,5.7
2024,2025-02-22,Dortmund,Union Berlin,6.0,0.0,1,3.0,0.0,1.55,4.46,5.59
2024,2025-02-21,Freiburg,Werder Bremen,5.0,0.0,1,3.0,0.0,2.06,3.48,3.74
2024,2025-02-16,Werder Bremen,Hoffenheim,1.0,3.0,-1,0.0,3.0,1.89,3.96,3.74
2024,2025-02-16,Ein Frankfurt,Holstein Kiel,3.0,1.0,1,3.0,0.0,1.33,5.69,8.17
2024,2025-02-16,Heidenheim,Mainz,0.0,2.0,-1,0.0,3.0,3.56,3.51,2.07
2024,2025-02-15,Bochum,Dortmund,2.0,0.0,1,3.0,0.0,4.83,4.21,1.66
