season,MatchDate,HomeTeam,AwayTeam,HTHome,HTAway,HTResult,ScoreHome,ScoreAway,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiHome,HandiAway
2024,2025-05-25,Girona,Ath Madrid,0.0,0.0,D,1.0,1.0,3.71,3.75,1.95,4.1,3.89,2.02,1.61,2.32,1.67,2.4,1.93,1.93
2024,2025-05-25,Villarreal,Sevilla,3.0,1.0,H,3.0,0.0,1.46,4.89,6.15,1.5,5.04,6.58,1.5,2.55,1.53,2.65,2.0,1.85
2024,2025-05-25,Ath Bilbao,Barcelona,0.0,2.0,A,0.0,3.0,3.22,3.75,2.11,3.35,3.89,2.18,1.52,2.49,1.55,2.55,2.0,1.85
2024,2025-05-24,Real Madrid,Sociedad,1.0,0.0,H,3.0,0.0,1.42,5.04,6.72,1.46,5.3,7.5,1.44,2.74,1.47,2.8,1.88,1.98
2024,2025-05-24,Espanol,Las Palmas,0.0,0.0,D,1.0,1.0,1.38,4.88,8.3,1.43,5.2,9.5,1.82,2.01,1.87,2.08,1.85,2.0
2024,2025-05-24,Leganes,Valladolid,3.0,0.0,H,3.0,0.0,1.32,5.42,9.4,1.36,5.75,11.0,1.68,2.2,1.74,2.3,1.95,1.9
2024,2025-05-24,Alaves,Osasuna,0.0,0.0,D,1.0,1.0,3.2,3.2,2.36,3.42,3.33,2.4,2.35,1.6,2.43,1.68,1.83,2.03
2024,2025-05-24,Getafe,Celta,1.0,1.0,D,1.0,1.0,4.22,3.65,1.86,4.53,3.76,1.9,2.07,1.76,2.14,1.83,2.0,1.85
2024,2025-05-24,Vallecano,Mallorca,0.0,0.0,D,1.0,1.0,1.53,4.1,6.46,1.58,4.27,7.0,2.14,1.71,2.21,1.78,1.95,1.9
2024,2025-05-23,Betis,Valencia,1.0,0.0,H,3.0,0.0,1.96,3.78,3.66,2.03,3.92,3.81,1.62,2.31,1.69,2.38,1.95,1.9
2024,2025-05-18,Ath Madrid,Betis,2.0,0.0,H,3.0,0.0,1.95,3.72,3.69,2.09,3.93,3.85,1.76,2.08,1.82,2.15,1.93,1.93
2024,2025-05-18,Barcelona,Villarreal,2.0,1.0,H,3.0,0.0,1.85,4.15,3.7,1.9,4.33,3.93,1.35,3.15,1.36,3.25,1.85,2.0
2024,2025-05-18,Celta,Vallecano,1.0,2.0,A,0.0,3.0,1.78,3.91,4.32,1.83,4.02,4.6,1.74,2.1,1.81,2.17,2.0,1.85
2024,2025-05-18,Las Palmas,Leganes,0.0,1.0,A,0.0,3.0,2.9,3.45,2.39,3.01,3.6,2.5,1.83,1.98,1.89,2.06,1.8,2.05
2024,2025-05-18,Mallorca,Getafe,0.0,0.0,D,1.0,1.0,2.01,3.2,4.16,2.1,3.31,4.33,2.67,1.46,2.75,1.49,2.03,1.83
2024,2025-05-18,Osasuna,Espanol,1.0,0.0,H,3.0,0.0,1.83,3.48,4.59,1.88,3.6,4.84,2.09,1.75,2.15,1.82,1.83,2.03
