season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024.0,2025-05-25,Atalanta,Parma,2.0,3.0,-1.0,0.0,3.0,1.75,3.5,5.0
2024.0,2025-05-25,Empoli,Verona,1.0,2.0,-1.0,0.0,3.0,1.95,3.2,4.33
2024.0,2025-05-25,Lazio,Lecce,0.0,1.0,-1.0,0.0,3.0,1.53,3.7,7.5
2024.0,2025-05-25,Torino,Roma,0.0,2.0,-1.0,0.0,3.0,5.5,4.2,1.57
2024.0,2025-05-25,Udinese,Fiorentina,2.0,3.0,-1.0,0.0,3.0,3.7,3.6,2.0
2024.0,2025-05-25,Venezia,Juventus,2.0,3.0,-1.0,0.0,3.0,5.75,4.33,1.53
2024.0,2025-05-24,Bologna,Genoa,1.0,3.0,-1.0,0.0,3.0,1.5,4.5,6.0
2024.0,2025-05-24,Milan,Monza,2.0,0.0,1.0,3.0,0.0,1.22,7.0,11.0
2024.0,2025-05-23,Como,Inter,0.0,2.0,-1.0,0.0,3.0,5.0,4.2,1.65
2024.0,2025-05-23,Napoli,Cagliari,2.0,0.0,1.0,3.0,0.0,1.2,7.0,12.0
2024.0,2025-05-18,Cagliari,Venezia,3.0,0.0,1.0,3.0,0.0,2.6,3.0,3.0
2024.0,2025-05-18,Fiorentina,Bologna,3.0,2.0,1.0,3.0,0.0,2.75,3.0,2.75
2024.0,2025-05-18,Inter,Lazio,2.0,2.0,0.0,1.0,1.0,1.62,4.2,5.0
2024.0,2025-05-18,Juventus,Udinese,2.0,0.0,1.0,3.0,0.0,1.38,4.75,8.5
2024.0,2025-05-18,Lecce,Torino,1.0,0.0,1.0,3.0,0.0,1.83,3.4,4.6
2024.0,2025-05-18,Monza,Empoli,1.0,3.0,-1.0,0.0,3.0,5.0,3.6,1.73
2024.0,2025-05-18,Parma,Napoli,0.0,0.0,0.0,1.0,1.0,6.25,4.2,1.5
2024.0,2025-05-18,Roma,Milan,3.0,1.0,1.0,3.0,0.0,2.3,3.6,2.9
2024.0,2025-05-18,Verona,Como,1.0,1.0,0.0,1.0,1.0,3.5,3.3,2.15
2024.0,2025-05-17,Genoa,Atalanta,2.0,3.0,-1.0,0.0,3.0,4.5,3.9,1.75
2024.0,2025-05-12,Venezia,Fiorentina,2.0,1.0,1.0,3.0,0.0,3.1,3.2,2.38
2024.0,2025-05-12,Atalanta,Roma,2.0,1.0,1.0,3.0,0.0,1.95,3.6,3.75
2024.0,2025-05-11,Udinese,Monza,1.0,2.0,-1.0,0.0,3.0,1.48,4.2,7.0
2024.0,2025-05-11,Verona,Lecce,1.0,1.0,0.0,1.0,1.0,2.15,3.0,3.75
2024.0,2025-05-11,Torino,Inter,0.0,2.0,-1.0,0.0,3.0,5.75,4.0,1.57
2024.0,2025-05-11,Napoli,Genoa,2.0,2.0,0.0,1.0,1.0,1.3,5.25,11.0
2024.0,2025-05-10,Como,Cagliari,3.0,1.0,1.0,3.0,0.0,1.73,3.8,4.75
2024.0,2025-05-10,Lazio,Juventus,1.0,1.0,0.0,1.0,1.0,2.45,3.2,3.0
2024.0,2025-05-10,Empoli,Parma,2.0,1.0,1.0,3.0,0.0,2.15,3.3,3.5
2024.0,2025-05-09,Milan,Bologna,3.0,1.0,1.0,3.0,0.0,2.3,3.4,3.0
2024.0,2025-05-05,Genoa,Milan,1.0,2.0,-1.0,0.0,3.0,4.75,3.7,1.8
2024.0,2025-05-04,Empoli,Lazio,0.0,1.0,-1.0,0.0,3.0,4.33,3.6,1.83
2024.0,2025-05-04,Monza,Atalanta,0.0,4.0,-1.0,0.0,3.0,13.0,6.0,1.22
2024.0,2025-05-04,Roma,Fiorentina,1.0,0.0,1.0,3.0,0.0,1.65,3.7,5.5
2024.0,2025-05-04,Bologna,Juventus,1.0,1.0,0.0,1.0,1.0,2.4,3.1,3.2
2024.0,2025-05-03,Cagliari,Udinese,1.0,2.0,-1.0,0.0,3.0,2.2,3.2,3.5
2024.0,2025-05-03,Parma,Como,0.0,1.0,-1.0,0.0,3.0,3.1,3.3,2.3
2024.0,2025-05-03,Lecce,Napoli,0.0,1.0,-1.0,0.0,3.0,7.0,3.8,1.55
2024.0,2025-05-03,Inter,Verona,1.0,0.0,1.0,3.0,0.0,1.3,5.25,10.0
2024.0,2025-05-02,Torino,Venezia,1.0,1.0,0.0,1.0,1.0,2.5,2.88,3.25
2024.0,2025-04-28,Udinese,Bologna,0.0,0.0,0.0,1.0,1.0,4.5,3.5,1.85
2024.0,2025-04-28,Lazio,Parma,2.0,2.0,0.0,1.0,1.0,1.53,4.5,5.75
2024.0,2025-04-28,Verona,Cagliari,0.0,2.0,-1.0,0.0,3.0,2.5,2.75,3.5
2024.0,2025-04-27,Como,Genoa,1.0,0.0,1.0,3.0,0.0,1.85,3.4,4.75
2024.0,2025-04-27,Venezia,Milan,0.0,2.0,-1.0,0.0,3.0,4.75,4.0,1.7
2024.0,2025-04-27,Fiorentina,Empoli,2.0,1.0,1.0,3.0,0.0,1.83,3.5,4.5
2024.0,2025-04-27,Inter,Roma,0.0,1.0,-1.0,0.0,3.0,1.73,3.8,4.75
2024.0,2025-04-27,Juventus,Monza,2.0,0.0,1.0,3.0,0.0,1.2,7.5,12.0
2024.0,2025-04-27,Atalanta,Lecce,1.0,1.0,0.0,1.0,1.0,1.25,6.0,11.0
2024.0,2025-04-27,Napoli,Torino,2.0,0.0,1.0,3.0,0.0,1.42,4.33,8.0
2024.0,2025-04-23,Cagliari,Fiorentina,1.0,2.0,-1.0,0.0,3.0,3.1,3.1,2.45
2024.0,2025-04-23,Genoa,Lazio,0.0,2.0,-1.0,0.0,3.0,3.3,3.2,2.3
2024.0,2025-04-23,Parma,Juventus,1.0,0.0,1.0,3.0,0.0,4.75,3.6,1.75
2024.0,2025-04-23,Torino,Udinese,2.0,0.0,1.0,3.0,0.0,2.4,2.9,3.3
2024.0,2025-04-20,Empoli,Venezia,2.0,2.0,0.0,1.0,1.0,2.25,3.0,3.6
2024.0,2025-04-20,Bologna,Inter,1.0,0.0,1.0,3.0,0.0,3.4,3.1,2.3
2024.0,2025-04-20,Milan,Atalanta,0.0,1.0,-1.0,0.0,3.0,2.5,3.4,2.75
2024.0,2025-04-19,Lecce,Como,0.0,3.0,-1.0,0.0,3.0,3.75,3.3,2.05
2024.0,2025-04-19,Monza,Napoli,0.0,1.0,-1.0,0.0,3.0,13.0,5.0,1.29
2024.0,2025-04-19,Roma,Verona,1.0,0.0,1.0,3.0,0.0,1.4,4.5,8.5
2024.0,2025-04-14,Napoli,Empoli,3.0,0.0,1.0,3.0,0.0,1.33,5.0,9.5
2024.0,2025-04-13,Atalanta,Bologna,2.0,0.0,1.0,3.0,0.0,1.95,3.5,3.9
2024.0,2025-04-13,Fiorentina,Parma,0.0,0.0,0.0,1.0,1.0,1.73,3.8,4.75
2024.0,2025-04-13,Verona,Genoa,0.0,0.0,0.0,1.0,1.0,3.0,2.9,2.63
2024.0,2025-04-13,Como,Torino,1.0,0.0,1.0,3.0,0.0,1.91,3.5,4.1
2024.0,2025-04-13,Lazio,Roma,1.0,1.0,0.0,1.0,1.0,2.8,3.2,2.63
2024.0,2025-04-12,Venezia,Monza,1.0,0.0,1.0,3.0,0.0,1.73,3.6,5.0
2024.0,2025-04-12,Inter,Cagliari,3.0,1.0,1.0,3.0,0.0,1.33,5.25,8.0
2024.0,2025-04-12,Juventus,Lecce,2.0,1.0,1.0,3.0,0.0,1.33,4.5,10.0
2024.0,2025-04-11,Udinese,Milan,0.0,4.0,-1.0,0.0,3.0,4.0,3.6,1.91
2024.0,2025-04-07,Bologna,Napoli,1.0,1.0,0.0,1.0,1.0,2.9,3.0,2.7
2024.0,2025-04-06,Lecce,Venezia,1.0,1.0,0.0,1.0,1.0,2.3,3.1,3.4
2024.0,2025-04-06,Empoli,Cagliari,0.0,0.0,0.0,1.0,1.0,2.45,3.0,3.1
2024.0,2025-04-06,Torino,Verona,1.0,1.0,0.0,1.0,1.0,1.8,3.2,5.25
2024.0,2025-04-06,Atalanta,Lazio,0.0,1.0,-1.0,0.0,3.0,1.7,3.8,5.0
2024.0,2025-04-06,Roma,Juventus,1.0,1.0,0.0,1.0,1.0,2.5,3.1,3.0
2024.0,2025-04-05,Monza,Como,1.0,3.0,-1.0,0.0,3.0,5.0,3.8,1.7
2024.0,2025-04-05,Parma,Inter,2.0,2.0,0.0,1.0,1.0,6.5,4.5,1.48
2024.0,2025-04-05,Milan,Fiorentina,2.0,2.0,0.0,1.0,1.0,1.9,3.5,4.2
2024.0,2025-04-04,Genoa,Udinese,1.0,0.0,1.0,3.0,0.0,2.45,2.88,3.4
2024.0,2025-03-31,Verona,Parma,0.0,0.0,0.0,1.0,1.0,2.4,3.1,3.1
2024.0,2025-03-31,Lazio,Torino,1.0,1.0,0.0,1.0,1.0,1.75,3.3,5.25
2024.0,2025-03-30,Cagliari,Monza,3.0,0.0,1.0,3.0,0.0,1.67,3.5,5.5
2024.0,2025-03-30,Fiorentina,Atalanta,1.0,0.0,1.0,3.0,0.0,3.75,3.3,2.05
2024.0,2025-03-30,Inter,Udinese,2.0,1.0,1.0,3.0,0.0,1.4,4.33,8.5
2024.0,2025-03-30,Napoli,Milan,2.0,1.0,1.0,3.0,0.0,1.91,3.7,3.75
2024.0,2025-03-29,Como,Empoli,1.0,1.0,0.0,1.0,1.0,1.75,3.3,5.25
2024.0,2025-03-29,Venezia,Bologna,0.0,1.0,-1.0,0.0,3.0,5.0,3.5,1.75
2024.0,2025-03-29,Juventus,Genoa,1.0,0.0,1.0,3.0,0.0,1.53,3.9,7.0
2024.0,2025-03-29,Lecce,Roma,0.0,1.0,-1.0,0.0,3.0,4.75,3.5,1.75
2024.0,2025-03-16,Venezia,Napoli,0.0,0.0,0.0,1.0,1.0,5.75,4.33,1.53
2024.0,2025-03-16,Bologna,Lazio,5.0,0.0,1.0,3.0,0.0,2.4,3.1,3.25
2024.0,2025-03-16,Roma,Cagliari,1.0,0.0,1.0,3.0,0.0,1.55,4.2,5.75
2024.0,2025-03-16,Fiorentina,Juventus,3.0,0.0,1.0,3.0,0.0,3.4,3.2,2.25
2024.0,2025-03-16,Atalanta,Inter,0.0,2.0,-1.0,0.0,3.0,2.55,3.3,2.8
2024.0,2025-03-15,Monza,Parma,1.0,1.0,0.0,1.0,1.0,3.1,3.0,2.45
2024.0,2025-03-15,Udinese,Verona,0.0,1.0,-1.0,0.0,3.0,1.73,3.5,5.0
2024.0,2025-03-15,Milan,Como,2.0,1.0,1.0,3.0,0.0,1.8,3.6,4.5
2024.0,2025-03-15,Torino,Empoli,1.0,0.0,1.0,3.0,0.0,1.8,3.3,5.0
2024.0,2025-03-14,Genoa,Lecce,2.0,1.0,1.0,3.0,0.0,2.15,2.9,4.2
2024.0,2025-03-10,Lazio,Udinese,1.0,1.0,0.0,1.0,1.0,1.73,3.5,5.25
2024.0,2025-03-09,Verona,Bologna,1.0,2.0,-1.0,0.0,3.0,5.25,3.3,1.75
2024.0,2025-03-09,Napoli,Fiorentina,2.0,1.0,1.0,3.0,0.0,1.55,4.0,6.25
2024.0,2025-03-09,Empoli,Roma,0.0,1.0,-1.0,0.0,3.0,3.9,3.3,2.0
2024.0,2025-03-09,Juventus,Atalanta,0.0,4.0,-1.0,0.0,3.0,2.5,3.25,2.88
2024.0,2025-03-08,Como,Venezia,1.0,1.0,0.0,1.0,1.0,1.57,3.8,6.5
2024.0,2025-03-08,Parma,Torino,2.0,2.0,0.0,1.0,1.0,3.0,3.25,2.4
2024.0,2025-03-08,Lecce,Milan,2.0,3.0,-1.0,0.0,3.0,4.75,3.6,1.75
2024.0,2025-03-08,Inter,Monza,3.0,2.0,1.0,3.0,0.0,1.14,7.0,21.0
2024.0,2025-03-07,Cagliari,Genoa,1.0,1.0,0.0,1.0,1.0,2.45,3.0,3.2
2024.0,2025-03-03,Juventus,Verona,2.0,0.0,1.0,3.0,0.0,1.3,5.0,12.0
2024.0,2025-03-02,Monza,Torino,0.0,2.0,-1.0,0.0,3.0,4.1,3.3,1.95
2024.0,2025-03-02,Bologna,Cagliari,2.0,1.0,1.0,3.0,0.0,1.57,3.75,6.5
2024.0,2025-03-02,Genoa,Empoli,1.0,1.0,0.0,1.0,1.0,1.91,3.1,4.75
2024.0,2025-03-02,Roma,Como,2.0,1.0,1.0,3.0,0.0,1.87,3.6,4.0
2024.0,2025-03-02,Milan,Lazio,1.0,2.0,-1.0,0.0,3.0,2.05,3.6,3.5
2024.0,2025-03-01,Atalanta,Venezia,0.0,0.0,0.0,1.0,1.0,1.2,6.5,15.0
2024.0,2025-03-01,Napoli,Inter,1.0,1.0,0.0,1.0,1.0,3.1,3.2,2.38
2024.0,2025-03-01,Udinese,Parma,1.0,0.0,1.0,3.0,0.0,1.8,3.6,4.5
2024.0,2025-02-28,Fiorentina,Lecce,1.0,0.0,1.0,3.0,0.0,1.75,3.4,5.0
2024.0,2025-02-27,Bologna,Milan,2.0,1.0,1.0,3.0,0.0,2.88,3.3,2.5
2024.0,2025-02-24,Roma,Monza,4.0,0.0,1.0,3.0,0.0,1.33,4.75,11.0
2024.0,2025-02-23,Como,Napoli,2.0,1.0,1.0,3.0,0.0,3.6,3.0,2.25
2024.0,2025-02-23,Verona,Fiorentina,1.0,0.0,1.0,3.0,0.0,4.33,3.4,1.9
2024.0,2025-02-23,Empoli,Atalanta,0.0,5.0,-1.0,0.0,3.0,6.25,3.9,1.57
2024.0,2025-02-23,Cagliari,Juventus,0.0,1.0,-1.0,0.0,3.0,4.1,3.5,1.9
2024.0,2025-02-22,Parma,Bologna,2.0,0.0,1.0,3.0,0.0,4.0,3.5,1.91
2024.0,2025-02-22,Venezia,Lazio,0.0,0.0,0.0,1.0,1.0,5.0,4.0,1.67
2024.0,2025-02-22,Torino,Milan,2.0,1.0,1.0,3.0,0.0,3.9,3.3,2.0
2024.0,2025-02-22,Inter,Genoa,1.0,0.0,1.0,3.0,0.0,1.27,5.25,13.0
2024.0,2025-02-21,Lecce,Udinese,0.0,1.0,-1.0,0.0,3.0,3.0,3.0,2.6
2024.0,2025-02-17,Genoa,Venezia,2.0,0.0,1.0,3.0,0.0,1.85,3.4,4.5
2024.0,2025-02-16,Fiorentina,Como,0.0,2.0,-1.0,0.0,3.0,2.0,3.5,3.75
2024.0,2025-02-16,Monza,Lecce,0.0,0.0,0.0,1.0,1.0,2.7,3.2,2.7
2024.0,2025-02-16,Udinese,Empoli,3.0,0.0,1.0,3.0,0.0,1.8,3.5,4.75
2024.0,2025-02-16,Parma,Roma,0.0,1.0,-1.0,0.0,3.0,3.6,3.5,2.05
2024.0,2025-02-16,Juventus,Inter,1.0,0.0,1.0,3.0,0.0,3.4,3.2,2.25
2024.0,2025-02-15,Atalanta,Cagliari,0.0,0.0,0.0,1.0,1.0,1.44,4.75,6.5
2024.0,2025-02-15,Lazio,Napoli,2.0,2.0,0.0,1.0,1.0,2.63,3.2,2.8
2024.0,2025-02-15,Milan,Verona,1.0,0.0,1.0,3.0,0.0,1.33,4.75,9.5
2024.0,2025-02-14,Bologna,Torino,3.0,2.0,1.0,3.0,0.0,1.8,3.4,5.0
2024.0,2025-02-10,Inter,Fiorentina,2.0,1.0,1.0,3.0,0.0,1.48,4.75,6.5
2024.0,2025-02-09,Venezia,Roma,0.0,1.0,-1.0,0.0,3.0,5.0,3.7,1.73
2024.0,2025-02-09,Cagliari,Parma,2.0,1.0,1.0,3.0,0.0,1.85,3.6,4.1
2024.0,2025-02-09,Lazio,Monza,5.0,1.0,1.0,3.0,0.0,1.38,4.75,8.5
2024.0,2025-02-09,Lecce,Bologna,0.0,0.0,0.0,1.0,1.0,4.2,3.5,1.91
2024.0,2025-02-09,Napoli,Udinese,1.0,1.0,0.0,1.0,1.0,1.44,4.5,7.5
2024.0,2025-02-08,Verona,Atalanta,0.0,5.0,-1.0,0.0,3.0,6.25,4.1,1.53
2024.0,2025-02-08,Empoli,Milan,0.0,2.0,-1.0,0.0,3.0,5.5,3.8,1.65
2024.0,2025-02-08,Torino,Genoa,1.0,1.0,0.0,1.0,1.0,2.2,3.1,3.6
2024.0,2025-02-07,Como,Juventus,1.0,2.0,-1.0,0.0,3.0,3.7,3.4,2.05
2024.0,2025-02-06,Fiorentina,Inter,3.0,0.0,1.0,3.0,0.0,3.6,3.5,2.05
2024.0,2025-02-03,Cagliari,Lazio,1.0,2.0,-1.0,0.0,3.0,3.9,3.4,2.0
2024.0,2025-02-02,Juventus,Empoli,4.0,1.0,1.0,3.0,0.0,1.36,4.75,9.0
2024.0,2025-02-02,Fiorentina,Genoa,2.0,1.0,1.0,3.0,0.0,1.65,3.9,5.25
2024.0,2025-02-02,Milan,Inter,1.0,1.0,0.0,1.0,1.0,4.0,3.5,1.91
