season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points
2024/2025,2025-05-25,Atalanta,Parma,2,3,loss,0,3
2024/2025,2025-05-25,Empoli,Verona,1,2,loss,0,3
2024/2025,2025-05-25,Lazio,Lecce,0,1,loss,0,3
2024/2025,2025-05-25,Torino,Roma,0,2,loss,0,3
2024/2025,2025-05-25,Udinese,Fiorentina,2,3,loss,0,3
2024/2025,2025-05-25,Venezia,Juventus,2,3,loss,0,3
2024/2025,2025-05-24,Bologna,Genoa,1,3,loss,0,3
2024/2025,2025-05-24,Milan,Monza,2,0,win,3,0
2024/2025,2025-05-23,Como,Inter,0,2,loss,0,3
2024/2025,2025-05-23,Napoli,Cagliari,2,0,win,3,0
2024/2025,2025-05-18,Cagliari,Venezia,3,0,win,3,0
2024/2025,2025-05-18,Fiorentina,Bologna,3,2,win,3,0
2024/2025,2025-05-18,Inter,Lazio,2,2,draw,1,1
2024/2025,2025-05-18,Juventus,Udinese,2,0,win,3,0
2024/2025,2025-05-18,Lecce,Torino,1,0,win,3,0
2024/2025,2025-05-18,Monza,Empoli,1,3,loss,0,3
2024/2025,2025-05-18,Parma,Napoli,0,0,draw,1,1
2024/2025,2025-05-18,Roma,Milan,3,1,win,3,0
2024/2025,2025-05-18,Verona,Como,1,1,draw,1,1
2024/2025,2025-05-17,Genoa,Atalanta,2,3,loss,0,3
2024/2025,2025-05-12,Venezia,Fiorentina,2,1,win,3,0
2024/2025,2025-05-12,Atalanta,Roma,2,1,win,3,0
2024/2025,2025-05-11,Udinese,Monza,1,2,loss,0,3
2024/2025,2025-05-11,Verona,Lecce,1,1,draw,1,1
2024/2025,2025-05-11,Torino,Inter,0,2,loss,0,3
2024/2025,2025-05-11,Napoli,Genoa,2,2,draw,1,1
2024/2025,2025-05-10,Como,Cagliari,3,1,win,3,0
2024/2025,2025-05-10,Lazio,Juventus,1,1,draw,1,1
2024/2025,2025-05-10,Empoli,Parma,2,1,win,3,0
2024/2025,2025-05-09,Milan,Bologna,3,1,win,3,0
2024/2025,2025-05-05,Genoa,Milan,1,2,loss,0,3
2024/2025,2025-05-04,Empoli,Lazio,0,1,loss,0,3
2024/2025,2025-05-04,Monza,Atalanta,0,4,loss,0,3
2024/2025,2025-05-04,Roma,Fiorentina,1,0,win,3,0
2024/2025,2025-05-04,Bologna,Juventus,1,1,draw,1,1
2024/2025,2025-05-03,Cagliari,Udinese,1,2,loss,0,3
2024/2025,2025-05-03,Parma,Como,0,1,loss,0,3
2024/2025,2025-05-03,Lecce,Napoli,0,1,loss,0,3
2024/2025,2025-05-03,Inter,Verona,1,0,win,3,0
2024/2025,2025-05-02,Torino,Venezia,1,1,draw,1,1
2024/2025,2025-04-28,Udinese,Bologna,0,0,draw,1,1
2024/2025,2025-04-28,Lazio,Parma,2,2,draw,1,1
2024/2025,2025-04-28,Verona,Cagliari,0,2,loss,0,3
2024/2025,2025-04-27,Como,Genoa,1,0,win,3,0
2024/2025,2025-04-27,Venezia,Milan,0,2,loss,0,3
2024/2025,2025-04-27,Fiorentina,Empoli,2,1,win,3,0
2024/2025,2025-04-27,Inter,Roma,0,1,loss,0,3
2024/2025,2025-04-27,Juventus,Monza,2,0,win,3,0
2024/2025,2025-04-27,Atalanta,Lecce,1,1,draw,1,1
2024/2025,2025-04-27,Napoli,Torino,2,0,win,3,0
