league,season,team_std,team_full
bundesliga,2004,BAY,Bayern Munich
bundesliga,2004,BIE,Bielefeld
bundesliga,2004,BOC,Bochum
bundesliga,2004,DOR,Dortmund
bundesliga,2004,FRE,Freiburg
bundesliga,2004,HAM,Hamburg
bundesliga,2004,HAN,Hannover
bundesliga,2004,HANR,Hansa Rostock
bundesliga,2004,HERT,Hertha
bundesliga,2004,KAI,Kaiserslautern
bundesliga,2004,LEVK,Leverkusen
bundesliga,2004,M'G,M'gladbach
bundesliga,2004,MAI,Mainz
bundesliga,2004,NUR,Nurnberg
bundesliga,2004,SCH,Schalke 04
bundesliga,2004,STU,Stuttgart
bundesliga,2004,WERB,Werder Bremen
bundesliga,2004,WOB,Wolfsburg
bundesliga,2005,BAY,Bayern Munich
bundesliga,2005,BIE,Bielefeld
bundesliga,2005,DOR,Dortmund
bundesliga,2005,DUI,Duisburg
bundesliga,2005,EINF,Ein Frankfurt
bundesliga,2005,HAM,Hamburg
bundesliga,2005,HAN,Hannover
bundesliga,2005,HERT,Hertha
bundesliga,2005,KAI,Kaiserslautern
bundesliga,2005,KOL,FC Koln
bundesliga,2005,LEVK,Leverkusen
bundesliga,2005,M'G,M'gladbach
bundesliga,2005,MAI,Mainz
bundesliga,2005,NUR,Nurnberg
bundesliga,2005,SCH,Schalke 04
bundesliga,2005,STU,Stuttgart
bundesliga,2005,WERB,Werder Bremen
bundesliga,2005,WOB,Wolfsburg
bundesliga,2006,AAC,Aachen
bundesliga,2006,BAY,Bayern Munich
bundesliga,2006,BIE,Bielefeld
bundesliga,2006,BOC,Bochum
bundesliga,2006,COT,Cottbus
bundesliga,2006,DOR,Dortmund
bundesliga,2006,EINF,Ein Frankfurt
bundesliga,2006,HAM,Hamburg
bundesliga,2006,HAN,Hannover
bundesliga,2006,HERT,Hertha
bundesliga,2006,LEVK,Leverkusen
bundesliga,2006,M'G,M'gladbach
bundesliga,2006,MAI,Mainz
bundesliga,2006,NUR,Nurnberg
bundesliga,2006,SCH,Schalke 04
bundesliga,2006,STU,Stuttgart
bundesliga,2006,WERB,Werder Bremen
bundesliga,2006,WOB,Wolfsburg
bundesliga,2007,BAY,Bayern Munich
bundesliga,2007,BIE,Bielefeld
bundesliga,2007,BOC,Bochum
bundesliga,2007,COT,Cottbus
bundesliga,2007,DOR,Dortmund
bundesliga,2007,DUI,Duisburg
bundesliga,2007,EINF,Ein Frankfurt
bundesliga,2007,HAM,Hamburg
bundesliga,2007,HAN,Hannover
bundesliga,2007,HANR,Hansa Rostock
bundesliga,2007,HERT,Hertha
bundesliga,2007,KAR,Karlsruhe
bundesliga,2007,LEVK,Leverkusen
bundesliga,2007,NUR,Nurnberg
bundesliga,2007,SCH,Schalke 04
bundesliga,2007,STU,Stuttgart
bundesliga,2007,WERB,Werder Bremen
bundesliga,2007,WOB,Wolfsburg
bundesliga,2008,BAY,Bayern Munich
bundesliga,2008,BIE,Bielefeld
bundesliga,2008,BOC,Bochum
bundesliga,2008,COT,Cottbus
bundesliga,2008,DOR,Dortmund
bundesliga,2008,EINF,Ein Frankfurt
bundesliga,2008,HAM,Hamburg
bundesliga,2008,HAN,Hannover
bundesliga,2008,HERT,Hertha
bundesliga,2008,HOF,Hoffenheim
bundesliga,2008,KAR,Karlsruhe
bundesliga,2008,KOL,FC Koln
bundesliga,2008,LEVK,Leverkusen
bundesliga,2008,M'G,M'gladbach
bundesliga,2008,SCH,Schalke 04
bundesliga,2008,STU,Stuttgart
bundesliga,2008,WERB,Werder Bremen
bundesliga,2008,WOB,Wolfsburg
bundesliga,2009,BAY,Bayern Munich
bundesliga,2009,BOC,Bochum
bundesliga,2009,DOR,Dortmund
bundesliga,2009,EINF,Ein Frankfurt
bundesliga,2009,FRE,Freiburg
bundesliga,2009,HAM,Hamburg
bundesliga,2009,HAN,Hannover
bundesliga,2009,HERT,Hertha
bundesliga,2009,HOF,Hoffenheim
bundesliga,2009,KOL,FC Koln
bundesliga,2009,LEVK,Leverkusen
bundesliga,2009,M'G,M'gladbach
bundesliga,2009,MAI,Mainz
bundesliga,2009,NUR,Nurnberg
bundesliga,2009,SCH,Schalke 04
bundesliga,2009,STU,Stuttgart
bundesliga,2009,WERB,Werder Bremen
bundesliga,2009,WOB,Wolfsburg
bundesliga,2010,BAY,Bayern Munich
bundesliga,2010,DOR,Dortmund
bundesliga,2010,EINF,Ein Frankfurt
bundesliga,2010,FRE,Freiburg
bundesliga,2010,HAM,Hamburg
bundesliga,2010,HAN,Hannover
bundesliga,2010,HOF,Hoffenheim
bundesliga,2010,KAI,Kaiserslautern
bundesliga,2010,KOL,FC Koln
bundesliga,2010,LEVK,Leverkusen
bundesliga,2010,M'G,M'gladbach
bundesliga,2010,MAI,Mainz
bundesliga,2010,NUR,Nurnberg
bundesliga,2010,SCH,Schalke 04
bundesliga,2010,STP,St Pauli
bundesliga,2010,STU,Stuttgart
bundesliga,2010,WERB,Werder Bremen
bundesliga,2010,WOB,Wolfsburg
bundesliga,2011,AUG,Augsburg
bundesliga,2011,BAY,Bayern Munich
bundesliga,2011,DOR,Dortmund
bundesliga,2011,FRE,Freiburg
bundesliga,2011,HAM,Hamburg
bundesliga,2011,HAN,Hannover
bundesliga,2011,HERT,Hertha
bundesliga,2011,HOF,Hoffenheim
bundesliga,2011,KAI,Kaiserslautern
bundesliga,2011,KOL,FC Koln
bundesliga,2011,LEVK,Leverkusen
bundesliga,2011,M'G,M'gladbach
bundesliga,2011,MAI,Mainz
bundesliga,2011,NUR,Nurnberg
bundesliga,2011,SCH,Schalke 04
bundesliga,2011,STU,Stuttgart
bundesliga,2011,WERB,Werder Bremen
bundesliga,2011,WOB,Wolfsburg
bundesliga,2012,AUG,Augsburg
bundesliga,2012,BAY,Bayern Munich
bundesliga,2012,DOR,Dortmund
bundesliga,2012,EINF,Ein Frankfurt
bundesliga,2012,FORD,Fortuna Dusseldorf
bundesliga,2012,FRE,Freiburg
bundesliga,2012,GREF,Greuther Furth
bundesliga,2012,HAM,Hamburg
bundesliga,2012,HAN,Hannover
bundesliga,2012,HOF,Hoffenheim
bundesliga,2012,LEVK,Leverkusen
