season,team,rank,simulation_seed
2004,BIE,1,1
2004,STU,2,1
2004,WERB,3,1
2004,DOR,4,1
2004,HAM,5,1
2004,MAI,6,1
2004,BOC,7,1
2004,M'G,8,1
2004,KAI,9,1
2004,WOB,10,1
2004,HERT,11,1
2004,HANR,12,1
2004,LEVK,13,1
2004,BAY,14,1
2004,SCH,15,1
2004,NUR,16,1
2004,HAN,17,1
2004,FRE,18,1
2005,BIE,1,1
2005,M'G,2,1
2005,HERT,3,1
2005,KAI,4,1
2005,WOB,5,1
2005,HAN,6,1
2005,NUR,7,1
2005,DUI,8,1
2005,DOR,9,1
2005,BAY,10,1
2005,LEVK,11,1
2005,STU,12,1
2005,SCH,13,1
2005,EINF,14,1
2005,KOL,15,1
2005,HAM,16,1
2005,WERB,17,1
2005,MAI,18,1
2006,HERT,1,1
2006,STU,2,1
2006,EINF,3,1
2006,BOC,4,1
2006,WERB,5,1
2006,HAM,6,1
2006,LEVK,7,1
2006,MAI,8,1
2006,COT,9,1
2006,NUR,10,1
2006,DOR,11,1
2006,BIE,12,1
2006,M'G,13,1
2006,BAY,14,1
2006,AAC,15,1
2006,SCH,16,1
2006,WOB,17,1
2006,HAN,18,1
2007,DUI,1,1
2007,NUR,2,1
2007,EINF,3,1
2007,STU,4,1
2007,COT,5,1
2007,BOC,6,1
2007,HAN,7,1
2007,DOR,8,1
2007,BAY,9,1
2007,HANR,10,1
2007,HAM,11,1
2007,LEVK,12,1
2007,SCH,13,1
2007,WOB,14,1
2007,KAR,15,1
2007,HERT,16,1
2007,WERB,17,1
2007,BIE,18,1
2008,WERB,1,1
2008,STU,2,1
2008,COT,3,1
2008,BIE,4,1
2008,M'G,5,1
2008,DOR,6,1
2008,BAY,7,1
2008,HAM,8,1
2008,HERT,9,1
2008,HOF,10,1
2008,LEVK,11,1
2008,SCH,12,1
2008,HAN,13,1
2008,BOC,14,1
2008,KOL,15,1
2008,WOB,16,1
2008,EINF,17,1
2008,KAR,18,1
2009,HOF,1,1
2009,M'G,2,1
2009,WERB,3,1
2009,STU,4,1
2009,LEVK,5,1
2009,BOC,6,1
2009,FRE,7,1
2009,HAM,8,1
2009,SCH,9,1
2009,MAI,10,1
2009,BAY,11,1
2009,DOR,12,1
2009,HAN,13,1
2009,WOB,14,1
2009,NUR,15,1
2009,KOL,16,1
2009,HERT,17,1
2009,EINF,18,1
2010,DOR,1,1
2010,HAM,2,1
2010,MAI,3,1
2010,HOF,4,1
2010,M'G,5,1
2010,FRE,6,1
2010,STU,7,1
2010,LEVK,8,1
2010,KAI,9,1
2010,WOB,10,1
2010,EINF,11,1
2010,KOL,12,1
2010,BAY,13,1
2010,WERB,14,1
2010,NUR,15,1
2010,STP,16,1
2010,HAN,17,1
2010,SCH,18,1
2011,BAY,1,1
2011,HAM,2,1
2011,STU,3,1
2011,MAI,4,1
2011,HERT,5,1
2011,WOB,6,1
2011,LEVK,7,1
2011,AUG,8,1
2011,M'G,9,1
2011,DOR,10,1
2011,WERB,11,1
2011,NUR,12,1
2011,SCH,13,1
2011,HOF,14,1
2011,KAI,15,1
2011,HAN,16,1
2011,KOL,17,1
2011,FRE,18,1
2012,GREF,1,1
2012,WOB,2,1
2012,MAI,3,1
2012,WERB,4,1
2012,HAN,5,1
2012,BAY,6,1
2012,FRE,7,1
2012,NUR,8,1
2012,HAM,9,1
2012,AUG,10,1
2012,HOF,11,1
2012,EINF,12,1
2012,M'G,13,1
2012,DOR,14,1
2012,STU,15,1
2012,LEVK,16,1
2012,FORD,17,1
2012,SCH,18,1
2013,NUR,1,1
2013,FRE,2,1
2013,BRA,3,1
2013,HOF,4,1
2013,HAM,5,1
2013,DOR,6,1
2013,WOB,7,1
2013,MAI,8,1
2013,M'G,9,1
2013,HERT,10,1
2013,SCH,11,1
2013,AUG,12,1
2013,HAN,13,1
2013,WERB,14,1
2013,EINF,15,1
2013,STU,16,1
2013,BAY,17,1
2013,LEVK,18,1
2014,FRE,1,1
2014,KOL,2,1
2014,EINF,3,1
2014,SCH,4,1
2014,PAD,5,1
2014,BAY,6,1
2014,AUG,7,1
2014,HAM,8,1
2014,WOB,9,1
2014,HOF,10,1
2014,DOR,11,1
2014,WERB,12,1
2014,STU,13,1
2014,M'G,14,1
2014,MAI,15,1
2014,LEVK,16,1
2014,HERT,17,1
2014,HAN,18,1
2015,HAN,1,1
2015,DAR,2,1
2015,WOB,3,1
2015,SCH,4,1
2015,LEVK,5,1
2015,ING,6,1
2015,M'G,7,1
2015,DOR,8,1
2015,BAY,9,1
2015,HOF,10,1
2015,HERT,11,1
2015,AUG,12,1
2015,KOL,13,1
2015,WERB,14,1
2015,STU,15,1
2015,HAM,16,1
2015,EINF,17,1
2015,MAI,18,1
2016,EINF,1,1
2016,M'G,2,1
2016,HOF,3,1
2016,HAM,4,1
2016,LEVK,5,1
2016,HERT,6,1
2016,WOB,7,1
2016,SCH,8,1
2016,WERB,9,1
2016,ING,10,1
2016,MAI,11,1
2016,FRE,12,1
2016,AUG,13,1
2016,BAY,14,1
2016,RBL,15,1
2016,DOR,16,1
2016,KOL,17,1
2016,DAR,18,1
2017,HERT,1,1
2017,SCH,2,1
2017,HOF,3,1
2017,HAN,4,1
2017,KOL,5,1
2017,RBL,6,1
2017,WOB,7,1
2017,M'G,8,1
2017,AUG,9,1
2017,BAY,10,1
2017,HAM,11,1
2017,STU,12,1
2017,DOR,13,1
2017,FRE,14,1
2017,EINF,15,1
2017,WERB,16,1
2017,LEVK,17,1
2017,MAI,18,1
2018,HAN,1,1
2018,FORD,2,1
2018,WERB,3,1
2018,RBL,4,1
2018,STU,5,1
2018,DOR,6,1
2018,SCH,7,1
2018,M'G,8,1
2018,NUR,9,1
2018,AUG,10,1
2018,HOF,11,1
2018,LEVK,12,1
2018,HERT,13,1
2018,FRE,14,1
2018,MAI,15,1
2018,EINF,16,1
2018,BAY,17,1
2018,WOB,18,1
2019,FRE,1,1
2019,FORD,2,1
2019,WOB,3,1
2019,RBL,4,1
2019,WERB,5,1
2019,LEVK,6,1
2019,EINF,7,1
2019,HOF,8,1
2019,SCH,9,1
2019,PAD,10,1
2019,AUG,11,1
2019,KOL,12,1
2019,DOR,13,1
2019,BAY,14,1
2019,MAI,15,1
2019,HERT,16,1
2019,UNI,17,1
2019,M'G,18,1
2020,HOF,1,1
2020,SCH,2,1
2020,WERB,3,1
2020,EINF,4,1
2020,MAI,5,1
2020,STU,6,1
2020,WOB,7,1
2020,RBL,8,1
2020,FRE,9,1
2020,HERT,10,1
2020,BIE,11,1
2020,AUG,12,1
2020,LEVK,13,1
2020,M'G,14,1
2020,UNI,15,1
2020,KOL,16,1
2020,BAY,17,1
2020,DOR,18,1
2021,M'G,1,1
2021,BIE,2,1
2021,BAY,3,1
2021,FRE,4,1
2021,GREF,5,1
2021,LEVK,6,1
2021,HERT,7,1
2021,RBL,8,1
2021,KOL,9,1
2021,WOB,10,1
2021,BOC,11,1
2021,DOR,12,1
2021,UNI,13,1
2021,HOF,14,1
2021,STU,15,1
2021,MAI,16,1
2021,AUG,17,1
2021,EINF,18,1
2022,WOB,1,1
2022,STU,2,1
2022,MAI,3,1
2022,UNI,4,1
2022,EINF,5,1
2022,RBL,6,1
2022,BOC,7,1
2022,SCH,8,1
2022,DOR,9,1
2022,LEVK,10,1
2022,FRE,11,1
2022,HERT,12,1
2022,AUG,13,1
2022,HOF,14,1
2022,KOL,15,1
2022,WERB,16,1
2022,BAY,17,1
2022,M'G,18,1
2023,STU,1,1
2023,WERB,2,1
2023,BAY,3,1
2023,BOC,4,1
2023,MAI,5,1
2023,LEVK,6,1
2023,M'G,7,1
2023,UNI,8,1
2023,HEI,9,1
2023,RBL,10,1
2023,FRE,11,1
2023,DOR,12,1
2023,KOL,13,1
2023,HOF,14,1
2023,WOB,15,1
2023,AUG,16,1
2023,EINF,17,1
2023,DAR,18,1
2024,AUG,1,1
2024,BOC,2,1
2024,MAI,3,1
2024,UNI,4,1
2024,LEVK,5,1
2024,FRE,6,1
2024,HOF,7,1
2024,WOB,8,1
2024,M'G,9,1
2024,RBL,10,1
2024,STU,11,1
2024,HOLK,12,1
2024,STP,13,1
2024,HEI,14,1
2024,DOR,15,1
2024,WERB,16,1
2024,BAY,17,1
2024,EINF,18,1
2004,DOR,1,2
2004,WERB,2,2
2004,LEVK,3,2
2004,MAI,4,2
2004,FRE,5,2
2004,HERT,6,2
2004,SCH,7,2
2004,BIE,8,2
2004,KAI,9,2
2004,BAY,10,2
2004,HAM,11,2
2004,BOC,12,2
2004,NUR,13,2
2004,HAN,14,2
2004,M'G,15,2
2004,WOB,16,2
2004,STU,17,2
2004,HANR,18,2
2005,MAI,1,2
2005,BIE,2,2
2005,BAY,3,2
2005,SCH,4,2
2005,STU,5,2
2005,EINF,6,2
2005,M'G,7,2
2005,HERT,8,2
2005,WERB,9,2
2005,NUR,10,2
2005,DOR,11,2
2005,WOB,12,2
2005,KAI,13,2
2005,HAN,14,2
2005,LEVK,15,2
2005,HAM,16,2
2005,DUI,17,2
2005,KOL,18,2
2006,MAI,1,2
2006,LEVK,2,2
2006,HAM,3,2
2006,NUR,4,2
2006,BOC,5,2
2006,BIE,6,2
2006,EINF,7,2
2006,HAN,8,2
2006,AAC,9,2
2006,HERT,10,2
2006,COT,11,2
2006,DOR,12,2
2006,BAY,13,2
2006,SCH,14,2
2006,WOB,15,2
2006,WERB,16,2
2006,STU,17,2
2006,M'G,18,2
2007,HAM,1,2
2007,STU,2,2
2007,HANR,3,2
2007,EINF,4,2
2007,BIE,5,2
2007,LEVK,6,2
2007,COT,7,2
2007,WERB,8,2
2007,KAR,9,2
2007,SCH,10,2
2007,HAN,11,2
2007,DUI,12,2
2007,NUR,13,2
2007,HERT,14,2
2007,WOB,15,2
2007,DOR,16,2
2007,BAY,17,2
2007,BOC,18,2
2008,HERT,1,2
2008,BOC,2,2
2008,COT,3,2
2008,SCH,4,2
2008,KAR,5,2
2008,KOL,6,2
2008,LEVK,7,2
2008,HAN,8,2
2008,HOF,9,2
2008,WERB,10,2
2008,WOB,11,2
2008,DOR,12,2
2008,HAM,13,2
2008,M'G,14,2
2008,BIE,15,2
2008,EINF,16,2
2008,STU,17,2
2008,BAY,18,2
2009,FRE,1,2
2009,M'G,2,2
2009,WERB,3,2
2009,BOC,4,2
2009,EINF,5,2
2009,HAM,6,2
2009,SCH,7,2
2009,KOL,8,2
2009,STU,9,2
2009,HAN,10,2
2009,HERT,11,2
2009,WOB,12,2
2009,HOF,13,2
2009,DOR,14,2
2009,BAY,15,2
2009,MAI,16,2
2009,LEVK,17,2
2009,NUR,18,2
2010,STP,1,2
2010,KOL,2,2
2010,LEVK,3,2
2010,STU,4,2
2010,DOR,5,2
2010,HOF,6,2
2010,WOB,7,2
2010,EINF,8,2
2010,KAI,9,2
2010,MAI,10,2
2010,BAY,11,2
2010,HAN,12,2
