season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2004,BAY,1,12,5,4,5,10,9,6,13,13,9
2004,SCH,2,15,13,7,13,11,17,9,11,16,14
2004,WERB,3,8,7,12,17,18,12,4,12,9,4
2004,HERT,4,13,12,9,16,15,8,11,6,4,7
2004,STU,5,6,9,2,1,16,5,1,3,11,1
2004,LEVK,6,11,17,13,10,6,16,2,16,14,13
2004,DOR,7,7,2,6,9,5,13,18,7,6,18
2004,HAM,8,4,14,15,4,12,4,7,1,17,16
2004,WOB,9,2,1,10,18,9,7,13,10,3,15
2004,HAN,10,14,6,5,2,7,1,15,15,12,12
2004,MAI,11,9,15,16,11,4,14,3,17,10,2
2004,KAI,12,5,8,11,8,2,2,14,5,7,10
2004,BIE,13,18,10,17,15,8,10,16,4,8,6
2004,NUR,14,10,11,18,3,3,6,10,14,15,5
2004,M'G,15,3,4,1,6,17,3,17,9,2,3
2004,BOC,16,1,18,8,7,13,18,12,18,1,8
2004,HANR,17,16,16,14,14,14,11,5,8,5,17
2004,FRE,18,17,3,3,12,1,15,8,2,18,11
2005,BAY,1,8,3,14,4,17,3,13,4,2,11
2005,WERB,2,13,5,3,1,5,1,9,7,3,12
2005,HAM,3,11,6,6,3,18,15,2,10,17,15
2005,SCH,4,7,4,18,8,4,16,4,8,12,9
2005,LEVK,5,14,14,7,5,16,10,7,11,18,16
2005,HERT,6,3,16,17,18,10,6,16,5,5,17
2005,DOR,7,10,8,8,11,3,2,17,13,16,10
2005,NUR,8,12,1,12,2,9,7,12,2,13,5
2005,STU,9,15,17,1,16,14,12,11,9,14,6
2005,M'G,10,18,11,2,15,6,13,5,1,7,14
2005,MAI,11,4,10,13,10,13,5,14,16,8,18
2005,HAN,12,5,18,4,17,1,11,1,12,9,2
2005,BIE,13,17,15,15,9,2,14,10,17,6,3
2005,EINF,14,1,13,11,14,8,4,6,14,10,8
2005,WOB,15,16,7,16,6,12,9,15,15,11,1
2005,KAI,16,2,9,9,12,15,18,3,6,4,7
2005,KOL,17,6,12,10,13,11,8,8,18,15,13
2005,DUI,18,9,2,5,7,7,17,18,3,1,4
2006,STU,1,4,12,14,14,7,9,11,17,17,9
2006,SCH,2,6,14,3,13,2,11,5,6,6,1
2006,WERB,3,18,18,2,15,17,17,9,15,1,14
2006,BAY,4,13,8,15,11,6,18,12,16,18,5
2006,LEVK,5,8,1,16,5,5,15,10,7,2,2
2006,NUR,6,16,16,12,9,12,10,7,11,16,10
2006,HAM,7,5,6,18,7,9,6,16,5,8,8
2006,BOC,8,17,4,8,10,16,5,4,13,7,4
2006,DOR,9,9,15,4,3,18,3,17,9,14,15
2006,HERT,10,7,13,6,2,11,2,8,14,10,3
2006,HAN,11,14,7,9,8,3,16,3,8,13,13
2006,BIE,12,11,10,10,12,13,1,15,2,9,18
2006,COT,13,1,5,1,1,4,13,1,10,15,17
2006,EINF,14,15,11,17,17,15,4,2,3,11,7
2006,WOB,15,2,2,7,6,8,7,13,4,12,16
2006,MAI,16,12,3,11,4,10,8,6,12,5,6
2006,AAC,17,3,9,5,16,14,12,14,18,4,12
2006,M'G,18,10,17,13,18,1,14,18,1,3,11
2007,BAY,1,8,8,5,14,18,13,1,7,5,5
2007,WERB,2,6,10,18,18,8,11,13,11,8,17
2007,SCH,3,12,7,17,8,9,2,4,16,18,13
2007,HAM,4,9,16,14,15,1,18,17,4,13,2
2007,WOB,5,2,11,6,16,14,10,10,15,12,15
2007,STU,6,17,5,1,1,13,15,2,17,2,1
2007,LEVK,7,4,13,15,6,3,12,18,18,15,6
2007,HAN,8,14,1,8,7,5,8,12,1,14,8
2007,EINF,9,16,3,3,10,17,1,3,8,7,11
2007,HERT,10,7,9,16,17,4,14,14,12,9,14
2007,KAR,11,1,12,9,4,11,4,11,13,16,9
2007,BOC,12,5,2,13,13,12,17,8,10,17,10
2007,DOR,13,15,4,10,11,15,7,5,6,11,18
2007,COT,14,11,17,11,2,10,6,9,3,10,12
2007,BIE,15,10,6,12,12,6,9,15,14,4,4
2007,NUR,16,13,18,7,3,2,5,16,5,1,3
2007,HANR,17,3,14,2,5,16,3,6,9,6,7
2007,DUI,18,18,15,4,9,7,16,7,2,3,16
2008,WOB,1,16,16,8,3,3,1,7,1,4,9
2008,BAY,2,15,3,4,5,9,9,16,14,2,5
2008,STU,3,2,9,14,10,13,15,9,16,14,13
2008,HERT,4,12,5,16,1,12,14,5,18,9,7
2008,HAM,5,1,13,7,12,18,4,11,15,3,18
2008,DOR,6,3,15,17,11,17,3,12,2,17,2
2008,HOF,7,18,11,10,9,16,11,14,11,7,1
2008,SCH,8,8,6,13,15,10,13,10,9,1,17
2008,LEVK,9,5,10,1,18,7,8,6,17,16,15
2008,WERB,10,6,8,6,7,8,18,18,6,15,16
2008,HAN,11,7,4,18,4,4,7,15,7,11,3
2008,KOL,12,13,1,9,2,11,12,1,13,5,8
2008,EINF,13,17,2,5,8,15,2,8,12,8,6
2008,BOC,14,14,12,15,16,2,10,3,8,12,10
2008,M'G,15,10,14,3,17,5,6,2,5,10,11
2008,COT,16,11,7,2,14,14,17,17,3,13,4
2008,KAR,17,4,17,11,13,1,5,4,10,18,12
2008,BIE,18,9,18,12,6,6,16,13,4,6,14
2009,BAY,1,10,2,3,15,11,7,16,6,13,3
2009,SCH,2,7,7,10,3,4,9,9,18,3,2
2009,WERB,3,1,3,8,10,5,6,2,15,4,7
2009,LEVK,4,5,5,17,13,17,2,14,5,9,16
2009,DOR,5,18,18,18,12,16,3,17,10,11,5
2009,STU,6,14,6,11,9,8,11,18,4,18,6
2009,HAM,7,9,14,15,8,2,18,11,16,14,18
2009,WOB,8,15,1,7,7,1,8,3,1,2,14
2009,MAI,9,11,4,4,14,9,12,12,8,5,10
2009,EINF,10,6,9,14,2,7,5,15,17,1,11
2009,HOF,11,3,10,13,16,15,4,13,13,15,15
2009,M'G,12,2,8,9,18,14,15,7,12,6,8
2009,KOL,13,8,12,2,6,18,17,1,11,12,4
2009,FRE,14,12,13,12,1,6,14,5,2,17,9
2009,HAN,15,16,15,16,11,13,13,10,9,10,13
2009,NUR,16,13,17,5,17,12,1,6,3,16,1
2009,BOC,17,17,16,1,5,10,10,4,14,7,17
2009,HERT,18,4,11,6,4,3,16,8,7,8,12
2010,DOR,1,15,7,18,4,4,7,6,9,6,11
2010,LEVK,2,17,4,9,11,11,4,1,5,8,6
2010,BAY,3,12,6,7,8,1,18,5,18,16,10
2010,HAN,4,8,12,4,6,6,15,9,10,9,1
2010,MAI,5,18,16,15,3,12,10,14,13,1,3
2010,NUR,6,16,15,16,2,2,8,13,4,2,7
2010,KAI,7,6,8,11,12,10,11,3,17,5,16
2010,HAM,8,14,9,17,5,17,3,15,12,18,8
2010,FRE,9,3,18,12,10,14,5,12,14,10,5
2010,KOL,10,13,11,5,17,8,2,18,6,12,13
2010,HOF,11,5,13,3,9,15,12,17,16,14,15
2010,STU,12,4,1,1,15,16,16,11,3,4,18
2010,WERB,13,1,10,2,14,5,9,8,7,15,2
2010,SCH,14,2,14,8,18,7,14,2,8,7,17
2010,WOB,15,10,3,14,7,3,13,10,2,13,4
2010,M'G,16,7,17,6,16,9,1,7,15,3,14
2010,EINF,17,11,5,13,1,13,17,16,11,11,12
2010,STP,18,9,2,10,13,18,6,4,1,17,9
2011,DOR,1,1,7,16,4,13,2,17,14,11,17
2011,BAY,2,18,14,5,9,6,14,9,2,8,16
2011,SCH,3,10,16,18,11,1,11,13,4,4,10
2011,M'G,4,17,4,11,5,11,10,1,12,14,5
2011,LEVK,5,16,11,14,18,5,18,2,1,18,8
2011,STU,6,2,13,8,17,8,17,4,3,12,12
2011,HAN,7,15,5,1,10,12,5,5,16,6,9
2011,WOB,8,7,9,12,14,3,7,10,18,9,11
2011,WERB,9,9,8,10,13,2,15,15,15,3,4
2011,NUR,10,3,1,9,2,9,16,12,11,5,7
2011,HOF,11,11,12,6,16,7,4,11,7,1,15
2011,FRE,12,6,15,2,15,16,13,6,6,17,2
2011,MAI,13,5,17,15,3,18,8,3,17,15,6
2011,AUG,14,14,18,4,7,4,6,8,5,16,13
2011,HAM,15,12,3,17,6,10,9,16,8,13,14
