season,team,rank,simulation_seed
2000,ALA,1,1
2000,ZAR,2,1
2000,MLG,3,1
2000,ATHB,4,1
2000,VLC,5,1
2000,NUM,6,1
2000,VIL,7,1
2000,ESP,8,1
2000,OVI,9,1
2000,VLLD,10,1
2000,LASP,11,1
2000,CEL,12,1
2000,MALL,13,1
2000,OSA,14,1
2000,RSO,15,1
2000,SAN,16,1
2000,BARC,17,1
2000,LAC,18,1
2000,RAYO,19,1
2000,RMA,20,1
2001,ATHB,1,1
2001,VLLD,2,1
2001,CEL,3,1
2001,RMA,4,1
2001,ESP,5,1
2001,BET,6,1
2001,RSO,7,1
2001,BARC,8,1
2001,LAC,9,1
2001,OSA,10,1
2001,VIL,11,1
2001,MLG,12,1
2001,RAYO,13,1
2001,LASP,14,1
2001,ZAR,15,1
2001,MALL,16,1
2001,ALA,17,1
2001,VLC,18,1
2001,TEN,19,1
2001,SEV,20,1
2002,VLC,1,1
2002,MALL,2,1
2002,LAC,3,1
2002,CEL,4,1
2002,OSA,5,1
2002,REC,6,1
2002,VIL,7,1
2002,RAYO,8,1
2002,BARC,9,1
2002,ESP,10,1
2002,RMA,11,1
2002,ATHB,12,1
2002,BET,13,1
2002,RSO,14,1
2002,VLLD,15,1
2002,SEV,16,1
2002,ALA,17,1
2002,SAN,18,1
2002,MLG,19,1
2002,ATHM,20,1
2003,SAN,1,1
2003,ALB,2,1
2003,VLLD,3,1
2003,BET,4,1
2003,MUR,5,1
2003,ATHB,6,1
2003,ATHM,7,1
2003,RMA,8,1
2003,RSO,9,1
2003,BARC,10,1
2003,VLC,11,1
2003,SEV,12,1
2003,MLG,13,1
2003,CEL,14,1
2003,VIL,15,1
2003,MALL,16,1
2003,ZAR,17,1
2003,LAC,18,1
2003,ESP,19,1
2003,OSA,20,1
2005,ZAR,1,1
2005,RSO,2,1
2005,ATHM,3,1
2005,ALA,4,1
2005,LAC,5,1
2005,BARC,6,1
2005,MLG,7,1
2005,SEV,8,1
2005,GET,9,1
2005,RMA,10,1
2005,VIL,11,1
2005,CAD,12,1
2005,ATHB,13,1
2005,SAN,14,1
2005,VLC,15,1
2005,CEL,16,1
2005,ESP,17,1
2005,OSA,18,1
2005,MALL,19,1
2005,BET,20,1
2007,MUR,1,1
2007,SEV,2,1
2007,ESP,3,1
2007,VLC,4,1
2007,ZAR,5,1
2007,ATHM,6,1
2007,RMA,7,1
2007,GET,8,1
2007,BARC,9,1
2007,ALM,10,1
2007,OSA,11,1
2007,ATHB,12,1
2007,BET,13,1
2007,VLLD,14,1
2007,MALL,15,1
2007,LAC,16,1
2007,SAN,17,1
2007,VIL,18,1
2007,REC,19,1
2007,LEVA,20,1
2008,LAC,1,1
2008,SPG,2,1
2008,SEV,3,1
2008,BARC,4,1
2008,ATHM,5,1
2008,REC,6,1
2008,ESP,7,1
2008,NUM,8,1
2008,VLLD,9,1
2008,OSA,10,1
2008,VLC,11,1
2008,ATHB,12,1
2008,VIL,13,1
2008,MALL,14,1
2008,GET,15,1
2008,ALM,16,1
2008,BET,17,1
2008,RMA,18,1
2008,SAN,19,1
2008,MLG,20,1
2009,VLLD,1,1
2009,ATHB,2,1
2009,MLG,3,1
2009,TEN,4,1
2009,BARC,5,1
2009,MALL,6,1
2009,VLC,7,1
2009,SAN,8,1
2009,RMA,9,1
2009,GET,10,1
2009,VIL,11,1
2009,SEV,12,1
2009,ALM,13,1
2009,SPG,14,1
2009,ESP,15,1
2009,ZAR,16,1
2009,XER,17,1
2009,ATHM,18,1
2009,LAC,19,1
2009,OSA,20,1
2010,ATHB,1,1
2010,GET,2,1
2010,ZAR,3,1
2010,OSA,4,1
2010,LAC,5,1
2010,BARC,6,1
2010,SAN,7,1
2010,VIL,8,1
2010,ATHM,9,1
2010,MALL,10,1
2010,RSO,11,1
2010,RMA,12,1
2010,MLG,13,1
2010,ALM,14,1
2010,SEV,15,1
2010,ESP,16,1
2010,SPG,17,1
2010,LEVA,18,1
2010,HERC,19,1
2010,VLC,20,1
2011,SAN,1,1
2011,VIL,2,1
2011,GRA,3,1
2011,RSO,4,1
2011,BARC,5,1
2011,BET,6,1
2011,MALL,7,1
2011,ATHM,8,1
2011,OSA,9,1
2011,ZAR,10,1
2011,RMA,11,1
2011,VLC,12,1
2011,ATHB,13,1
2011,LEVA,14,1
2011,SEV,15,1
2011,ESP,16,1
2011,RAYO,17,1
2011,GET,18,1
2011,MLG,19,1
2011,SPG,20,1
2012,OSA,1,1
2012,ATHM,2,1
2012,LAC,3,1
2012,LEVA,4,1
2012,RAYO,5,1
2012,VLC,6,1
2012,RMA,7,1
2012,ATHB,8,1
2012,ESP,9,1
2012,VLLD,10,1
2012,SEV,11,1
2012,BARC,12,1
2012,MLG,13,1
2012,ZAR,14,1
2012,GET,15,1
2012,CEL,16,1
2012,GRA,17,1
2012,MALL,18,1
2012,BET,19,1
2012,RSO,20,1
2013,BARC,1,1
2013,RMA,2,1
2013,LEVA,3,1
2013,VLC,4,1
2013,ALM,5,1
2013,GRA,6,1
2013,BET,7,1
2013,SEV,8,1
2013,VLLD,9,1
2013,GET,10,1
2013,VIL,11,1
2013,ELC,12,1
2013,MLG,13,1
2013,RAYO,14,1
2013,ATHM,15,1
2013,CEL,16,1
2013,ESP,17,1
2013,OSA,18,1
2013,RSO,19,1
2013,ATHB,20,1
2014,RMA,1,1
2014,SEV,2,1
2014,LAC,3,1
2014,GRA,4,1
2014,EIB,5,1
2014,RAYO,6,1
2014,ELC,7,1
2014,VLC,8,1
2014,RSO,9,1
2014,GET,10,1
2014,ATHB,11,1
2014,CEL,12,1
2014,BARC,13,1
2014,MLG,14,1
2014,ALM,15,1
2014,ATHM,16,1
2014,ESP,17,1
2014,VIL,18,1
2014,COR,19,1
2014,LEVA,20,1
2015,ATHB,1,1
