season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2000,RMA,1,4,11,16,18,9,4,9,6,3,14
2000,LAC,2,20,1,19,6,6,16,15,4,13,15
2000,MALL,3,8,16,5,13,11,19,4,12,12,9
2000,BARC,4,7,14,17,3,18,17,10,19,8,2
2000,VLC,5,16,3,13,4,10,1,18,2,11,13
2000,CEL,6,3,20,18,7,5,3,19,9,10,11
2000,VIL,7,18,7,8,10,17,7,17,17,20,10
2000,MLG,8,14,18,6,15,7,8,14,15,14,7
2000,ESP,9,12,17,9,12,12,12,5,5,1,1
2000,ALA,10,19,8,11,17,20,11,7,11,9,6
2000,LASP,11,2,4,15,20,19,18,3,18,18,17
2000,RAYO,12,10,12,7,14,14,6,12,13,17,4
2000,RSO,13,5,6,10,11,13,5,13,1,4,16
2000,ATHB,14,6,10,4,1,1,20,20,14,7,19
2000,ZAR,15,9,15,1,5,15,15,11,16,19,20
2000,VLLD,16,11,2,12,8,4,9,16,7,6,3
2000,OSA,17,13,5,20,2,8,13,2,20,15,5
2000,OVI,18,17,13,2,9,2,14,8,3,5,12
2000,SAN,19,15,9,3,16,16,10,1,8,2,18
2000,NUM,20,1,19,14,19,3,2,6,10,16,8
2001,VLC,1,3,1,4,4,13,12,14,11,10,1
2001,LAC,2,11,10,16,12,7,15,20,19,4,2
2001,RMA,3,7,2,15,8,3,1,6,3,17,19
2001,BARC,4,6,16,9,11,5,20,4,4,14,6
2001,CEL,5,13,14,18,17,14,13,9,8,9,20
2001,BET,6,10,20,2,18,16,3,8,20,11,8
2001,ALA,7,19,15,19,7,1,16,19,1,7,14
2001,SEV,8,15,18,6,20,4,17,17,18,20,12
2001,MLG,9,8,5,8,19,8,7,13,14,19,16
2001,ATHB,10,16,12,10,6,6,6,5,2,3,10
2001,RAYO,11,9,19,17,13,12,14,16,16,1,17
2001,VLLD,12,5,17,13,2,17,4,15,17,12,5
2001,RSO,13,18,8,11,10,20,2,3,6,2,7
2001,ESP,14,1,9,1,3,9,18,12,12,16,15
2001,VIL,15,2,11,12,14,15,9,18,7,18,4
2001,MALL,16,17,13,20,9,11,19,1,13,15,18
2001,OSA,17,14,6,3,5,19,10,2,10,13,3
2001,LASP,18,12,4,7,1,18,8,11,5,8,11
2001,TEN,19,4,7,5,16,2,5,10,9,6,13
2001,ZAR,20,20,3,14,15,10,11,7,15,5,9
2002,RMA,1,5,3,17,2,13,9,2,9,17,10
2002,RSO,2,1,10,4,10,6,14,13,13,19,13
2002,LAC,3,16,18,13,16,14,20,12,17,10,7
