season,team,rank,simulation_seed
2001,BOLN,1,1
2001,NEW,2,1
2001,EVE,3,1
2001,CHA,4,1
2001,MID,5,1
2001,BLBN,6,1
2001,LEE,7,1
2001,MANU,8,1
2001,LEIC,9,1
2001,CHE,10,1
2001,IPS,11,1
2001,WHU,12,1
2001,LIVP,13,1
2001,SOU,14,1
2001,ARS,15,1
2001,TOT,16,1
2001,DER,17,1
2001,AVL,18,1
2001,FUL,19,1
2001,SUN,20,1
2002,TOT,1,1
2002,MANC,2,1
2002,BOLN,3,1
2002,SOU,4,1
2002,FUL,5,1
2002,LIVP,6,1
2002,MID,7,1
2002,BLBN,8,1
2002,CHE,9,1
2002,LEE,10,1
2002,WHU,11,1
2002,NEW,12,1
2002,ARS,13,1
2002,MANU,14,1
2002,BIR,15,1
2002,CHA,16,1
2002,WBA,17,1
2002,AVL,18,1
2002,EVE,19,1
2002,SUN,20,1
2005,CHE,1,1
2005,ARS,2,1
2005,CHA,3,1
2005,MID,4,1
2005,MANC,5,1
2005,BOLN,6,1
2005,AVL,7,1
2005,WHU,8,1
2005,EVE,9,1
2005,MANU,10,1
2005,TOT,11,1
2005,SUN,12,1
2005,BIR,13,1
2005,LIVP,14,1
2005,BLBN,15,1
2005,FUL,16,1
2005,NEW,17,1
2005,WBA,18,1
2005,WIG,19,1
2005,POR,20,1
2006,REA,1,1
2006,WIG,2,1
2006,EVE,3,1
2006,WAT,4,1
2006,CHA,5,1
2006,MANU,6,1
2006,WHU,7,1
2006,AVL,8,1
2006,CHE,9,1
2006,SHU,10,1
2006,ARS,11,1
2006,MID,12,1
2006,BOLN,13,1
2006,MANC,14,1
2006,TOT,15,1
2006,FUL,16,1
2006,NEW,17,1
2006,LIVP,18,1
2006,BLBN,19,1
2006,POR,20,1
2007,NEW,1,1
2007,WIG,2,1
2007,MID,3,1
2007,LIVP,4,1
2007,TOT,5,1
2007,REA,6,1
2007,MANC,7,1
2007,CHE,8,1
2007,BIR,9,1
2007,ARS,10,1
2007,FUL,11,1
2007,DER,12,1
2007,SUN,13,1
2007,MANU,14,1
2007,POR,15,1
2007,BOLN,16,1
2007,WHU,17,1
2007,BLBN,18,1
2007,AVL,19,1
2007,EVE,20,1
2008,AVL,1,1
2008,EVE,2,1
2008,STO,3,1
2008,POR,4,1
2008,WHU,5,1
2008,FUL,6,1
2008,TOT,7,1
2008,MANU,8,1
2008,MANC,9,1
2008,WIG,10,1
2008,MID,11,1
2008,BOLN,12,1
2008,SUN,13,1
2008,BLBN,14,1
2008,LIVP,15,1
2008,NEW,16,1
2008,WBA,17,1
2008,ARS,18,1
2008,CHE,19,1
2008,HUL,20,1
2009,SUN,1,1
2009,HUL,2,1
2009,POR,3,1
2009,LIVP,4,1
2009,FUL,5,1
2009,WHU,6,1
2009,MANU,7,1
2009,MANC,8,1
2009,ARS,9,1
2009,STO,10,1
2009,CHE,11,1
2009,WOLV,12,1
2009,WIG,13,1
2009,AVL,14,1
2009,BIR,15,1
2009,TOT,16,1
2009,BUR,17,1
2009,EVE,18,1
2009,BLBN,19,1
2009,BOLN,20,1
2010,MANU,1,1
2010,EVE,2,1
2010,FUL,3,1
2010,WHU,4,1
2010,AVL,5,1
2010,MANC,6,1
2010,WOLV,7,1
2010,TOT,8,1
2010,BLBN,9,1
2010,STO,10,1
2010,LIVP,11,1
2010,NEW,12,1
2010,BLPL,13,1
2010,SUN,14,1
2010,WBA,15,1
2010,ARS,16,1
2010,BIR,17,1
2010,BOLN,18,1
2010,WIG,19,1
2010,CHE,20,1
2011,EVE,1,1
2011,MANC,2,1
2011,MANU,3,1
2011,NEW,4,1
2011,AVL,5,1
2011,LIVP,6,1
2011,NOR,7,1
2011,SUN,8,1
2011,QPR,9,1
2011,WOLV,10,1
2011,BOLN,11,1
2011,BLBN,12,1
2011,STO,13,1
2011,WBA,14,1
2011,TOT,15,1
2011,FUL,16,1
2011,ARS,17,1
2011,WIG,18,1
2011,CHE,19,1
2011,SWA,20,1
2012,WIG,1,1
2012,TOT,2,1
2012,SWA,3,1
2012,WBA,4,1
2012,QPR,5,1
2012,LIVP,6,1
2012,AVL,7,1
2012,WHU,8,1
2012,ARS,9,1
2012,STO,10,1
2012,SUN,11,1
2012,REA,12,1
2012,CHE,13,1
2012,SOU,14,1
2012,FUL,15,1
2012,NOR,16,1
2012,MANU,17,1
2012,EVE,18,1
2012,MANC,19,1
2012,NEW,20,1
2013,ARS,1,1
2013,CHE,2,1
2013,TOT,3,1
2013,STO,4,1
2013,SUN,5,1
2013,SOU,6,1
2013,CRY,7,1
2013,LIVP,8,1
2013,MANU,9,1
2013,WHU,10,1
2013,CARD,11,1
2013,NOR,12,1
2013,FUL,13,1
2013,WBA,14,1
2013,SWA,15,1
2013,NEW,16,1
2013,EVE,17,1
2013,MANC,18,1
2013,HUL,19,1
2013,AVL,20,1
2014,LIVP,1,1
2014,TOT,2,1
2014,HUL,3,1
2014,MANU,4,1
2014,STO,5,1
2014,LEIC,6,1
2014,CRY,7,1
2014,SWA,8,1
2014,BUR,9,1
2014,WHU,10,1
2014,MANC,11,1
2014,ARS,12,1
2014,SUN,13,1
2014,AVL,14,1
2014,CHE,15,1
2014,NEW,16,1
2014,WBA,17,1
2014,EVE,18,1
2014,SOU,19,1
2014,QPR,20,1
2015,CRY,1,1
2015,CHE,2,1
2015,TOT,3,1
2015,LEIC,4,1
2015,BOU,5,1
2015,NEW,6,1
2015,LIVP,7,1
2015,WHU,8,1
2015,MANU,9,1
2015,NOR,10,1
2015,WAT,11,1
2015,SUN,12,1
2015,STO,13,1
2015,WBA,14,1
2015,ARS,15,1
2015,MANC,16,1
2015,SWA,17,1
2015,EVE,18,1
2015,SOU,19,1
2015,AVL,20,1
2016,BOU,1,1
2016,WHU,2,1
