season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2001,ARS,1,1,11,8,18,13,6,20,7,6,16
2001,LIVP,2,8,6,19,10,15,19,10,16,18,17
2001,MANU,3,15,8,5,17,9,9,8,5,17,2
2001,NEW,4,10,19,3,7,17,2,13,14,12,11
2001,LEE,5,2,16,7,3,11,4,12,8,7,9
2001,CHE,6,20,10,6,8,4,15,7,15,3,3
2001,WHU,7,4,9,9,20,14,17,17,17,9,1
2001,AVL,8,11,13,15,5,20,8,2,10,14,14
2001,TOT,9,16,20,11,16,18,5,16,4,11,20
2001,BLBN,10,6,14,2,13,10,10,6,18,10,19
2001,SOU,11,9,2,13,12,3,18,1,13,8,7
2001,MID,12,5,7,4,14,19,20,18,6,1,12
2001,FUL,13,13,5,17,1,5,12,9,3,4,18
2001,CHA,14,18,3,20,19,16,14,14,2,15,10
2001,EVE,15,14,17,1,15,12,7,15,20,2,8
2001,BOLN,16,19,1,14,2,1,16,5,9,20,13
2001,SUN,17,17,12,18,11,2,3,3,19,13,15
2001,IPS,18,3,15,12,4,8,1,19,1,5,6
2001,DER,19,12,18,16,9,6,13,4,11,19,5
2001,LEIC,20,7,4,10,6,7,11,11,12,16,4
2002,MANU,1,13,8,12,18,9,18,20,14,9,11
2002,ARS,2,16,7,9,1,3,8,4,5,6,17
2002,NEW,3,3,17,6,5,18,10,6,12,1,16
2002,CHE,4,11,18,2,8,6,16,19,9,11,2
2002,LIVP,5,2,15,4,20,16,5,15,13,2,7
2002,BLBN,6,7,12,14,15,17,2,11,17,13,10
2002,EVE,7,19,20,1,9,10,20,1,1,18,14
2002,SOU,8,4,10,16,13,7,15,10,3,12,12
2002,MANC,9,15,19,7,3,15,6,18,20,19,1
2002,TOT,10,17,14,20,17,11,7,16,7,10,18
2002,MID,11,5,2,17,7,14,11,5,16,7,8
2002,CHA,12,1,11,5,12,4,4,7,15,14,20
2002,BIR,13,8,6,15,14,13,17,14,19,16,3
2002,FUL,14,6,3,18,4,8,1,8,18,15,13
2002,LEE,15,10,4,19,6,2,9,3,11,5,9
2002,AVL,16,18,13,11,10,1,13,12,8,3,19
