season,team,rank,simulation_seed
2000,BOLG,1,1
2000,INT,2,1
2000,ROM,3,1
2000,ATA,4,1
2000,LAZ,5,1
2000,FIO,6,1
2000,MIL,7,1
2000,NAP,8,1
2000,BRES,9,1
2000,UDI,10,1
2000,VIC,11,1
2000,PER,12,1
2000,BARI,13,1
2000,PAR,14,1
2000,LEC,15,1
2000,VER,16,1
2000,REG,17,1
2000,JUV,18,1
2001,TOR,1,1
2001,ROM,2,1
2001,UDI,3,1
2001,BRES,4,1
2001,VER,5,1
2001,INT,6,1
2001,LEC,7,1
2001,MIL,8,1
2001,PER,9,1
2001,ATA,10,1
2001,JUV,11,1
2001,PIA,12,1
2001,LAZ,13,1
2001,BOLG,14,1
2001,PAR,15,1
2001,VEN,16,1
2001,CHI,17,1
2001,FIO,18,1
2002,ROM,1,1
2002,LAZ,2,1
2002,CHI,3,1
2002,PER,4,1
2002,REG,5,1
2002,BOLG,6,1
2002,MIL,7,1
2002,PAR,8,1
2002,TOR,9,1
2002,MOD,10,1
2002,JUV,11,1
2002,INT,12,1
2002,COM,13,1
2002,EMP,14,1
2002,PIA,15,1
2002,BRES,16,1
2002,UDI,17,1
2002,ATA,18,1
2005,TRE,1,1
2005,FIO,2,1
2005,CAG,3,1
2005,ASC,4,1
2005,ROM,5,1
2005,CHI,6,1
2005,PAR,7,1
2005,SIE,8,1
2005,LAZ,9,1
2005,MIL,10,1
2005,PAL,11,1
2005,JUV,12,1
2005,INT,13,1
2005,UDI,14,1
2005,MES,15,1
2005,LIVO,16,1
2005,REG,17,1
2005,EMP,18,1
2005,SAM,19,1
2005,LEC,20,1
2006,CHI,1,1
2006,EMP,2,1
2006,LIVO,3,1
2006,REG,4,1
2006,MES,5,1
2006,PAR,6,1
2006,PAL,7,1
2006,INT,8,1
2006,SIE,9,1
2006,UDI,10,1
2006,MIL,11,1
2006,CAT,12,1
2006,ROM,13,1
2006,ASC,14,1
2006,SAM,15,1
2006,TOR,16,1
2006,LAZ,17,1
2006,CAG,18,1
2006,FIO,19,1
2006,ATA,20,1
2007,INT,1,1
2007,GEN,2,1
2007,JUV,3,1
2007,PAL,4,1
2007,EMP,5,1
2007,UDI,6,1
2007,LAZ,7,1
2007,SIE,8,1
2007,TOR,9,1
2007,PAR,10,1
2007,REG,11,1
2007,ROM,12,1
2007,CAT,13,1
2007,LIVO,14,1
2007,CAG,15,1
2007,SAM,16,1
2007,ATA,17,1
