season,date,home_team,away_team,true_home_team_result,simulated_home_team_result_seed_1,simulated_home_team_result_seed_2,simulated_home_team_result_seed_3,simulated_home_team_result_seed_4,simulated_home_team_result_seed_5,simulated_home_team_result_seed_6,simulated_home_team_result_seed_7,simulated_home_team_result_seed_8,simulated_home_team_result_seed_9,simulated_home_team_result_seed_10
2000,2000-09-30,BARI,VER,0,-1,-1,0,1,0,0,1,-1,-1,-1
2000,2000-09-30,NAP,JUV,-1,0,1,-1,1,1,0,0,1,-1,0
2000,2000-10-01,ATA,LAZ,0,0,1,-1,0,1,1,0,0,0,1
2000,2000-10-01,MIL,VIC,1,1,-1,-1,0,0,-1,1,1,1,-1
2000,2000-10-01,PAR,FIO,0,-1,1,1,1,1,1,0,-1,-1,-1
2000,2000-10-01,PER,LEC,0,0,0,1,-1,-1,-1,0,-1,1,0
2000,2000-10-01,REG,INT,1,0,-1,-1,1,0,0,1,-1,-1,-1
2000,2000-10-01,ROM,BOLG,1,-1,-1,-1,-1,1,-1,-1,1,0,1
2000,2000-10-01,UDI,BRES,1,-1,1,0,1,-1,1,-1,-1,0,1
2000,2000-10-14,INT,NAP,1,1,1,1,1,1,0,1,-1,-1,1
2000,2000-10-14,LAZ,PER,1,-1,0,0,0,1,-1,-1,0,0,1
2000,2000-10-15,BOLG,MIL,1,-1,1,1,1,1,1,1,1,-1,1
2000,2000-10-15,BRES,PAR,0,1,1,1,0,1,0,0,1,0,1
2000,2000-10-15,FIO,REG,1,-1,1,1,1,1,1,-1,1,-1,1
2000,2000-10-15,JUV,BARI,1,-1,0,0,1,-1,1,1,-1,0,1
2000,2000-10-15,LEC,ROM,-1,0,-1,1,1,-1,-1,-1,1,1,1
2000,2000-10-15,VER,UDI,0,1,1,1,1,1,0,0,1,1,-1
2000,2000-10-15,VIC,ATA,-1,0,1,1,-1,0,1,1,1,-1,-1
2000,2000-10-21,MIL,JUV,0,1,-1,0,1,1,0,-1,0,-1,-1
2000,2000-10-21,UDI,INT,1,-1,1,-1,0,0,1,0,1,1,1
2000,2000-10-22,BARI,ATA,-1,1,-1,0,1,0,1,-1,-1,0,1
2000,2000-10-22,BRES,FIO,0,1,1,1,0,1,1,-1,1,0,-1
2000,2000-10-22,NAP,BOLG,-1,0,-1,0,0,0,-1,1,-1,1,1
2000,2000-10-22,PER,PAR,1,1,-1,1,0,1,0,1,1,0,1
2000,2000-10-22,REG,LEC,-1,1,-1,0,1,1,1,0,1,0,1
2000,2000-10-22,ROM,VIC,1,1,-1,1,-1,1,0,-1,1,0,0
2000,2000-10-22,VER,LAZ,1,-1,0,1,0,1,-1,1,1,1,0
2000,2000-11-01,ATA,VER,1,1,-1,-1,1,1,1,0,-1,1,-1
2000,2000-11-01,BOLG,REG,1,0,1,1,1,0,-1,0,1,0,0
2000,2000-11-01,FIO,BARI,0,-1,1,0,1,1,-1,1,-1,-1,-1
2000,2000-11-01,INT,ROM,1,1,0,-1,1,0,1,1,1,1,1
