season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2000,ROM,1,16,2,9,14,14,3,4,13,13,14
2000,JUV,2,7,13,1,6,9,4,10,15,7,3
2000,LAZ,3,8,12,6,13,10,14,17,6,6,8
2000,PAR,4,15,5,10,7,6,9,18,16,16,15
2000,INT,5,6,3,2,5,5,8,3,3,4,18
2000,MIL,6,3,15,3,10,17,17,13,14,3,16
2000,ATA,7,12,18,15,9,12,13,16,18,1,5
2000,BRES,8,17,7,7,4,2,18,1,5,9,13
2000,FIO,9,10,16,8,3,7,12,8,4,17,9
2000,BOLG,10,5,1,5,1,13,10,11,8,12,17
2000,PER,11,2,9,17,11,15,15,5,9,11,11
2000,UDI,12,18,11,13,18,1,1,15,1,15,12
2000,LEC,13,13,6,11,12,4,16,6,10,8,6
2000,REG,14,4,14,18,2,3,5,14,17,18,1
2000,VER,15,14,4,16,17,8,11,12,2,14,2
2000,VIC,16,11,8,14,8,18,6,7,7,10,4
2000,NAP,17,1,17,4,16,16,7,2,11,5,10
2000,BARI,18,9,10,12,15,11,2,9,12,2,7
2001,JUV,1,11,4,3,8,10,17,1,3,12,3
2001,ROM,2,2,18,2,4,12,2,4,5,18,8
2001,INT,3,3,12,14,3,13,6,2,15,14,12
2001,MIL,4,13,13,5,17,16,18,13,8,5,18
2001,CHI,5,6,10,16,13,15,11,3,12,11,15
2001,LAZ,6,1,1,10,2,2,8,11,13,2,10
2001,BOLG,7,12,9,15,11,4,16,5,2,13,11
2001,PER,8,4,3,13,6,11,9,12,17,9,9
2001,ATA,9,17,17,12,14,14,3,18,18,1,5
2001,PAR,10,16,15,18,10,8,7,6,6,4,2
2001,TOR,11,8,16,17,18,5,13,8,7,15,17
2001,PIA,12,9,5,8,7,6,10,17,10,6,13
2001,BRES,13,15,7,4,1,18,14,15,16,10,6
2001,UDI,14,18,8,11,12,1,4,9,4,8,4
2001,VER,15,14,14,7,16,3,5,7,9,7,16
2001,LEC,16,7,6,6,9,17,1,16,1,16,14
2001,FIO,17,10,2,1,5,7,12,14,11,3,7
2001,VEN,18,5,11,9,15,9,15,10,14,17,1
2002,JUV,1,2,18,1,14,4,13,13,2,6,18
2002,INT,2,3,17,14,1,5,6,12,8,12,4
2002,MIL,3,11,6,17,9,17,17,4,15,5,12
2002,LAZ,4,17,15,7,11,6,14,5,18,10,5
2002,PAR,5,1,2,13,12,12,9,10,12,3,17
2002,UDI,6,18,8,16,5,16,7,9,4,14,6
2002,CHI,7,14,4,3,16,2,10,17,14,9,1
2002,ROM,8,12,11,15,6,3,5,3,13,18,16
2002,BRES,9,7,5,12,2,1,12,6,3,13,15
2002,PER,10,13,14,6,17,18,11,11,7,4,13
2002,BOLG,11,9,12,8,7,8,3,2,5,7,2
2002,EMP,12,15,3,9,18,14,15,16,10,11,9
2002,ATA,13,4,10,5,8,11,18,14,6,16,11
2002,REG,14,16,1,18,13,7,16,8,17,8,14
2002,MOD,15,6,16,10,3,9,4,15,9,15,8
2002,PIA,16,10,9,2,10,15,8,7,1,17,7
2002,COM,17,8,13,11,4,10,1,18,11,1,3
2002,TOR,18,5,7,4,15,13,2,1,16,2,10
2005,JUV,1,3,1,8,11,9,20,6,1,6,4
2005,MIL,2,10,15,7,5,12,7,8,18,20,6
2005,INT,3,15,9,18,13,19,13,19,12,14,9
2005,FIO,4,16,6,14,4,13,17,3,10,16,15
2005,ROM,5,20,10,9,14,20,5,11,16,7,17
2005,LAZ,6,1,16,15,1,3,8,13,19,17,5
2005,CHI,7,14,12,12,20,11,4,12,4,2,3
2005,PAL,8,17,17,10,7,6,19,14,8,10,11
2005,LIVO,9,9,13,3,10,10,2,1,13,1,18
2005,PAR,10,11,19,1,18,5,3,10,2,13,14
2005,EMP,11,19,20,5,15,8,12,2,7,19,16
2005,ASC,12,2,5,19,8,7,10,20,9,18,13
2005,UDI,13,8,18,2,2,17,6,7,5,8,20
2005,SAM,14,6,8,17,17,4,11,5,11,11,7
2005,REG,15,12,2,16,3,15,1,17,14,15,12
2005,CAG,16,5,7,4,6,18,14,15,20,3,19
2005,SIE,17,7,14,13,19,2,16,4,6,12,8
2005,MES,18,13,11,11,9,1,15,18,3,5,2
2005,LEC,19,18,3,20,12,16,18,9,15,4,1
2005,TRE,20,4,4,6,16,14,9,16,17,9,10
2006,INT,1,11,7,1,20,11,9,16,16,18,2
