season,team,points,wins,draws,losses,rank
2004,WOB,61,17,10,7,1
2004,HAN,56,14,14,6,2
2004,HERT,54,14,12,8,3
2004,MAI,54,14,12,8,4
2004,SCH,53,13,14,7,5
2004,M'G,51,14,9,11,6
2004,DOR,46,13,7,14,7
2004,HAM,46,13,7,14,8
2004,NUR,45,11,12,11,9
2004,STU,44,11,11,12,10
2004,BOC,40,10,10,14,11
2004,FRE,40,9,13,12,12
2004,HANR,40,8,16,10,13
2004,KAI,40,10,10,14,14
2004,WERB,40,10,10,14,15
2004,LEVK,38,9,11,14,16
2004,BIE,36,9,9,16,17
2004,BAY,34,7,13,14,18
2005,KAI,60,17,9,8,1
2005,M'G,57,16,9,9,2
2005,DOR,53,13,14,7,3
2005,BAY,52,14,10,10,4
2005,KOL,52,13,13,8,5
2005,WOB,50,11,17,6,6
2005,HAN,48,14,6,14,7
2005,LEVK,48,12,12,10,8
2005,MAI,48,13,9,12,9
2005,EINF,47,13,8,13,10
2005,DUI,46,12,10,12,11
2005,SCH,46,10,16,8,12
2005,BIE,38,10,8,16,13
2005,HERT,38,9,11,14,14
2005,STU,36,9,9,16,15
2005,HAM,34,7,13,14,16
2005,WERB,33,6,15,13,17
2005,NUR,30,5,15,14,18
2006,NUR,62,18,8,8,1
2006,EINF,59,15,14,5,2
2006,LEVK,57,16,9,9,3
2006,MAI,55,15,10,9,4
2006,AAC,51,13,12,9,5
2006,HAM,51,14,9,11,6
2006,BAY,48,12,12,10,7
2006,COT,47,13,8,13,8
2006,DOR,47,12,11,11,9
2006,SCH,47,13,8,13,10
2006,BOC,45,10,15,9,11
2006,STU,41,10,11,13,12
2006,WERB,41,10,11,13,13
2006,M'G,40,9,13,12,14
2006,WOB,39,10,9,15,15
2006,BIE,37,9,10,15,16
2006,HERT,31,6,13,15,17
2006,HAN,24,5,9,20,18
2007,HANR,64,18,10,6,1
2007,KAR,57,14,15,5,2
2007,NUR,57,15,12,7,3
2007,STU,51,13,12,9,4
2007,COT,50,13,11,10,5
2007,SCH,50,13,11,10,6
2007,DUI,46,12,10,12,7
2007,HAM,46,11,13,10,8
2007,HAN,45,11,12,11,9
2007,EINF,44,11,11,12,10
2007,LEVK,43,9,16,9,11
2007,WOB,43,9,16,9,12
2007,BAY,41,10,11,13,13
2007,BOC,41,10,11,13,14
2007,HERT,41,11,8,15,15
2007,DOR,36,8,12,14,16
2007,WERB,29,6,11,17,17
2007,BIE,28,6,10,18,18
2008,WERB,58,15,13,6,1
2008,WOB,55,15,10,9,2
2008,M'G,51,13,12,9,3
2008,HERT,50,11,17,6,4
2008,HAM,48,11,15,8,5
2008,KAR,48,11,15,8,6
2008,BIE,46,11,13,10,7
2008,KOL,46,9,19,6,8
2008,COT,44,10,14,10,9
2008,LEVK,44,12,8,14,10
2008,STU,44,10,14,10,11
2008,SCH,43,11,10,13,12
2008,BAY,39,6,21,7,13
2008,EINF,39,10,9,15,14
2008,HAN,37,8,13,13,15
2008,HOF,37,9,10,15,16
2008,DOR,35,7,14,13,17
2008,BOC,34,7,13,14,18
2009,HAN,61,16,13,5,1
2009,DOR,56,15,11,8,2
2009,EINF,56,15,11,8,3
2009,LEVK,53,15,8,11,4
2009,HOF,50,13,11,10,5
2009,SCH,50,13,11,10,6
2009,WERB,50,13,11,10,7
2009,BOC,49,13,10,11,8
2009,NUR,47,12,11,11,9
2009,BAY,42,10,12,12,10
2009,HERT,42,10,12,12,11
2009,KOL,41,8,17,9,12
2009,M'G,41,9,14,11,13
2009,WOB,37,8,13,13,14
2009,FRE,36,8,12,14,15
2009,STU,36,9,9,16,16
