season,date,team1,team2,true_home_team_result,simulated_home_team_result
2024,2025-05-25,GIR,ATHM,-1,-1
2024,2025-05-25,VIL,SEV,1,1
2024,2025-05-25,ATHB,BARC,-1,1
2024,2025-05-24,RMA,RSO,1,1
2024,2025-05-24,ESP,LASP,1,1
2024,2025-05-24,LEG,VLLD,1,-1
2024,2025-05-24,ALA,OSA,0,-1
2024,2025-05-24,GET,CEL,-1,1
2024,2025-05-24,RAYO,MALL,0,-1
2024,2025-05-23,BET,VLC,0,-1
2024,2025-05-18,ATHM,BET,1,0
2024,2025-05-18,BARC,VIL,-1,1
2024,2025-05-18,CEL,RAYO,-1,-1
2024,2025-05-18,LASP,LEG,-1,1
2024,2025-05-18,MALL,GET,-1,-1
2024,2025-05-18,OSA,ESP,1,0
2024,2025-05-18,SEV,RMA,-1,-1
2024,2025-05-18,RSO,GIR,1,1
2024,2025-05-18,VLC,ATHB,-1,-1
2024,2025-05-18,VLLD,ALA,-1,0
2024,2025-05-15,RAYO,BET,0,1
2024,2025-05-15,OSA,ATHM,1,1
2024,2025-05-15,ESP,BARC,-1,0
2024,2025-05-15,GET,ATHB,-1,0
2024,2025-05-14,ALA,VLC,1,1
2024,2025-05-14,VIL,LEG,1,1
2024,2025-05-14,RMA,MALL,1,0
2024,2025-05-13,VLLD,GIR,-1,-1
2024,2025-05-13,RSO,CEL,-1,-1
2024,2025-05-13,SEV,LASP,1,0
2024,2025-05-11,LEG,ESP,1,-1
2024,2025-05-11,BARC,RMA,1,-1
2024,2025-05-11,ATHB,ALA,1,1
2024,2025-05-11,BET,OSA,0,-1
2024,2025-05-10,VLC,GET,1,-1
2024,2025-05-10,CEL,SEV,1,1
2024,2025-05-10,GIR,VIL,-1,-1
2024,2025-05-10,MALL,VLLD,1,-1
2024,2025-05-10,ATHM,RSO,1,1
2024,2025-05-09,LASP,RAYO,-1,0
2024,2025-05-05,GIR,MALL,1,1
2024,2025-05-04,RMA,CEL,1,0
2024,2025-05-04,SEV,LEG,0,1
2024,2025-05-04,ESP,BET,-1,-1
2024,2025-05-04,RSO,ATHB,0,1
2024,2025-05-03,ALA,ATHM,0,1
2024,2025-05-03,VIL,OSA,1,1
2024,2025-05-03,LASP,VLC,-1,1
2024,2025-05-03,VLLD,BARC,-1,0
2024,2025-05-02,RAYO,GET,1,0
2024,2025-04-27,VIL,ESP,1,1
2024,2025-04-24,LEG,GIR,0,1
2024,2025-04-24,OSA,SEV,1,1
2024,2025-04-24,ATHM,RAYO,1,0
2024,2025-04-24,BET,VLLD,1,0
2024,2025-04-23,ATHB,LASP,1,0
2024,2025-04-23,CEL,VIL,1,-1
2024,2025-04-23,ALA,RSO,1,0
2024,2025-04-23,GET,RMA,-1,1
2024,2025-04-22,VLC,ESP,0,-1
2024,2025-04-22,BARC,MALL,1,0
2024,2025-04-21,GIR,BET,-1,-1
2024,2025-04-20,VLLD,OSA,-1,0
2024,2025-04-20,VIL,RSO,0,0
2024,2025-04-20,SEV,ALA,0,0
2024,2025-04-20,RMA,ATHB,1,1
2024,2025-04-19,RAYO,VLC,0,0
2024,2025-04-19,BARC,CEL,1,0
2024,2025-04-19,MALL,LEG,0,-1
2024,2025-04-19,LASP,ATHM,1,0
2024,2025-04-18,ESP,GET,1,0
2024,2025-04-14,ATHM,VLLD,1,0
2024,2025-04-13,OSA,GIR,1,0
2024,2025-04-13,ALA,RMA,-1,0
2024,2025-04-13,BET,VIL,-1,1
2024,2025-04-13,ATHB,RAYO,1,0
2024,2025-04-12,RSO,MALL,-1,0
2024,2025-04-12,GET,LASP,-1,-1
2024,2025-04-12,CEL,ESP,-1,0
2024,2025-04-12,LEG,BARC,-1,1
2024,2025-04-11,VLC,SEV,1,1
2024,2025-04-07,LEG,OSA,0,-1
2024,2025-04-06,LASP,RSO,-1,1
2024,2025-04-06,SEV,ATHM,-1,0
2024,2025-04-06,VLLD,GET,-1,1
2024,2025-04-06,VIL,ATHB,0,-1
