season,team,points,wins,draws,losses,gf,ga,gd,rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2000,RMA,80,24,8,6,81,40,41,1,18,13,1,19,8,10,10,13,14,15
2000,LAC,73,22,7,9,73,44,29,2,1,10,12,5,13,14,5,10,20,18
2000,MALL,71,20,11,7,61,43,18,3,4,2,13,1,10,15,15,11,18,6
2000,BARC,63,17,12,9,80,57,23,4,14,19,2,10,5,11,6,6,16,5
2000,VLC,63,18,9,11,55,34,21,5,20,3,20,14,20,5,19,3,4,11
2000,CEL,59,16,11,11,51,49,2,6,5,16,8,7,9,3,17,15,5,4
2000,VIL,57,16,9,13,58,52,6,7,16,11,3,12,4,6,1,7,19,17
2000,MLG,56,16,8,14,60,61,-1,8,17,12,10,15,16,7,11,19,1,12
2000,ESP,50,14,8,16,46,44,2,9,12,15,9,2,12,12,7,9,6,8
2000,ALA,49,14,7,17,58,59,-1,10,10,17,17,9,15,19,8,18,11,1
2000,LASP,46,13,7,18,42,62,-20,11,8,7,14,3,17,17,16,14,17,14
2000,RAYO,43,10,13,15,56,68,-12,12,2,1,19,20,2,16,18,4,13,2
2000,RSO,43,11,10,17,52,68,-16,13,15,14,16,6,19,4,9,20,3,19
2000,ATHB,43,11,10,17,44,60,-16,14,7,6,7,4,1,9,13,17,2,16
2000,ZAR,42,9,15,14,54,57,-3,15,6,4,15,18,18,2,2,8,7,20
2000,VLLD,42,9,15,14,42,50,-8,16,11,5,5,8,7,1,20,16,10,3
2000,OSA,42,10,12,16,43,54,-11,17,9,8,11,16,11,20,3,12,8,9
2000,OVI,41,11,8,19,51,67,-16,18,13,20,4,17,6,8,4,5,9,7
2000,SAN,39,10,9,19,48,62,-14,19,3,18,18,13,3,13,12,1,15,10
2000,NUM,39,10,9,19,40,64,-24,20,19,9,6,11,14,18,14,2,12,13
2001,VLC,75,21,12,5,51,27,24,1,18,18,19,13,17,10,11,18,10,4
2001,LAC,68,20,8,10,65,41,24,2,10,6,12,12,19,4,13,1,4,14
2001,RMA,66,19,9,10,69,44,25,3,7,3,3,2,1,18,3,8,1,3
2001,BARC,64,18,10,10,65,37,28,4,19,10,8,18,6,8,4,3,15,1
2001,CEL,60,16,12,10,64,46,18,5,2,20,16,11,7,9,18,6,14,12
2001,BET,59,15,14,9,42,34,8,6,3,11,1,10,3,15,12,4,12,17
2001,ALA,54,17,3,18,41,44,-3,7,20,2,11,17,10,5,6,7,3,6
2001,SEV,53,14,11,13,51,40,11,8,4,19,7,8,2,11,9,13,8,13
2001,MLG,53,13,14,11,44,44,0,9,16,14,6,19,15,16,19,10,20,8
2001,ATHB,53,14,11,13,54,66,-12,10,14,7,14,4,20,3,2,19,11,7
2001,RAYO,49,13,10,15,46,52,-6,11,6,16,13,1,12,14,8,12,7,16
2001,VLLD,48,13,9,16,45,58,-13,12,15,9,15,3,5,12,15,16,6,5
2001,RSO,47,13,8,17,48,54,-6,13,12,12,4,5,4,17,1,17,2,18
2001,ESP,47,13,8,17,47,56,-9,14,17,13,17,6,18,1,7,15,9,20
2001,VIL,43,11,10,17,46,55,-9,15,9,15,10,14,9,7,14,9,17,9
2001,MALL,43,11,10,17,40,52,-12,16,5,1,20,20,14,13,16,5,16,19
2001,OSA,42,10,12,16,36,49,-13,17,11,5,18,15,16,6,17,2,5,15
2001,LASP,40,9,13,16,40,50,-10,18,1,4,5,9,8,2,5,11,19,11
2001,TEN,38,10,8,20,32,58,-26,19,8,8,9,16,11,20,10,20,13,10
2001,ZAR,37,9,10,19,35,54,-19,20,13,17,2,7,13,19,20,14,18,2
2002,RMA,78,22,12,4,86,42,44,1,20,1,16,12,7,13,5,16,1,16
2002,RSO,76,22,10,6,71,45,26,2,12,12,7,11,15,4,3,6,12,3
2002,LAC,72,22,6,10,67,47,20,3,17,14,4,6,1,9,6,7,17,9
2002,CEL,61,17,10,11,45,36,9,4,15,4,3,18,10,6,10,11,15,18
2002,VLC,60,17,9,12,56,35,21,5,5,9,9,14,16,11,15,14,18,17
2002,BARC,56,15,11,12,63,47,16,6,7,2,10,17,5,3,1,19,7,6
2002,ATHB,55,15,10,13,63,61,2,7,13,8,14,13,12,19,12,3,11,5
2002,BET,54,14,12,12,56,53,3,8,19,3,11,16,9,8,8,10,20,4
2002,MALL,52,14,10,14,49,56,-7,9,9,16,12,7,13,12,7,2,2,15
2002,SEV,50,13,11,14,38,39,-1,10,10,13,18,4,11,15,14,18,14,2
2002,ATHM,47,12,11,15,51,56,-5,11,8,11,20,15,20,16,17,15,9,13
2002,OSA,47,12,11,15,40,48,-8,12,16,7,17,10,17,5,2,12,3,14
2002,VLLD,46,12,10,16,37,40,-3,13,11,17,15,1,6,20,18,8,4,19
2002,MLG,46,11,13,14,44,49,-5,14,1,5,6,9,14,1,11,4,8,8
2002,VIL,45,11,12,15,44,53,-9,15,4,20,1,2,19,2,20,17,16,7
2002,SAN,44,13,5,20,54,64,-10,16,2,15,8,5,3,17,13,13,13,11
2002,ESP,43,10,13,15,48,54,-6,17,14,10,5,3,2,10,9,20,10,10
2002,REC,36,8,12,18,35,61,-26,18,18,6,13,19,4,7,4,1,6,12
2002,ALA,35,8,11,19,38,68,-30,19,3,18,2,20,18,18,16,9,19,20
2002,RAYO,32,7,11,20,31,62,-31,20,6,19,19,8,8,14,19,5,5,1
2003,VLC,77,23,8,7,71,27,44,1,15,13,4,6,8,12,11,8,8,3
2003,BARC,72,21,9,8,63,39,24,2,1,14,6,8,1,14,10,18,1,19
2003,LAC,71,21,8,9,60,34,26,3,8,16,8,9,13,3,13,4,16,15
2003,RMA,70,21,7,10,72,54,18,4,13,11,20,11,15,16,12,5,12,6
2003,ATHB,56,15,11,12,53,49,4,5,14,8,12,19,20,15,17,15,7,1
2003,SEV,55,15,10,13,56,45,11,6,19,5,9,17,12,5,7,7,5,14
2003,ATHM,55,15,10,13,51,53,-2,7,12,17,13,15,3,13,9,3,13,2
2003,VIL,54,15,9,14,47,49,-2,8,10,19,1,13,5,10,16,13,6,10
2003,BET,52,13,13,12,46,43,3,9,11,7,17,5,9,8,19,16,19,11
2003,MLG,51,15,6,17,50,55,-5,10,2,20,15,18,2,4,2,10,3,12
2003,MALL,51,15,6,17,54,66,-12,11,5,18,18,3,10,11,3,19,10,7
2003,OSA,48,11,15,12,38,37,1,12,6,9,7,10,7,19,14,20,2,9
2003,ZAR,48,13,9,16,46,55,-9,13,17,2,11,2,18,6,4,9,20,18
2003,ALB,47,13,8,17,40,48,-8,14,7,1,5,20,19,20,5,2,9,8
2003,RSO,46,11,13,14,49,53,-4,15,16,15,14,1,16,7,18,12,4,5
2003,SAN,43,11,10,17,48,63,-15,16,9,12,19,4,11,17,6,14,17,17
2003,ESP,43,13,4,21,48,64,-16,17,4,4,16,7,4,2,20,17,14,20
2003,VLLD,41,10,11,17,46,56,-10,18,3,10,10,14,17,1,8,6,11,16
2003,CEL,39,9,12,17,48,68,-20,19,18,6,2,16,14,18,15,1,18,13
2003,MUR,26,5,11,22,29,57,-28,20,20,3,3,12,6,9,1,11,15,4
2005,BARC,82,25,7,6,80,35,45,1,19,2,3,9,14,2,11,14,4,6
2005,RMA,70,20,10,8,70,40,30,2,10,5,9,11,17,17,14,3,14,15
2005,VLC,69,19,12,7,58,33,25,3,14,11,13,1,7,13,10,20,9,20
