season,team,actual_rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2001,ARS,1,9,18,12,18,12,11,12,12,11,10
2001,LIVP,2,16,17,4,3,7,8,11,2,9,20
2001,MANU,3,13,20,14,19,17,10,13,19,17,17
2001,NEW,4,4,8,18,17,8,15,14,9,15,14
2001,LEE,5,8,11,3,13,11,16,10,13,10,9
2001,CHE,6,11,10,15,5,15,17,8,18,19,3
2001,WHU,7,10,9,19,6,19,5,15,20,1,13
2001,AVL,8,6,12,5,9,5,3,7,4,4,12
2001,TOT,9,14,13,9,2,16,20,18,7,18,11
2001,BLBN,10,15,1,6,20,20,14,20,15,2,6
2001,SOU,11,20,4,11,7,2,18,3,10,3,5
2001,MID,12,17,5,7,16,4,12,16,17,6,15
2001,FUL,13,19,3,8,11,13,4,9,8,12,1
2001,CHA,14,2,2,13,1,3,2,5,11,13,18
2001,EVE,15,3,19,16,4,1,19,19,16,14,4
2001,BOLN,16,7,14,2,15,6,13,2,14,20,2
2001,SUN,17,5,7,17,8,9,9,4,3,7,8
2001,IPS,18,12,16,20,12,18,6,17,1,8,16
2001,DER,19,1,15,10,10,10,7,6,5,16,19
2001,LEIC,20,18,6,1,14,14,1,1,6,5,7
2002,MANU,1,18,2,18,14,19,16,10,3,2,12
2002,ARS,2,20,4,14,18,5,2,2,1,18,14
2002,NEW,3,9,11,2,2,20,4,6,16,19,16
2002,CHE,4,14,15,1,7,13,6,8,8,20,10
2002,LIVP,5,8,8,7,10,17,10,20,4,14,1
2002,BLBN,6,7,5,6,1,15,8,1,5,12,9
2002,EVE,7,6,6,12,13,10,15,16,7,7,19
2002,SOU,8,1,12,13,9,2,5,12,9,17,18
2002,MANC,9,17,9,20,8,14,3,15,12,4,4
2002,TOT,10,2,14,11,3,9,13,4,14,15,17
2002,MID,11,13,16,17,16,7,9,14,13,13,5
2002,CHA,12,19,7,15,20,1,11,3,15,6,3
2002,BIR,13,11,17,4,6,8,17,11,2,16,15
2002,FUL,14,12,13,16,5,16,20,17,18,8,7
