season,team,points,wins,draws,losses,rank
2001,IPS,68,18,14,6,1
2001,EVE,60,16,12,10,2
2001,AVL,57,14,15,9,3
2001,LEE,56,14,14,10,4
2001,TOT,55,14,13,11,5
2001,BOLN,54,14,12,12,6
2001,CHE,54,15,9,14,7
2001,MID,54,15,9,14,8
2001,FUL,52,14,10,14,9
2001,ARS,51,13,12,13,10
2001,MANU,51,13,12,13,11
2001,SOU,50,12,14,12,12
2001,NEW,49,11,16,11,13
2001,SUN,48,12,12,14,14
2001,LIVP,47,13,8,17,15
2001,CHA,44,10,14,14,16
2001,BLBN,42,11,9,18,17
2001,DER,42,9,15,14,18
2001,WHU,41,9,14,15,19
2001,LEIC,39,7,18,13,20
2002,WHU,64,16,16,6,1
2002,AVL,60,16,12,10,2
2002,SOU,60,15,15,8,3
2002,NEW,59,16,11,11,4
2002,LIVP,58,15,13,10,5
2002,BIR,57,16,9,13,6
2002,TOT,57,15,12,11,7
2002,BLBN,55,13,16,9,8
2002,CHE,53,14,11,13,9
2002,WBA,51,12,15,11,10
2002,LEE,50,12,14,12,11
2002,MANC,50,12,14,12,12
2002,MANU,48,14,6,18,13
2002,MID,47,12,11,15,14
2002,ARS,46,12,10,16,15
2002,FUL,43,10,13,15,16
2002,BOLN,42,10,12,16,17
2002,EVE,40,9,13,16,18
2002,SUN,38,8,14,16,19
2002,CHA,37,8,13,17,20
2005,ARS,72,20,12,6,1
2005,CHE,60,17,9,12,2
2005,FUL,57,15,12,11,3
2005,AVL,56,16,8,14,4
2005,BOLN,54,14,12,12,5
2005,EVE,54,12,18,8,6
2005,BLBN,53,12,17,9,7
2005,MANC,53,13,14,11,8
2005,MANU,52,14,10,14,9
2005,TOT,52,13,13,12,10
2005,WHU,52,14,10,14,11
2005,BIR,50,11,17,10,12
2005,POR,50,14,8,16,13
2005,LIVP,47,10,17,11,14
2005,NEW,46,10,16,12,15
2005,SUN,46,11,13,14,16
2005,CHA,44,10,14,14,17
2005,WIG,42,9,15,14,18
2005,MID,36,9,9,20,19
2005,WBA,35,7,14,17,20
2006,EVE,71,19,14,5,1
2006,MID,60,16,12,10,2
2006,CHE,59,14,17,7,3
2006,REA,58,17,7,14,4
2006,MANC,57,15,12,11,5
2006,POR,56,15,11,12,6
2006,SHU,56,15,11,12,7
2006,FUL,55,15,10,13,8
2006,AVL,54,14,12,12,9
2006,ARS,53,14,11,13,10
2006,NEW,53,12,17,9,11
2006,TOT,49,11,16,11,12
2006,LIVP,45,10,15,13,13
2006,BLBN,44,10,14,14,14
2006,WHU,44,10,14,14,15
2006,CHA,43,11,10,17,16
2006,MANU,43,9,16,13,17
