season,team,points,wins,draws,losses,gf,ga,gd,rank,simulated_rank_1,simulated_rank_2,simulated_rank_3,simulated_rank_4,simulated_rank_5,simulated_rank_6,simulated_rank_7,simulated_rank_8,simulated_rank_9,simulated_rank_10
2000,ROM,75,22,9,3,68,33,35,1,4,2,15,2,16,2,15,11,7,15
2000,JUV,73,21,10,3,61,27,34,2,12,9,5,4,6,8,8,14,13,1
2000,LAZ,69,21,6,7,65,36,29,3,15,15,1,10,12,15,18,5,5,10
2000,PAR,56,16,8,10,51,31,20,4,14,11,17,12,7,5,17,16,8,17
2000,INT,51,14,9,11,47,47,0,5,2,16,6,1,1,6,11,9,10,5
2000,MIL,49,12,13,9,56,46,10,6,7,18,7,16,18,4,12,2,14,13
2000,ATA,44,10,14,10,38,34,4,7,13,13,4,15,10,17,6,4,15,8
2000,BRES,44,10,14,10,44,42,2,8,10,6,16,14,14,3,4,8,16,18
2000,FIO,43,10,13,11,53,52,1,9,11,5,3,18,2,1,16,6,11,2
2000,BOLG,43,11,10,13,49,53,-4,10,6,8,13,6,11,13,7,13,17,11
2000,PER,42,10,12,12,49,53,-4,11,18,1,12,5,15,7,1,10,3,14
2000,UDI,38,11,5,18,49,59,-10,12,17,10,18,7,17,18,10,17,9,12
2000,LEC,37,8,13,13,40,54,-14,13,9,17,14,3,3,9,9,15,12,3
2000,REG,37,10,7,17,32,49,-17,14,1,12,9,13,8,11,13,18,18,6
2000,VER,37,10,7,17,40,59,-19,15,5,4,8,8,9,12,14,12,1,16
2000,VIC,36,9,9,16,37,51,-14,16,8,7,11,9,5,14,2,3,4,4
2000,NAP,36,8,12,14,35,51,-16,17,3,14,2,17,4,16,5,7,6,7
2000,BARI,20,5,5,24,31,68,-37,18,16,3,10,11,13,10,3,1,2,9
2001,JUV,71,20,11,3,64,23,41,1,16,4,2,18,1,17,18,3,16,16
2001,ROM,70,19,13,2,58,24,34,2,8,9,5,12,7,8,17,5,12,5
2001,INT,69,20,9,5,62,35,27,3,12,3,8,3,17,13,10,9,14,4
2001,MIL,55,14,13,7,47,33,14,4,3,14,7,2,11,9,4,11,8,13
2001,CHI,54,14,12,8,57,52,5,5,5,12,17,13,14,18,13,1,4,15
2001,LAZ,53,14,11,9,50,37,13,6,6,11,1,15,5,11,12,16,1,12
2001,BOLG,52,15,7,12,40,40,0,7,11,2,16,10,6,15,6,8,11,17
2001,PER,46,13,7,14,38,46,-8,8,13,6,18,4,15,3,11,17,17,6
2001,ATA,45,12,9,13,41,50,-9,9,14,8,13,6,18,10,8,14,3,2
2001,PAR,44,12,8,14,43,47,-4,10,17,5,4,14,12,12,2,18,18,8
2001,TOR,43,10,13,11,37,39,-2,11,9,17,12,7,3,5,3,2,13,9
2001,PIA,42,11,9,14,49,43,6,12,7,16,10,11,9,16,5,6,15,14
2001,BRES,40,9,13,12,43,52,-9,13,1,15,6,9,13,7,7,15,6,11
2001,UDI,40,11,7,16,41,52,-11,14,10,18,11,8,16,4,1,7,10,18
2001,VER,39,11,6,17,41,53,-12,15,2,7,9,16,2,1,14,13,9,10
2001,LEC,28,6,10,18,36,56,-20,16,4,10,15,17,8,2,15,12,7,1
2001,FIO,22,5,7,22,29,63,-34,17,15,1,14,1,10,6,16,10,2,3
2001,VEN,18,3,9,22,30,61,-31,18,18,13,3,5,4,14,9,4,5,7
2002,JUV,72,21,9,4,64,29,35,1,9,9,16,9,1,16,3,13,15,15
2002,INT,65,19,8,7,64,38,26,2,8,11,15,12,5,2,16,10,8,4
2002,MIL,61,18,7,9,55,30,25,3,7,4,18,5,9,11,5,11,9,11
2002,LAZ,60,15,15,4,57,32,25,4,2,6,6,4,2,13,4,1,1,2
2002,PAR,56,15,11,8,55,36,19,5,15,13,7,15,10,6,6,3,13,12
2002,UDI,56,16,8,10,38,35,3,6,18,8,13,18,6,3,12,2,14,10
2002,CHI,55,16,7,11,51,39,12,7,6,14,1,1,14,4,15,12,5,18
2002,ROM,49,13,10,11,55,46,9,8,16,18,10,7,15,14,2,5,7,16
2002,BRES,42,9,15,10,36,38,-2,9,13,3,9,11,17,15,18,18,16,14
2002,PER,42,10,12,12,40,48,-8,10,11,10,3,2,8,8,14,9,11,13
2002,BOLG,41,10,11,13,39,47,-8,11,10,17,8,14,7,5,13,17,17,3
2002,EMP,38,9,11,14,36,46,-10,12,1,5,11,8,12,1,10,14,6,1
2002,ATA,38,8,14,12,35,47,-12,13,12,16,17,3,16,10,17,4,4,5
2002,REG,38,10,8,16,38,53,-15,14,5,2,4,17,3,9,1,8,10,6
2002,MOD,38,9,11,14,30,48,-18,15,14,12,2,10,4,18,7,16,3,17
2002,PIA,30,8,6,20,44,62,-18,16,3,1,5,16,18,7,8,15,18,8
2002,COM,24,4,12,18,29,57,-28,17,4,7,14,6,11,17,11,7,2,9
2002,TOR,21,4,9,21,23,58,-35,18,17,15,12,13,13,12,9,6,12,7
2005,JUV,91,27,10,1,71,24,47,1,2,10,1,3,7,15,7,20,17,1
2005,MIL,88,28,4,6,85,31,54,2,4,16,17,5,17,3,9,12,6,16
2005,INT,76,23,7,8,68,30,38,3,19,2,6,18,5,9,4,11,16,17
2005,FIO,74,22,8,8,66,41,25,4,16,18,9,2,8,1,20,14,15,15
2005,ROM,69,19,12,7,70,42,28,5,17,4,14,6,19,19,13,9,11,9
