season,team,points,wins,draws,losses,rank
2000,LAZ,59,17,8,9,1
2000,BARI,55,14,13,7,2
2000,UDI,53,14,11,9,3
2000,MIL,52,13,13,8,4
2000,ROM,50,12,14,8,5
2000,BRES,46,12,10,12,6
2000,VIC,45,12,9,13,7
2000,BOLG,44,11,11,12,8
2000,LEC,44,11,11,12,9
2000,REG,44,11,11,12,10
2000,FIO,43,10,13,11,11
2000,NAP,43,10,13,11,12
2000,PER,43,11,10,13,13
2000,JUV,42,10,12,12,14
2000,VER,42,9,15,10,15
2000,INT,41,11,8,15,16
2000,PAR,37,9,10,15,17
2000,ATA,35,9,8,17,18
2001,ROM,65,18,11,5,1
2001,VEN,54,15,9,10,2
2001,FIO,52,13,13,8,3
2001,PAR,51,14,9,11,4
2001,LAZ,49,13,10,11,5
2001,TOR,48,13,9,12,6
2001,CHI,46,11,13,10,7
2001,UDI,46,12,10,12,8
2001,BOLG,45,11,12,11,9
2001,PER,45,12,9,13,10
2001,JUV,43,11,10,13,11
2001,ATA,42,11,9,14,12
2001,LEC,42,9,15,10,13
2001,VER,41,8,17,9,14
2001,BRES,39,10,9,15,15
2001,MIL,37,6,19,9,16
2001,PIA,34,6,16,12,17
2001,INT,32,6,14,14,18
2002,BOLG,54,16,6,12,1
2002,UDI,54,15,9,10,2
2002,TOR,51,12,15,7,3
2002,ATA,49,14,7,13,4
2002,COM,48,11,15,8,5
2002,ROM,48,13,9,12,6
2002,LAZ,47,13,8,13,7
2002,JUV,46,12,10,12,8
2002,MIL,46,11,13,10,9
2002,PER,46,11,13,10,10
2002,INT,45,11,12,11,11
2002,BRES,44,9,17,8,12
2002,EMP,44,10,14,10,13
2002,CHI,43,12,7,15,14
2002,PAR,43,10,13,11,15
2002,REG,43,11,10,13,16
2002,MOD,37,8,13,13,17
2002,PIA,28,5,13,16,18
2005,SAM,65,18,11,9,1
2005,CHI,64,17,13,8,2
2005,CAG,57,16,9,13,3
2005,SIE,56,14,14,10,4
2005,LEC,53,13,14,11,5
2005,MES,53,15,8,15,6
2005,UDI,53,15,8,15,7
2005,PAR,52,11,19,8,8
2005,TRE,52,13,13,12,9
2005,ASC,51,12,15,11,10
2005,FIO,49,12,13,13,11
2005,INT,49,11,16,11,12
2005,JUV,49,11,16,11,13
2005,LAZ,48,11,15,12,14
2005,LIVO,48,11,15,12,15
2005,MIL,48,11,15,12,16
2005,EMP,44,10,14,14,17
2005,ROM,44,11,11,16,18
2005,PAL,42,11,9,18,19
2005,REG,34,8,10,20,20
2006,SIE,65,18,11,9,1
2006,LAZ,61,17,10,11,2
2006,INT,59,16,11,11,3
2006,PAL,58,15,13,10,4
2006,ATA,56,14,14,10,5
2006,ASC,55,14,13,11,6
2006,CAG,52,12,16,10,7
2006,MIL,52,13,13,12,8
2006,ROM,52,12,16,10,9
2006,CAT,51,13,12,13,10
2006,PAR,50,13,11,14,11
2006,CHI,47,11,14,13,12
2006,REG,47,12,11,15,13
2006,EMP,46,10,16,12,14
2006,SAM,45,11,12,15,15
2006,LIVO,43,10,13,15,16
2006,MES,43,8,19,11,17
2006,TOR,43,10,13,15,18
2006,UDI,42,10,12,16,19
2006,FIO,40,8,16,14,20
2007,FIO,65,17,14,7,1
2007,PAL,61,16,13,9,2
2007,REG,61,16,13,9,3
2007,NAP,58,14,16,8,4
2007,CAG,56,13,17,8,5
2007,JUV,54,14,12,12,6
2007,PAR,54,13,15,10,7
2007,SAM,54,13,15,10,8
2007,SIE,53,13,14,11,9
2007,CAT,49,10,19,9,10
2007,LIVO,49,12,13,13,11
2007,TOR,49,12,13,13,12
2007,UDI,47,12,11,15,13
2007,MIL,46,12,10,16,14
2007,ROM,44,8,20,10,15
2007,ATA,41,10,11,17,16
2007,LAZ,41,9,14,15,17
2007,GEN,40,10,10,18,18
2007,EMP,39,6,21,11,19
2007,INT,39,10,9,19,20
2008,UDI,61,16,13,9,1
2008,INT,60,16,12,10,2
2008,CHI,58,15,13,10,3
2008,JUV,56,15,11,12,4
2008,TOR,56,12,20,6,5
2008,CAG,54,14,12,12,6
2008,LAZ,54,14,12,12,7
2008,PAL,54,13,15,10,8
2008,ROM,54,11,21,6,9
2008,BOLG,52,12,16,10,10
2008,SAM,52,14,10,14,11
2008,GEN,51,12,15,11,12
2008,CAT,49,12,13,13,13
2008,ATA,48,11,15,12,14
2008,LEC,44,10,14,14,15
2008,MIL,43,11,10,17,16
2008,NAP,42,10,12,16,17
2008,FIO,40,9,13,16,18
2008,SIE,40,10,10,18,19
2008,REG,36,7,15,16,20
2009,NAP,61,17,10,11,1
2009,ROM,58,15,13,10,2
2009,SAM,58,15,13,10,3
2009,UDI,58,15,13,10,4
2009,CAG,57,15,12,11,5
2009,GEN,56,15,11,12,6
2009,LIVO,56,15,11,12,7
2009,PAL,56,14,14,10,8
2009,CHI,53,15,8,15,9
2009,JUV,53,14,11,13,10
2009,MIL,53,14,11,13,11
2009,SIE,53,14,11,13,12
2009,BOLG,51,14,9,15,13
2009,ATA,49,12,13,13,14
2009,BARI,48,12,12,14,15
2009,INT,47,13,8,17,16
2009,FIO,45,12,9,17,17
2009,PAR,41,11,8,19,18
2009,CAT,40,9,13,16,19
2009,LAZ,37,9,10,19,20
2010,BOLG,60,16,12,10,1
2010,MIL,59,16,11,11,2
2010,CAT,58,15,13,10,3
2010,PAR,57,14,15,9,4
2010,BARI,53,14,11,13,5
2010,INT,52,14,10,14,6
2010,JUV,52,13,13,12,7
2010,UDI,52,14,10,14,8
2010,LAZ,51,13,12,13,9
2010,PAL,51,12,15,11,10
2010,BRES,50,12,14,12,11
2010,LEC,50,12,14,12,12
2010,ROM,50,13,11,14,13
2010,FIO,48,11,15,12,14
2010,GEN,48,13,9,16,15
2010,SAM,47,11,14,13,16
2010,CHI,45,10,15,13,17
2010,CAG,44,10,14,14,18
2010,NAP,44,11,11,16,19
2010,CES,43,10,13,15,20
2011,PAL,69,20,9,9,1
2011,CAG,67,20,7,11,2
2011,ATA,61,17,10,11,3
2011,CES,61,16,13,9,4
2011,UDI,56,15,11,12,5
2011,MIL,55,13,16,9,6
2011,CHI,54,14,12,12,7
2011,INT,52,13,13,12,8
2011,LAZ,50,11,17,10,9
2011,NAP,50,11,17,10,10
2011,PAR,50,11,17,10,11
2011,BOLG,49,14,7,17,12
2011,SIE,49,12,13,13,13
2011,JUV,48,11,15,12,14
2011,NOV,47,11,14,13,15
2011,ROM,44,11,11,16,16
2011,CAT,38,8,14,16,17
2011,LEC,37,8,13,17,18
2011,GEN,35,4,23,11,19
2011,FIO,34,6,16,16,20
2012,JUV,71,20,11,7,1
2012,CAT,62,15,17,6,2
2012,CHI,61,15,16,7,3
2012,SAM,58,15,13,10,4
2012,UDI,57,15,12,11,5
2012,CAG,54,15,9,14,6
2012,NAP,53,11,20,7,7
2012,PAR,53,13,14,11,8
2012,SIE,53,15,8,15,9
2012,INT,52,14,10,14,10
2012,MIL,52,15,7,16,11
2012,GEN,48,11,15,12,12
2012,TOR,47,11,14,13,13
2012,FIO,45,10,15,13,14
2012,BOLG,43,10,13,15,15
2012,PAL,43,10,13,15,16
2012,LAZ,42,9,15,14,17
2012,ATA,40,9,13,16,18
2012,PES,39,10,9,19,19
2012,ROM,38,8,14,16,20
2013,ATA,65,16,17,5,1
2013,FIO,62,17,11,10,2
2013,MIL,59,16,11,11,3
2013,UDI,59,16,11,11,4
2013,SAM,58,16,10,12,5
2013,JUV,57,16,9,13,6
2013,LIVO,53,15,8,15,7
2013,NAP,53,15,8,15,8
2013,VER,52,15,7,16,9
2013,LAZ,51,12,15,11,10
2013,TOR,51,12,15,11,11
2013,GEN,50,13,11,14,12
2013,INT,50,14,8,16,13
2013,PAR,48,11,15,12,14
2013,ROM,47,10,17,11,15
2013,CHI,45,12,9,17,16
2013,CAG,44,10,14,14,17
2013,BOLG,43,11,10,17,18
2013,CAT,41,10,11,17,19
2013,SAS,36,7,15,16,20
2014,PAR,67,19,10,9,1
2014,MIL,64,17,13,8,2
2014,SAM,57,15,12,11,3
2014,FIO,54,13,15,10,4
2014,ROM,54,13,15,10,5
2014,VER,53,14,11,13,6
2014,INT,52,13,13,12,7
2014,CAG,51,12,15,11,8
2014,NAP,51,13,12,13,9
2014,SAS,50,11,17,10,10
2014,JUV,48,10,18,10,11
2014,TOR,47,11,14,13,12
2014,CHI,46,9,19,10,13
2014,UDI,46,11,13,14,14
2014,CES,45,9,18,11,15
2014,LAZ,44,9,17,12,16
2014,PAL,44,11,11,16,17
2014,EMP,43,8,19,11,18
2014,GEN,39,7,18,13,19
2014,ATA,38,8,14,16,20
2015,ROM,61,17,10,11,1
2015,GEN,60,15,15,8,2
2015,ATA,59,15,14,9,3
2015,NAP,58,16,10,12,4
2015,UDI,58,16,10,12,5
2015,FRO,56,15,11,12,6
2015,INT,56,15,11,12,7
2015,VER,56,15,11,12,8
2015,BOLG,55,14,13,11,9
2015,LAZ,54,15,9,14,10
2015,EMP,52,14,10,14,11
2015,TOR,51,13,12,13,12
2015,PAL,49,13,10,15,13
2015,FIO,45,12,9,17,14
2015,MIL,45,11,12,15,15
2015,SAM,45,12,9,17,16
2015,JUV,43,11,10,17,17
2015,CARP,42,8,18,12,18
2015,CHI,42,11,9,18,19
2015,SAS,39,8,15,15,20
2016,CRO,64,18,10,10,1
2016,NAP,63,17,12,9,2
2016,CHI,62,17,11,10,3
2016,UDI,61,16,13,9,4
2016,BOLG,59,17,8,13,5
2016,SAS,57,15,12,11,6
2016,JUV,56,16,8,14,7
2016,PAL,55,14,13,11,8
2016,CAG,52,14,10,14,9
2016,INT,50,13,11,14,10
2016,SAM,50,12,14,12,11
2016,EMP,49,12,13,13,12
2016,GEN,49,12,13,13,13
2016,TOR,48,11,15,12,14
2016,MIL,47,12,11,15,15
2016,FIO,45,12,9,17,16
2016,ROM,42,9,15,14,17
2016,LAZ,40,10,10,18,18
2016,PES,39,11,6,21,19
2016,ATA,38,8,14,16,20
2017,CRO,79,23,10,5,1
2017,INT,62,16,14,8,2
2017,SPA,60,17,9,12,3
2017,MIL,58,16,10,12,4
2017,TOR,57,15,12,11,5
2017,UDI,56,16,8,14,6
2017,LAZ,54,13,15,10,7
2017,ROM,54,13,15,10,8
2017,VER,54,13,15,10,9
2017,CAG,53,13,14,11,10
2017,NAP,52,14,10,14,11
2017,GEN,51,13,12,13,12
2017,SAS,48,12,12,14,13
2017,BEN,45,13,6,19,14
2017,SAM,45,10,15,13,15
2017,ATA,43,11,10,17,16
2017,BOLG,43,11,10,17,17
2017,JUV,41,9,14,15,18
2017,CHI,32,5,17,16,19
2017,FIO,32,6,14,18,20
2018,MIL,65,18,11,9,1
2018,FIO,57,15,12,11,2
2018,CAG,56,14,14,10,3
2018,FRO,56,14,14,10,4
2018,SAS,56,14,14,10,5
2018,LAZ,55,14,13,11,6
2018,SPA,55,15,10,13,7
2018,EMP,52,12,16,10,8
2018,ROM,52,12,16,10,9
2018,TOR,52,13,13,12,10
2018,INT,51,12,15,11,11
2018,SAM,50,13,11,14,12
2018,GEN,48,12,12,14,13
2018,JUV,47,11,14,13,14
2018,BOLG,45,11,12,15,15
2018,NAP,45,10,15,13,16
2018,PAR,44,10,14,14,17
2018,CHI,41,9,14,15,18
2018,UDI,41,8,17,13,19
2018,ATA,38,9,11,18,20
2019,CAG,74,20,14,4,1
2019,LAZ,62,18,8,12,2
2019,BOLG,58,16,10,12,3
2019,LEC,58,14,16,8,4
2019,VER,58,15,13,10,5
2019,FIO,57,14,15,9,6
2019,GEN,57,15,12,11,7
2019,ATA,53,13,14,11,8
2019,INT,53,14,11,13,9
2019,SPA,52,13,13,12,10
2019,PAR,47,11,14,13,11
2019,BRES,46,9,19,10,12
2019,NAP,45,12,9,17,13
2019,ROM,45,10,15,13,14
2019,SAM,43,11,10,17,15
2019,JUV,42,9,15,14,16
2019,SAS,41,9,14,15,17
2019,UDI,41,10,11,17,18
2019,TOR,39,7,18,13,19
2019,MIL,37,8,13,17,20
2020,MIL,69,19,12,7,1
2020,FIO,65,17,14,7,2
2020,CRO,60,16,12,10,3
2020,CAG,59,16,11,11,4
2020,VER,59,18,5,15,5
2020,SPE,58,13,19,6,6
2020,NAP,57,15,12,11,7
2020,SAM,55,16,7,15,8
2020,JUV,53,13,14,11,9
2020,ROM,52,14,10,14,10
2020,GEN,50,12,14,12,11
2020,UDI,50,14,8,16,12
2020,BEN,48,13,9,16,13
2020,LAZ,48,12,12,14,14
2020,BOLG,47,12,11,15,15
2020,INT,43,10,13,15,16
2020,SAS,42,10,12,16,17
2020,TOR,39,7,18,13,18
2020,ATA,35,7,14,17,19
2020,PAR,34,9,7,22,20
2021,NAP,71,20,11,7,1
2021,EMP,61,16,13,9,2
2021,SAM,60,17,9,12,3
2021,SPE,57,14,15,9,4
2021,UDI,57,15,12,11,5
2021,LAZ,56,13,17,8,6
2021,BOLG,55,14,13,11,7
2021,MIL,55,14,13,11,8
2021,SAS,54,15,9,14,9
2021,INT,51,14,9,15,10
2021,JUV,49,11,16,11,11
2021,GEN,47,12,11,15,12
2021,CAG,46,9,19,10,13
2021,ROM,46,10,16,12,14
2021,SAL,46,12,10,16,15
2021,TOR,43,10,13,15,16
2021,VEN,41,8,17,13,17
2021,ATA,40,9,13,16,18
2021,FIO,39,8,15,15,19
2021,VER,32,5,17,16,20
2022,SAM,62,16,14,8,1
2022,UDI,62,17,11,10,2
2022,JUV,61,16,13,9,3
2022,FIO,58,15,13,10,4
2022,TOR,57,15,12,11,5
2022,VER,57,14,15,9,6
2022,NAP,56,14,14,10,7
2022,INT,54,14,12,12,8
2022,LEC,54,15,9,14,9
2022,SAS,51,12,15,11,10
2022,SPE,50,13,11,14,11
2022,EMP,48,13,9,16,12
2022,BOLG,47,12,11,15,13
2022,CRE,47,12,11,15,14
2022,MIL,47,11,14,13,15
2022,MON,46,11,13,14,16
2022,SAL,45,11,12,15,17
2022,ATA,42,11,9,18,18
2022,LAZ,38,7,17,14,19
2022,ROM,35,8,11,19,20
2023,TOR,68,19,11,8,1
2023,JUV,64,17,13,8,2
2023,LAZ,58,16,10,12,3
2023,MON,58,16,10,12,4
2023,NAP,57,15,12,11,5
2023,FIO,55,14,13,11,6
2023,INT,53,14,11,13,7
2023,ROM,53,15,8,15,8
2023,EMP,49,10,19,9,9
