league,season,date,home_team,away_team,actual_home_team_result,skilled_league_home_team_result
Premier League,2001,2001-08-18,CHA,EVE,-1,1
Premier League,2001,2001-08-18,DER,BLBN,1,-1
Premier League,2001,2001-08-18,LEE,SOU,1,1
Premier League,2001,2001-08-18,LEIC,BOLN,-1,-1
Premier League,2001,2001-08-18,LIVP,WHU,1,1
Premier League,2001,2001-08-18,MID,ARS,-1,-1
Premier League,2001,2001-08-18,SUN,IPS,1,1
Premier League,2001,2001-08-18,TOT,AVL,0,-1
Premier League,2001,2001-08-19,CHE,NEW,0,-1
Premier League,2001,2001-08-19,MANU,FUL,1,1
Premier League,2001,2001-08-20,EVE,TOT,0,-1
Premier League,2001,2001-08-21,ARS,LEE,-1,1
Premier League,2001,2001-08-21,BOLN,MID,1,-1
Premier League,2001,2001-08-21,IPS,DER,1,1
Premier League,2001,2001-08-22,BLBN,MANU,0,-1
Premier League,2001,2001-08-22,FUL,SUN,1,1
Premier League,2001,2001-08-25,ARS,LEIC,1,1
Premier League,2001,2001-08-25,BLBN,TOT,1,-1
Premier League,2001,2001-08-25,EVE,MID,1,-1
Premier League,2001,2001-08-25,FUL,DER,0,1
Premier League,2001,2001-08-25,IPS,CHA,-1,-1
Premier League,2001,2001-08-25,SOU,CHE,-1,-1
Premier League,2001,2001-08-25,WHU,LEE,0,-1
Premier League,2001,2001-08-26,AVL,MANU,0,-1
Premier League,2001,2001-08-26,NEW,SUN,0,1
Premier League,2001,2001-08-27,BOLN,LIVP,1,-1
Premier League,2001,2001-09-08,CHE,ARS,0,-1
Premier League,2001,2001-09-08,DER,WHU,0,-1
Premier League,2001,2001-09-08,LEE,BOLN,0,1
Premier League,2001,2001-09-08,LEIC,IPS,0,-1
Premier League,2001,2001-09-08,LIVP,AVL,-1,1
Premier League,2001,2001-09-08,MANU,EVE,1,1
Premier League,2001,2001-09-08,MID,NEW,-1,-1
Premier League,2001,2001-09-08,SUN,BLBN,1,-1
Premier League,2001,2001-09-09,CHA,FUL,0,-1
Premier League,2001,2001-09-09,TOT,SOU,1,1
Premier League,2001,2001-09-15,BOLN,SOU,-1,-1
Premier League,2001,2001-09-15,DER,LEIC,-1,1
Premier League,2001,2001-09-15,EVE,LIVP,-1,-1
Premier League,2001,2001-09-15,FUL,ARS,-1,-1
Premier League,2001,2001-09-15,MID,WHU,1,-1
Premier League,2001,2001-09-15,NEW,MANU,1,-1
Premier League,2001,2001-09-16,AVL,SUN,0,1
Premier League,2001,2001-09-16,CHA,LEE,-1,-1
Premier League,2001,2001-09-16,IPS,BLBN,0,-1
Premier League,2001,2001-09-16,TOT,CHE,-1,-1
Premier League,2001,2001-09-17,LEIC,MID,-1,-1
Premier League,2001,2001-09-19,BLBN,BOLN,0,1
Premier League,2001,2001-09-19,SUN,TOT,-1,-1
Premier League,2001,2001-09-22,ARS,BOLN,0,1
Premier League,2001,2001-09-22,BLBN,EVE,1,1
Premier League,2001,2001-09-22,LEIC,FUL,0,-1
Premier League,2001,2001-09-22,LIVP,TOT,1,1
Premier League,2001,2001-09-22,MANU,IPS,1,1
Premier League,2001,2001-09-22,SUN,CHA,0,-1
Premier League,2001,2001-09-23,CHE,MID,0,1
Premier League,2001,2001-09-23,LEE,DER,1,1
Premier League,2001,2001-09-23,WHU,NEW,1,-1
Premier League,2001,2001-09-24,SOU,AVL,-1,-1
Premier League,2001,2001-09-26,NEW,LEIC,1,1
Premier League,2001,2001-09-29,BOLN,SUN,-1,1
Premier League,2001,2001-09-29,CHA,LEIC,1,1
Premier League,2001,2001-09-29,DER,ARS,-1,-1
Premier League,2001,2001-09-29,EVE,WHU,1,-1
Premier League,2001,2001-09-29,MID,SOU,-1,-1
Premier League,2001,2001-09-29,TOT,MANU,-1,-1
