league,season,date,home_team,away_team,actual_home_team_result,skilled_league_home_team_result
Bundesliga,2004,2004-08-06,WERB,SCH,1,-1
Bundesliga,2004,2004-08-07,DOR,WOB,-1,1
Bundesliga,2004,2004-08-07,FRE,HANR,0,-1
Bundesliga,2004,2004-08-07,HAM,BAY,-1,-1
Bundesliga,2004,2004-08-07,HERT,BOC,0,1
Bundesliga,2004,2004-08-07,KAI,NUR,-1,1
Bundesliga,2004,2004-08-07,LEVK,HAN,1,1
Bundesliga,2004,2004-08-08,BIE,M'G,0,1
Bundesliga,2004,2004-08-08,STU,MAI,1,1
Bundesliga,2004,2004-08-14,BAY,HERT,0,1
Bundesliga,2004,2004-08-14,HANR,WERB,-1,-1
Bundesliga,2004,2004-08-14,M'G,DOR,-1,-1
Bundesliga,2004,2004-08-14,MAI,HAM,1,-1
Bundesliga,2004,2004-08-14,NUR,STU,0,-1
Bundesliga,2004,2004-08-14,SCH,KAI,1,1
Bundesliga,2004,2004-08-15,BOC,LEVK,0,-1
Bundesliga,2004,2004-08-15,WOB,FRE,-1,1
Bundesliga,2004,2004-08-28,BIE,BOC,-1,1
Bundesliga,2004,2004-08-28,FRE,M'G,0,-1
Bundesliga,2004,2004-08-28,HAM,NUR,1,1
Bundesliga,2004,2004-08-28,HERT,MAI,0,1
Bundesliga,2004,2004-08-28,KAI,STU,-1,-1
Bundesliga,2004,2004-08-28,LEVK,BAY,1,-1
Bundesliga,2004,2004-08-28,SCH,HANR,-1,1
Bundesliga,2004,2004-08-29,DOR,HAN,0,1
Bundesliga,2004,2004-08-29,WERB,WOB,-1,1
Bundesliga,2004,2004-09-11,BAY,BIE,1,1
Bundesliga,2004,2004-09-11,BOC,DOR,0,-1
Bundesliga,2004,2004-09-11,M'G,WERB,1,-1
Bundesliga,2004,2004-09-11,MAI,LEVK,1,-1
Bundesliga,2004,2004-09-11,NUR,HERT,0,-1
Bundesliga,2004,2004-09-11,STU,HAM,1,1
Bundesliga,2004,2004-09-11,WOB,SCH,1,-1
Bundesliga,2004,2004-09-12,HAN,FRE,0,1
Bundesliga,2004,2004-09-12,HANR,KAI,-1,-1
Bundesliga,2004,2004-09-18,BIE,MAI,0,-1
Bundesliga,2004,2004-09-18,DOR,BAY,0,-1
Bundesliga,2004,2004-09-18,HANR,WOB,-1,-1
Bundesliga,2004,2004-09-18,KAI,HAM,1,-1
Bundesliga,2004,2004-09-18,LEVK,NUR,0,1
Bundesliga,2004,2004-09-18,SCH,M'G,1,1
Bundesliga,2004,2004-09-18,WERB,HAN,1,1
Bundesliga,2004,2004-09-19,FRE,BOC,0,-1
Bundesliga,2004,2004-09-19,HERT,STU,0,1
Bundesliga,2004,2004-09-25,BAY,FRE,1,1
Bundesliga,2004,2004-09-25,BOC,WERB,-1,-1
Bundesliga,2004,2004-09-25,HAN,SCH,1,-1
Bundesliga,2004,2004-09-25,M'G,HANR,0,1
Bundesliga,2004,2004-09-25,NUR,BIE,-1,-1
Bundesliga,2004,2004-09-25,STU,LEVK,1,1
Bundesliga,2004,2004-09-25,WOB,KAI,1,1
Bundesliga,2004,2004-09-26,HAM,HERT,1,-1
Bundesliga,2004,2004-09-26,MAI,DOR,0,-1
Bundesliga,2004,2004-09-28,HAN,BIE,-1,1
Bundesliga,2004,2004-10-02,DOR,NUR,0,1
Bundesliga,2004,2004-10-02,FRE,MAI,-1,-1
Bundesliga,2004,2004-10-02,HANR,HAN,-1,-1
Bundesliga,2004,2004-10-02,KAI,HERT,-1,-1
Bundesliga,2004,2004-10-02,LEVK,HAM,1,1
Bundesliga,2004,2004-10-02,WERB,BAY,-1,-1
Bundesliga,2004,2004-10-02,WOB,M'G,1,1
Bundesliga,2004,2004-10-03,BIE,STU,-1,-1
Bundesliga,2004,2004-10-03,SCH,BOC,1,1
Bundesliga,2004,2004-10-16,BAY,SCH,-1,1
Bundesliga,2004,2004-10-16,BOC,HANR,-1,1
Bundesliga,2004,2004-10-16,HAM,BIE,-1,1
Bundesliga,2004,2004-10-16,HERT,LEVK,1,1
Bundesliga,2004,2004-10-16,MAI,WERB,1,-1
Bundesliga,2004,2004-10-16,NUR,FRE,1,1
Bundesliga,2004,2004-10-16,STU,DOR,1,1
Bundesliga,2004,2004-10-17,HAN,WOB,1,-1
Bundesliga,2004,2004-10-17,M'G,KAI,1,-1
Bundesliga,2004,2004-10-23,BIE,HERT,1,-1
Bundesliga,2004,2004-10-23,DOR,HAM,-1,1
Bundesliga,2004,2004-10-23,HANR,BAY,-1,-1
Bundesliga,2004,2004-10-23,KAI,LEVK,0,-1
Bundesliga,2004,2004-10-23,M'G,HAN,-1,-1
Bundesliga,2004,2004-10-23,WERB,NUR,1,1
Bundesliga,2004,2004-10-23,WOB,BOC,1,1
Bundesliga,2004,2004-10-24,FRE,STU,1,-1
Bundesliga,2004,2004-10-24,SCH,MAI,1,1
Bundesliga,2004,2004-10-26,BAY,WOB,1,1
Bundesliga,2004,2004-10-26,BOC,M'G,1,-1
Bundesliga,2004,2004-10-26,HAN,KAI,1,1
Bundesliga,2004,2004-10-26,HERT,DOR,-1,1
Bundesliga,2004,2004-10-27,HAM,FRE,1,1
Bundesliga,2004,2004-10-27,LEVK,BIE,1,1
Bundesliga,2004,2004-10-27,MAI,HANR,1,1
Bundesliga,2004,2004-10-27,NUR,SCH,-1,-1
Bundesliga,2004,2004-10-27,STU,WERB,-1,-1
Bundesliga,2004,2004-10-30,DOR,LEVK,1,-1
Bundesliga,2004,2004-10-30,FRE,HERT,-1,-1
Bundesliga,2004,2004-10-30,HAN,BOC,1,1
Bundesliga,2004,2004-10-30,M'G,BAY,1,-1
Bundesliga,2004,2004-10-30,SCH,STU,1,1
Bundesliga,2004,2004-10-30,WERB,HAM,0,1
Bundesliga,2004,2004-10-30,WOB,MAI,1,1
Bundesliga,2004,2004-10-31,HANR,NUR,-1,-1
Bundesliga,2004,2004-10-31,KAI,BIE,1,1
Bundesliga,2004,2004-11-06,BAY,HAN,1,1
Bundesliga,2004,2004-11-06,BIE,DOR,1,-1
Bundesliga,2004,2004-11-06,BOC,KAI,0,-1
Bundesliga,2004,2004-11-06,HERT,WERB,0,-1
Bundesliga,2004,2004-11-06,LEVK,FRE,1,1
Bundesliga,2004,2004-11-06,MAI,M'G,0,1
Bundesliga,2004,2004-11-06,NUR,WOB,1,-1
Bundesliga,2004,2004-11-07,HAM,SCH,-1,-1
Bundesliga,2004,2004-11-07,STU,HANR,1,1
Bundesliga,2004,2004-11-13,FRE,BIE,-1,-1
Bundesliga,2004,2004-11-13,HAN,MAI,1,1
Bundesliga,2004,2004-11-13,KAI,DOR,1,-1
Bundesliga,2004,2004-11-13,M'G,NUR,1,-1
Bundesliga,2004,2004-11-13,SCH,HERT,-1,1
Bundesliga,2004,2004-11-13,WERB,LEVK,0,1
Bundesliga,2004,2004-11-13,WOB,STU,1,-1
Bundesliga,2004,2004-11-14,BOC,BAY,-1,-1
Bundesliga,2004,2004-11-14,HANR,HAM,-1,-1
Bundesliga,2004,2004-11-20,BAY,KAI,1,1
Bundesliga,2004,2004-11-20,BIE,WERB,1,-1
Bundesliga,2004,2004-11-20,DOR,FRE,1,1
Bundesliga,2004,2004-11-20,HERT,HANR,0,1
Bundesliga,2004,2004-11-20,LEVK,SCH,-1,-1
Bundesliga,2004,2004-11-20,MAI,BOC,1,1
Bundesliga,2004,2004-11-20,STU,M'G,1,1
Bundesliga,2004,2004-11-21,HAM,WOB,1,1
Bundesliga,2004,2004-11-21,NUR,HAN,0,-1
Bundesliga,2004,2004-11-27,BAY,MAI,1,1
Bundesliga,2004,2004-11-27,BOC,NUR,1,-1
Bundesliga,2004,2004-11-27,HANR,LEVK,-1,-1
Bundesliga,2004,2004-11-27,KAI,FRE,1,1
Bundesliga,2004,2004-11-27,M'G,HAM,-1,-1
Bundesliga,2004,2004-11-27,WERB,DOR,1,1
Bundesliga,2004,2004-11-27,WOB,HERT,-1,-1
Bundesliga,2004,2004-11-28,HAN,STU,0,-1
Bundesliga,2004,2004-11-28,SCH,BIE,1,1
Bundesliga,2004,2004-12-04,BIE,HANR,0,1
Bundesliga,2004,2004-12-04,FRE,WERB,-1,-1
Bundesliga,2004,2004-12-04,HAM,HAN,-1,1
Bundesliga,2004,2004-12-04,HERT,M'G,1,1
Bundesliga,2004,2004-12-04,LEVK,WOB,1,1
Bundesliga,2004,2004-12-04,NUR,BAY,0,-1
Bundesliga,2004,2004-12-04,STU,BOC,1,1
Bundesliga,2004,2004-12-05,DOR,SCH,-1,-1
Bundesliga,2004,2004-12-05,KAI,MAI,1,-1
Bundesliga,2004,2004-12-11,BAY,STU,0,1
Bundesliga,2004,2004-12-11,BOC,HAM,-1,-1
Bundesliga,2004,2004-12-11,HAN,HERT,-1,-1
Bundesliga,2004,2004-12-11,HANR,DOR,0,-1
Bundesliga,2004,2004-12-11,MAI,NUR,-1,1
Bundesliga,2004,2004-12-11,SCH,FRE,0,1
Bundesliga,2004,2004-12-11,WERB,KAI,0,1
Bundesliga,2004,2004-12-12,M'G,LEVK,0,-1
Bundesliga,2004,2004-12-12,WOB,BIE,1,1
Bundesliga,2004,2005-01-21,BAY,HAM,1,1
Bundesliga,2004,2005-01-22,HANR,FRE,0,1
Bundesliga,2004,2005-01-22,M'G,BIE,1,-1
Bundesliga,2004,2005-01-22,MAI,STU,-1,-1
Bundesliga,2004,2005-01-22,NUR,KAI,-1,-1
Bundesliga,2004,2005-01-22,SCH,WERB,1,1
Bundesliga,2004,2005-01-22,WOB,DOR,-1,-1
Bundesliga,2004,2005-01-23,BOC,HERT,0,-1
Bundesliga,2004,2005-01-23,HAN,LEVK,-1,-1
Bundesliga,2004,2005-01-29,BIE,HAN,-1,-1
Bundesliga,2004,2005-01-29,DOR,M'G,0,1
Bundesliga,2004,2005-01-29,FRE,WOB,1,-1
Bundesliga,2004,2005-01-29,HAM,MAI,1,1
Bundesliga,2004,2005-01-29,KAI,SCH,1,-1
Bundesliga,2004,2005-01-29,LEVK,BOC,1,1
Bundesliga,2004,2005-01-29,STU,NUR,-1,1
Bundesliga,2004,2005-01-30,HERT,BAY,0,-1
Bundesliga,2004,2005-01-30,WERB,HANR,1,1
Bundesliga,2004,2005-02-05,BAY,LEVK,1,1
Bundesliga,2004,2005-02-05,BOC,BIE,0,-1
Bundesliga,2004,2005-02-05,HAN,DOR,-1,-1
Bundesliga,2004,2005-02-05,HANR,SCH,0,-1
Bundesliga,2004,2005-02-05,MAI,HERT,-1,-1
Bundesliga,2004,2005-02-05,NUR,HAM,-1,-1
Bundesliga,2004,2005-02-05,STU,KAI,0,1
Bundesliga,2004,2005-02-06,M'G,FRE,1,1
Bundesliga,2004,2005-02-06,WOB,WERB,-1,-1
Bundesliga,2004,2005-02-12,DOR,BOC,1,1
Bundesliga,2004,2005-02-12,FRE,HAN,0,-1
Bundesliga,2004,2005-02-12,HAM,STU,1,-1
Bundesliga,2004,2005-02-12,HERT,NUR,1,1
Bundesliga,2004,2005-02-12,KAI,HANR,1,1
Bundesliga,2004,2005-02-12,SCH,WOB,1,1
Bundesliga,2004,2005-02-12,WERB,M'G,1,1
Bundesliga,2004,2005-02-13,BIE,BAY,1,-1
Bundesliga,2004,2005-02-13,LEVK,MAI,1,1
Bundesliga,2004,2005-02-19,BAY,DOR,1,1
Bundesliga,2004,2005-02-19,BOC,FRE,1,1
Bundesliga,2004,2005-02-19,HAM,KAI,1,1
Bundesliga,2004,2005-02-19,HAN,WERB,-1,-1
Bundesliga,2004,2005-02-19,MAI,BIE,0,1
Bundesliga,2004,2005-02-19,NUR,LEVK,-1,-1
Bundesliga,2004,2005-02-19,WOB,HANR,1,1
Bundesliga,2004,2005-02-20,M'G,SCH,-1,-1
Bundesliga,2004,2005-02-20,STU,HERT,1,-1
Bundesliga,2004,2005-02-26,BIE,NUR,1,1
Bundesliga,2004,2005-02-26,DOR,MAI,1,1
Bundesliga,2004,2005-02-26,FRE,BAY,-1,-1
Bundesliga,2004,2005-02-26,HANR,M'G,0,-1
Bundesliga,2004,2005-02-26,HERT,HAM,1,1
Bundesliga,2004,2005-02-26,KAI,WOB,0,-1
Bundesliga,2004,2005-02-26,WERB,BOC,1,1
Bundesliga,2004,2005-02-27,LEVK,STU,0,-1
Bundesliga,2004,2005-02-27,SCH,HAN,1,1
Bundesliga,2004,2005-03-05,BAY,WERB,1,1
Bundesliga,2004,2005-03-05,BOC,SCH,-1,-1
Bundesliga,2004,2005-03-05,HAM,LEVK,1,-1
Bundesliga,2004,2005-03-05,HAN,HANR,-1,1
Bundesliga,2004,2005-03-05,M'G,WOB,1,-1
Bundesliga,2004,2005-03-05,MAI,FRE,1,1
Bundesliga,2004,2005-03-05,STU,BIE,1,1
Bundesliga,2004,2005-03-06,HERT,KAI,0,1
Bundesliga,2004,2005-03-06,NUR,DOR,0,-1
Bundesliga,2004,2005-03-12,BIE,HAM,-1,-1
Bundesliga,2004,2005-03-12,FRE,NUR,-1,-1
Bundesliga,2004,2005-03-12,HANR,BOC,1,-1
Bundesliga,2004,2005-03-12,KAI,M'G,1,1
Bundesliga,2004,2005-03-12,LEVK,HERT,0,-1
Bundesliga,2004,2005-03-12,WERB,MAI,0,1
Bundesliga,2004,2005-03-12,WOB,HAN,1,1
Bundesliga,2004,2005-03-13,DOR,STU,-1,-1
Bundesliga,2004,2005-03-13,SCH,BAY,1,-1
Bundesliga,2004,2005-03-19,BAY,HANR,1,1
Bundesliga,2004,2005-03-19,BOC,WOB,1,-1
Bundesliga,2004,2005-03-19,HAM,DOR,-1,-1
Bundesliga,2004,2005-03-19,HAN,M'G,1,1
Bundesliga,2004,2005-03-19,HERT,BIE,1,1
Bundesliga,2004,2005-03-19,LEVK,KAI,1,1
Bundesliga,2004,2005-03-19,NUR,WERB,-1,-1
Bundesliga,2004,2005-03-20,MAI,SCH,1,-1
Bundesliga,2004,2005-03-20,STU,FRE,1,1
Bundesliga,2004,2005-04-02,BIE,LEVK,1,-1
Bundesliga,2004,2005-04-02,FRE,HAM,0,-1
Bundesliga,2004,2005-04-02,HANR,MAI,1,-1
Bundesliga,2004,2005-04-02,KAI,HAN,-1,-1
Bundesliga,2004,2005-04-02,SCH,NUR,1,1
Bundesliga,2004,2005-04-02,WERB,STU,-1,1
Bundesliga,2004,2005-04-02,WOB,BAY,-1,-1
Bundesliga,2004,2005-04-03,DOR,HERT,1,-1
Bundesliga,2004,2005-04-03,M'G,BOC,0,1
Bundesliga,2004,2005-04-09,BAY,M'G,1,1
Bundesliga,2004,2005-04-09,BOC,HAN,1,-1
Bundesliga,2004,2005-04-09,HAM,WERB,-1,-1
Bundesliga,2004,2005-04-09,HERT,FRE,1,1
Bundesliga,2004,2005-04-09,LEVK,DOR,-1,1
Bundesliga,2004,2005-04-09,MAI,WOB,-1,-1
Bundesliga,2004,2005-04-09,STU,SCH,1,-1
Bundesliga,2004,2005-04-10,BIE,KAI,-1,-1
Bundesliga,2004,2005-04-10,NUR,HANR,1,1
Bundesliga,2004,2005-04-16,DOR,BIE,0,1
Bundesliga,2004,2005-04-16,FRE,LEVK,-1,-1
Bundesliga,2004,2005-04-16,HAN,BAY,-1,-1
Bundesliga,2004,2005-04-16,HANR,STU,1,-1
Bundesliga,2004,2005-04-16,M'G,MAI,0,-1
Bundesliga,2004,2005-04-16,SCH,HAM,-1,1
Bundesliga,2004,2005-04-16,WERB,HERT,-1,1
Bundesliga,2004,2005-04-17,KAI,BOC,-1,1
Bundesliga,2004,2005-04-17,WOB,NUR,-1,1
Bundesliga,2004,2005-04-23,BAY,BOC,1,1
Bundesliga,2004,2005-04-23,BIE,FRE,1,1
Bundesliga,2004,2005-04-23,DOR,KAI,1,1
Bundesliga,2004,2005-04-23,HAM,HANR,1,1
Bundesliga,2004,2005-04-23,HERT,SCH,1,-1
Bundesliga,2004,2005-04-23,MAI,HAN,1,-1
Bundesliga,2004,2005-04-23,STU,WOB,0,1
Bundesliga,2004,2005-04-24,LEVK,WERB,1,-1
Bundesliga,2004,2005-04-24,NUR,M'G,0,1
Bundesliga,2004,2005-04-30,BOC,MAI,-1,-1
Bundesliga,2004,2005-04-30,FRE,DOR,0,-1
Bundesliga,2004,2005-04-30,HANR,HERT,1,-1
Bundesliga,2004,2005-04-30,KAI,BAY,-1,-1
Bundesliga,2004,2005-04-30,M'G,STU,1,-1
Bundesliga,2004,2005-04-30,SCH,LEVK,0,1
Bundesliga,2004,2005-04-30,WERB,BIE,1,1
Bundesliga,2004,2005-05-01,HAN,NUR,1,1
Bundesliga,2004,2005-05-01,WOB,HAM,1,-1
Bundesliga,2004,2005-05-07,BIE,SCH,-1,-1
Bundesliga,2004,2005-05-07,FRE,KAI,-1,-1
Bundesliga,2004,2005-05-07,HERT,WOB,1,1
Bundesliga,2004,2005-05-07,LEVK,HANR,1,1
Bundesliga,2004,2005-05-07,MAI,BAY,-1,-1
Bundesliga,2004,2005-05-07,NUR,BOC,1,1
Bundesliga,2004,2005-05-07,STU,HAN,1,1
Bundesliga,2004,2005-05-08,DOR,WERB,1,-1
Bundesliga,2004,2005-05-08,HAM,M'G,0,1
Bundesliga,2004,2005-05-14,BAY,NUR,1,1
Bundesliga,2004,2005-05-14,BOC,STU,1,-1
Bundesliga,2004,2005-05-14,HAN,HAM,1,-1
Bundesliga,2004,2005-05-14,HANR,BIE,0,-1
Bundesliga,2004,2005-05-14,M'G,HERT,0,-1
Bundesliga,2004,2005-05-14,MAI,KAI,1,1
Bundesliga,2004,2005-05-14,SCH,DOR,-1,1
Bundesliga,2004,2005-05-14,WERB,FRE,1,1
Bundesliga,2004,2005-05-14,WOB,LEVK,0,-1
Bundesliga,2004,2005-05-21,BIE,WOB,-1,-1
Bundesliga,2004,2005-05-21,DOR,HANR,1,1
Bundesliga,2004,2005-05-21,FRE,SCH,-1,-1
Bundesliga,2004,2005-05-21,HAM,BOC,-1,1
Bundesliga,2004,2005-05-21,HERT,HAN,0,1
Bundesliga,2004,2005-05-21,KAI,WERB,-1,-1
Bundesliga,2004,2005-05-21,LEVK,M'G,1,1
Bundesliga,2004,2005-05-21,NUR,MAI,-1,-1
Bundesliga,2004,2005-05-21,STU,BAY,-1,-1
Bundesliga,2005,2005-08-05,BAY,M'G,1,1
Bundesliga,2005,2005-08-06,DUI,STU,0,-1
Bundesliga,2005,2005-08-06,HAM,NUR,1,1
Bundesliga,2005,2005-08-06,HAN,HERT,0,-1
Bundesliga,2005,2005-08-06,KOL,MAI,1,-1
Bundesliga,2005,2005-08-06,WERB,BIE,1,1
Bundesliga,2005,2005-08-06,WOB,DOR,0,-1
Bundesliga,2005,2005-08-07,EINF,LEVK,-1,-1
Bundesliga,2005,2005-08-07,SCH,KAI,1,1
Bundesliga,2005,2005-08-13,BIE,HAM,-1,-1
Bundesliga,2005,2005-08-13,DOR,SCH,-1,-1
Bundesliga,2005,2005-08-13,HERT,EINF,1,1
Bundesliga,2005,2005-08-13,KAI,DUI,1,1
Bundesliga,2005,2005-08-13,LEVK,BAY,-1,-1
Bundesliga,2005,2005-08-13,M'G,WOB,0,1
Bundesliga,2005,2005-08-13,NUR,HAN,0,1
Bundesliga,2005,2005-08-14,MAI,WERB,-1,-1
Bundesliga,2005,2005-08-14,STU,KOL,-1,1
Bundesliga,2005,2005-08-27,BAY,HERT,1,1
Bundesliga,2005,2005-08-27,EINF,NUR,1,-1
Bundesliga,2005,2005-08-27,HAM,HAN,0,1
Bundesliga,2005,2005-08-27,KOL,KAI,-1,-1
Bundesliga,2005,2005-08-27,SCH,M'G,0,1
Bundesliga,2005,2005-08-27,WERB,STU,0,1
Bundesliga,2005,2005-08-27,WOB,LEVK,1,-1
Bundesliga,2005,2005-08-28,BIE,MAI,1,-1
Bundesliga,2005,2005-08-28,DUI,DOR,0,-1
Bundesliga,2005,2005-09-10,HAN,EINF,1,1
Bundesliga,2005,2005-09-10,KAI,WERB,-1,-1
Bundesliga,2005,2005-09-10,LEVK,SCH,0,-1
Bundesliga,2005,2005-09-10,M'G,DUI,1,1
Bundesliga,2005,2005-09-10,MAI,HAM,-1,-1
Bundesliga,2005,2005-09-10,NUR,BAY,-1,-1
Bundesliga,2005,2005-09-10,STU,BIE,0,1
Bundesliga,2005,2005-09-11,DOR,KOL,1,1
Bundesliga,2005,2005-09-11,HERT,WOB,1,1
Bundesliga,2005,2005-09-17,BAY,HAN,1,1
Bundesliga,2005,2005-09-17,BIE,KAI,0,1
Bundesliga,2005,2005-09-17,HAM,EINF,0,1
Bundesliga,2005,2005-09-17,KOL,M'G,1,-1
Bundesliga,2005,2005-09-17,MAI,STU,-1,-1
Bundesliga,2005,2005-09-17,WERB,DOR,1,1
Bundesliga,2005,2005-09-17,WOB,NUR,0,-1
Bundesliga,2005,2005-09-18,DUI,LEVK,-1,-1
Bundesliga,2005,2005-09-18,SCH,HERT,0,1
Bundesliga,2005,2005-09-20,DOR,BIE,1,1
Bundesliga,2005,2005-09-20,EINF,BAY,-1,-1
Bundesliga,2005,2005-09-20,HAN,WOB,-1,1
Bundesliga,2005,2005-09-20,M'G,WERB,1,-1
Bundesliga,2005,2005-09-21,HERT,DUI,1,1
Bundesliga,2005,2005-09-21,KAI,MAI,-1,-1
