season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
2024,2025-05-25,ATA,PAR,1,1,0,1.0,1.0,1.76,3.63,4.84
2024,2025-05-25,EMP,VER,0,2,-1,0.0,3.0,1.98,3.24,4.21
2024,2025-05-25,LAZ,LEC,2,0,1,3.0,0.0,1.56,3.72,7.09
2024,2025-05-25,TOR,ROM,0,2,-1,0.0,3.0,5.74,4.16,1.57
2024,2025-05-25,UDI,FIO,3,5,-1,0.0,3.0,3.68,3.64,1.99
2024,2025-05-25,VEN,JUV,2,3,-1,0.0,3.0,5.8,4.23,1.55
2024,2025-05-24,BOLG,GEN,0,0,0,1.0,1.0,1.5,4.45,6.3
2024,2025-05-24,MIL,MON,0,1,-1,0.0,3.0,1.22,7.1,11.13
2024,2025-05-23,COM,INT,0,1,-1,0.0,3.0,4.82,4.3,1.65
2024,2025-05-23,NAP,CAG,0,1,-1,0.0,3.0,1.19,6.94,14.74
2024,2025-05-18,CAG,VEN,3,2,1,3.0,0.0,2.58,3.01,3.02
2024,2025-05-18,FIO,BOLG,1,0,1,3.0,0.0,2.77,3.12,2.71
2024,2025-05-18,INT,LAZ,0,1,-1,0.0,3.0,1.63,4.13,5.06
2024,2025-05-18,JUV,UDI,0,2,-1,0.0,3.0,1.36,4.82,9.02
2024,2025-05-18,LEC,TOR,3,0,1,3.0,0.0,1.86,3.38,4.58
2024,2025-05-18,MON,EMP,0,0,0,1.0,1.0,4.88,3.63,1.74
2024,2025-05-18,PAR,NAP,2,0,1,3.0,0.0,6.32,4.19,1.52
2024,2025-05-18,ROM,MIL,2,1,1,3.0,0.0,2.31,3.54,2.97
2024,2025-05-18,VER,COM,1,2,-1,0.0,3.0,3.48,3.32,2.16
2024,2025-05-17,GEN,ATA,1,2,-1,0.0,3.0,4.54,3.79,1.76
2024,2025-05-12,VEN,FIO,0,2,-1,0.0,3.0,3.06,3.2,2.41
2024,2025-05-12,ATA,ROM,3,0,1,3.0,0.0,1.99,3.54,3.71
2024,2025-05-11,UDI,MON,1,1,0,1.0,1.0,1.48,4.35,6.8
2024,2025-05-11,VER,LEC,0,1,-1,0.0,3.0,2.22,3.03,3.72
2024,2025-05-11,TOR,INT,0,2,-1,0.0,3.0,5.93,4.1,1.56
2024,2025-05-11,NAP,GEN,1,1,0,1.0,1.0,1.29,5.08,11.88
2024,2025-05-10,COM,CAG,2,2,0,1.0,1.0,1.75,3.76,4.66
2024,2025-05-10,LAZ,JUV,0,0,0,1.0,1.0,2.46,3.2,3.03
2024,2025-05-10,EMP,PAR,0,3,-1,0.0,3.0,2.14,3.39,3.48
2024,2025-05-09,MIL,BOLG,1,0,1,3.0,0.0,2.35,3.38,3.05
2024,2025-05-05,GEN,MIL,1,1,0,1.0,1.0,4.48,3.7,1.79
2024,2025-05-04,EMP,LAZ,1,1,0,1.0,1.0,4.42,3.62,1.82
2024,2025-05-04,MON,ATA,1,1,0,1.0,1.0,12.68,6.51,1.22
2024,2025-05-04,ROM,FIO,2,1,1,3.0,0.0,1.65,3.85,5.32
2024,2025-05-04,BOLG,JUV,2,0,1,3.0,0.0,2.43,3.1,3.15
2024,2025-05-03,CAG,UDI,5,0,1,3.0,0.0,2.21,3.16,3.53
2024,2025-05-03,PAR,COM,2,2,0,1.0,1.0,3.1,3.38,2.31
2024,2025-05-03,LEC,NAP,1,0,1,3.0,0.0,6.55,4.08,1.53
2024,2025-05-03,INT,VER,2,1,1,3.0,0.0,1.33,5.03,9.61
2024,2025-05-02,TOR,VEN,4,2,1,3.0,0.0,2.48,2.96,3.28
2024,2025-04-28,UDI,BOLG,3,1,1,3.0,0.0,4.47,3.44,1.86
2024,2025-04-28,LAZ,PAR,1,3,-1,0.0,3.0,1.51,4.4,6.17
2024,2025-04-28,VER,CAG,2,0,1,3.0,0.0,2.6,2.79,3.24
2024,2025-04-27,COM,GEN,1,0,1,3.0,0.0,1.85,3.48,4.5
2024,2025-04-27,VEN,MIL,3,2,1,3.0,0.0,4.71,3.98,1.7
2024,2025-04-27,FIO,EMP,1,3,-1,0.0,3.0,1.82,3.51,4.61
2024,2025-04-27,INT,ROM,1,1,0,1.0,1.0,1.76,3.73,4.65
2024,2025-04-27,JUV,MON,1,0,1,3.0,0.0,1.18,7.11,15.31
2024,2025-04-27,ATA,LEC,0,1,-1,0.0,3.0,1.23,6.32,12.23
2024,2025-04-27,NAP,TOR,0,3,-1,0.0,3.0,1.42,4.43,8.17
2024,2025-04-23,CAG,FIO,1,1,0,1.0,1.0,3.04,3.18,2.46
2024,2025-04-23,GEN,LAZ,0,1,-1,0.0,3.0,3.37,3.14,2.29
2024,2025-04-23,PAR,JUV,2,3,-1,0.0,3.0,4.68,3.7,1.76
2024,2025-04-23,TOR,UDI,0,0,0,1.0,1.0,2.42,3.01,3.26
2024,2025-04-20,EMP,VEN,0,1,-1,0.0,3.0,2.3,3.03,3.48
2024,2025-04-20,BOLG,INT,0,0,0,1.0,1.0,3.28,3.13,2.34
2024,2025-04-20,MIL,ATA,2,2,0,1.0,1.0,2.53,3.47,2.7
2024,2025-04-19,LEC,COM,1,1,0,1.0,1.0,3.67,3.37,2.07
2024,2025-04-19,MON,NAP,2,0,1,3.0,0.0,12.96,5.47,1.26
2024,2025-04-19,ROM,VER,2,0,1,3.0,0.0,1.4,4.48,8.8
2024,2025-04-14,NAP,EMP,1,1,0,1.0,1.0,1.32,5.01,10.01
2024,2025-04-13,ATA,BOLG,2,1,1,3.0,0.0,1.99,3.52,3.78
2024,2025-04-13,FIO,PAR,2,1,1,3.0,0.0,1.71,3.74,4.99
2024,2025-04-13,VER,GEN,1,3,-1,0.0,3.0,2.98,2.91,2.68
2024,2025-04-13,COM,TOR,1,1,0,1.0,1.0,1.92,3.46,4.12
2024,2025-04-13,LAZ,ROM,2,3,-1,0.0,3.0,2.83,3.2,2.6
2024,2025-04-12,VEN,MON,2,1,1,3.0,0.0,1.74,3.67,4.89
2024,2025-04-12,INT,CAG,2,5,-1,0.0,3.0,1.33,5.28,9.06
2024,2025-04-12,JUV,LEC,3,0,1,3.0,0.0,1.33,4.92,10.05
