season,date,team1,team2,true_home_team_result,simulated_home_team_result
2024,2025-05-17,AUG,UNI,-1,-1
2024,2025-05-17,DOR,HOLK,1,1
2024,2025-05-17,FRE,EINF,-1,1
2024,2025-05-17,HEI,WERB,-1,1
2024,2025-05-17,HOF,BAY,-1,1
2024,2025-05-17,MAI,LEVK,0,-1
2024,2025-05-17,M'G,WOB,-1,-1
2024,2025-05-17,RBL,STU,-1,1
2024,2025-05-17,STP,BOC,-1,-1
2024,2025-05-11,LEVK,DOR,-1,-1
2024,2025-05-11,EINF,STP,0,0
2024,2025-05-11,STU,AUG,1,1
2024,2025-05-10,BOC,MAI,-1,-1
2024,2025-05-10,HOLK,FRE,-1,1
2024,2025-05-10,UNI,HEI,-1,-1
2024,2025-05-10,WERB,RBL,0,0
2024,2025-05-10,BAY,M'G,1,-1
2024,2025-05-09,WOB,HOF,0,1
2024,2025-05-04,AUG,HOLK,-1,-1
2024,2025-05-04,FRE,LEVK,0,0
2024,2025-05-04,MAI,EINF,0,1
2024,2025-05-03,M'G,HOF,0,1
2024,2025-05-03,RBL,BAY,0,0
2024,2025-05-03,STP,STU,-1,0
2024,2025-05-03,UNI,WERB,0,1
2024,2025-05-03,DOR,WOB,1,1
2024,2025-05-02,HEI,BOC,0,0
2024,2025-04-27,BOC,UNI,0,-1
2024,2025-04-27,WERB,STP,0,-1
2024,2025-04-26,BAY,MAI,1,0
2024,2025-04-26,HOF,DOR,-1,-1
2024,2025-04-26,HOLK,M'G,1,-1
2024,2025-04-26,LEVK,AUG,1,1
2024,2025-04-26,WOB,FRE,-1,-1
2024,2025-04-26,EINF,RBL,1,-1
2024,2025-04-25,STU,HEI,-1,1
2024,2025-04-20,AUG,EINF,0,-1
2024,2025-04-20,DOR,M'G,1,-1
2024,2025-04-20,STP,LEVK,0,1
2024,2025-04-19,FRE,HOF,1,0
2024,2025-04-19,HEI,BAY,-1,1
2024,2025-04-19,MAI,WOB,0,0
2024,2025-04-19,RBL,HOLK,0,1
2024,2025-04-19,WERB,BOC,1,-1
2024,2025-04-19,UNI,STU,0,1
2024,2025-04-13,STU,WERB,-1,1
2024,2025-04-13,EINF,HEI,1,1
2024,2025-04-12,BOC,AUG,-1,1
2024,2025-04-12,HOF,MAI,1,0
2024,2025-04-12,HOLK,STP,-1,0
2024,2025-04-12,LEVK,UNI,0,1
2024,2025-04-12,M'G,FRE,-1,1
2024,2025-04-12,BAY,DOR,0,1
2024,2025-04-11,WOB,RBL,-1,0
2024,2025-04-06,STP,M'G,0,0
2024,2025-04-06,UNI,WOB,1,0
2024,2025-04-05,BOC,STU,-1,-1
2024,2025-04-05,FRE,DOR,-1,0
2024,2025-04-05,HEI,LEVK,-1,1
2024,2025-04-05,MAI,HOLK,0,-1
2024,2025-04-05,RBL,HOF,1,0
2024,2025-04-05,WERB,EINF,1,-1
2024,2025-04-04,AUG,BAY,-1,0
2024,2025-03-30,FRE,UNI,-1,0
2024,2025-03-30,DOR,MAI,1,0
2024,2025-03-29,BAY,STP,1,1
2024,2025-03-29,HOF,AUG,0,0
2024,2025-03-29,HOLK,WERB,-1,0
2024,2025-03-29,M'G,RBL,1,-1
2024,2025-03-29,WOB,HEI,-1,0
2024,2025-03-29,EINF,STU,1,0
2024,2025-03-28,LEVK,BOC,1,0
2024,2025-03-16,BOC,EINF,-1,0
2024,2025-03-16,HEI,HOLK,1,0
2024,2025-03-16,STU,LEVK,-1,1
2024,2025-03-15,AUG,WOB,1,0
2024,2025-03-15,MAI,FRE,0,0
2024,2025-03-15,UNI,BAY,0,-1
2024,2025-03-15,WERB,M'G,-1,0
2024,2025-03-15,RBL,DOR,1,1
2024,2025-03-14,STP,HOF,1,1
2024,2025-03-09,EINF,UNI,-1,-1
2024,2025-03-09,HOF,HEI,0,1
2024,2025-03-08,BAY,BOC,-1,0
2024,2025-03-08,DOR,AUG,-1,1
2024,2025-03-08,HOLK,STU,0,-1
2024,2025-03-08,LEVK,WERB,-1,-1
2024,2025-03-08,WOB,STP,0,1
2024,2025-03-08,FRE,RBL,0,-1
2024,2025-03-07,M'G,MAI,-1,0
2024,2025-03-02,UNI,HOLK,-1,-1
2024,2025-03-02,AUG,FRE,0,-1
2024,2025-03-01,BOC,HOF,-1,0
2024,2025-03-01,HEI,M'G,-1,1
2024,2025-03-01,RBL,MAI,-1,1
2024,2025-03-01,STP,DOR,-1,0
2024,2025-03-01,WERB,WOB,-1,1
2024,2025-03-01,EINF,LEVK,-1,-1
2024,2025-02-28,STU,BAY,-1,1
2024,2025-02-23,RBL,HEI,0,1
2024,2025-02-23,BAY,EINF,1,0
2024,2025-02-23,HOF,STU,0,0
2024,2025-02-22,HOLK,LEVK,-1,-1
2024,2025-02-22,MAI,STP,1,1
2024,2025-02-22,M'G,AUG,-1,0
2024,2025-02-22,WOB,BOC,0,0
2024,2025-02-22,DOR,UNI,1,-1
2024,2025-02-21,FRE,WERB,1,1
2024,2025-02-16,WERB,HOF,-1,-1
2024,2025-02-16,EINF,HOLK,1,1
2024,2025-02-16,HEI,MAI,-1,-1
2024,2025-02-15,BOC,DOR,1,1
2024,2025-02-15,STP,FRE,-1,1
2024,2025-02-15,STU,WOB,-1,1
2024,2025-02-15,UNI,M'G,-1,0
2024,2025-02-15,LEVK,BAY,0,1
2024,2025-02-14,AUG,RBL,0,0
2024,2025-02-09,HOLK,BOC,0,0
2024,2025-02-09,RBL,STP,1,-1
2024,2025-02-08,DOR,STU,-1,1
2024,2025-02-08,FRE,HEI,1,-1
2024,2025-02-08,HOF,UNI,-1,0
2024,2025-02-08,MAI,AUG,0,-1
2024,2025-02-08,WOB,LEVK,0,-1
2024,2025-02-08,M'G,EINF,0,1
2024,2025-02-07,BAY,WERB,1,1
2024,2025-02-02,EINF,WOB,0,0
2024,2025-02-02,LEVK,HOF,1,0
2024,2025-02-01,BAY,HOLK,1,1
2024,2025-02-01,BOC,FRE,-1,1
2024,2025-02-01,HEI,DOR,-1,0
2024,2025-02-01,STP,AUG,0,0
2024,2025-02-01,STU,M'G,-1,1
2024,2025-02-01,UNI,RBL,0,1
2024,2025-01-31,WERB,MAI,1,-1
2024,2025-01-26,HOF,EINF,0,-1
2024,2025-01-26,STP,UNI,1,1
2024,2025-01-25,AUG,HEI,1,-1
2024,2025-01-25,DOR,WERB,0,1
2024,2025-01-25,FRE,BAY,-1,1
2024,2025-01-25,MAI,STU,1,-1
2024,2025-01-25,RBL,LEVK,0,1
2024,2025-01-25,M'G,BOC,1,-1
2024,2025-01-24,WOB,HOLK,0,1
2024,2025-01-19,UNI,MAI,1,1
2024,2025-01-19,WERB,AUG,-1,-1
2024,2025-01-18,BAY,WOB,1,-1
2024,2025-01-18,BOC,RBL,0,0
2024,2025-01-18,HEI,STP,-1,1
2024,2025-01-18,HOLK,HOF,-1,1
2024,2025-01-18,STU,FRE,1,1
2024,2025-01-18,LEVK,M'G,1,0
2024,2025-01-17,EINF,DOR,1,0
2024,2025-01-15,BOC,STP,1,1
2024,2025-01-15,BAY,HOF,1,0
2024,2025-01-15,STU,RBL,1,-1
2024,2025-01-15,UNI,AUG,-1,0
2024,2025-01-15,WERB,HEI,0,1
2024,2025-01-14,HOLK,DOR,1,-1
2024,2025-01-14,EINF,FRE,1,-1
2024,2025-01-14,LEVK,MAI,1,1
