season,team,points,wins,draws,losses,rank
2000,ALA,72,22,6,10,1
2000,OSA,61,17,10,11,2
2000,OVI,59,15,14,9,3
2000,ATHB,58,15,13,10,4
2000,NUM,57,16,9,13,5
2000,BARC,54,12,18,8,6
2000,VIL,53,13,14,11,7
2000,MLG,52,14,10,14,8
2000,RAYO,52,14,10,14,9
2000,SAN,52,14,10,14,10
2000,LAC,50,12,14,12,11
2000,MALL,49,11,16,11,12
2000,ZAR,49,13,10,15,13
2000,RMA,48,11,15,12,14
2000,VLC,45,10,15,13,15
2000,CEL,43,10,13,15,16
2000,ESP,42,10,12,16,17
2000,RSO,41,9,14,15,18
2000,LASP,39,8,15,15,19
2000,VLLD,37,7,16,15,20
2001,VLC,67,19,10,9,1
2001,BET,63,18,9,11,2
2001,VLLD,60,16,12,10,3
2001,BARC,59,17,8,13,4
2001,ESP,58,15,13,10,5
2001,LASP,57,16,9,13,6
2001,SEV,55,14,13,11,7
2001,ATHB,51,14,9,15,8
2001,LAC,51,11,18,9,9
2001,ALA,50,12,14,12,10
2001,RSO,50,12,14,12,11
2001,TEN,49,12,13,13,12
2001,MALL,48,11,15,12,13
2001,MLG,47,11,14,13,14
2001,ZAR,47,11,14,13,15
2001,CEL,45,10,15,13,16
2001,RMA,45,11,12,15,17
2001,OSA,39,9,12,17,18
2001,RAYO,38,10,8,20,19
2001,VIL,37,7,16,15,20
2002,SEV,61,15,16,7,1
2002,REC,58,15,13,10,2
2002,RMA,57,15,12,11,3
2002,ALA,56,15,11,12,4
2002,CEL,56,13,17,8,5
2002,MLG,55,13,16,9,6
2002,VLC,54,15,9,14,7
2002,BARC,53,12,17,9,8
2002,RSO,52,12,16,10,9
2002,MALL,50,11,17,10,10
2002,ESP,48,11,15,12,11
2002,BET,47,12,11,15,12
2002,RAYO,47,10,17,11,13
2002,VIL,47,12,11,15,14
2002,ATHB,46,12,10,16,15
2002,ATHM,45,9,18,11,16
2002,SAN,45,12,9,17,17
2002,OSA,44,10,14,14,18
2002,LAC,41,10,11,17,19
2002,VLLD,37,5,22,11,20
2003,LAC,62,17,11,10,1
2003,ESP,58,15,13,10,2
2003,RSO,58,15,13,10,3
2003,MALL,57,17,6,15,4
2003,MUR,56,14,14,10,5
2003,VLC,56,14,14,10,6
2003,BET,55,12,19,7,7
2003,SAN,54,13,15,10,8
2003,BARC,52,13,13,12,9
2003,ATHB,51,14,9,15,10
2003,VLLD,51,13,12,13,11
2003,RMA,49,11,16,11,12
2003,MLG,48,12,12,14,13
2003,OSA,48,11,15,12,14
2003,ZAR,46,11,13,14,15
2003,CEL,45,11,12,15,16
2003,ATHM,43,10,13,15,17
2003,ALB,41,9,14,15,18
2003,SEV,40,8,16,14,19
2003,VIL,39,9,12,17,20
2005,SEV,65,17,14,7,1
2005,MALL,59,15,14,9,2
2005,OSA,56,15,11,12,3
2005,VLC,56,15,11,12,4
2005,CAD,55,13,16,9,5
2005,ZAR,55,13,16,9,6
2005,GET,53,13,14,11,7
2005,ATHM,52,14,10,14,8
2005,ATHB,51,10,21,7,9
2005,RSO,51,13,12,13,10
2005,RMA,50,12,14,12,11
2005,VIL,50,12,14,12,12
2005,LAC,48,11,15,12,13
2005,SAN,48,10,18,10,14
2005,CEL,45,9,18,11,15
2005,MLG,45,10,15,13,16
2005,ALA,44,11,11,16,17
2005,BARC,42,10,12,16,18
2005,BET,39,8,15,15,19
2005,ESP,36,9,9,20,20
2007,SAN,61,16,13,9,1
2007,ZAR,61,16,13,9,2
2007,ALM,60,16,12,10,3
2007,LAC,60,16,12,10,4
2007,ATHM,59,16,11,11,5
2007,VLC,57,14,15,9,6
2007,LEVA,55,14,13,11,7
2007,ATHB,54,13,15,10,8
2007,ESP,53,13,14,11,9
2007,REC,51,12,15,11,10
