league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
MLB,1980,TOR,162,97,65,0,0.599,97,65,32,1
MLB,1980,MIN,161,93,68,0,0.578,93,68,25,2
MLB,1980,OAK,162,90,72,0,0.556,90,72,18,3
MLB,1980,SLN,162,90,72,0,0.556,90,72,18,4
MLB,1980,HOU,163,87,76,0,0.534,87,76,11,5
MLB,1980,LAN,163,86,77,0,0.528,86,77,9,6
MLB,1980,CAL,160,84,76,0,0.525,84,76,8,7
MLB,1980,NYN,162,85,77,0,0.525,85,77,8,8
MLB,1980,CHN,162,84,78,0,0.519,84,78,6,9
MLB,1980,MON,162,84,78,0,0.519,84,78,6,10
MLB,1980,BAL,162,83,79,0,0.512,83,79,4,11
MLB,1980,CLE,160,81,79,0,0.506,81,79,2,12
MLB,1980,ATL,161,80,81,0,0.497,80,81,-1,13
MLB,1980,KCA,162,80,82,0,0.494,80,82,-2,14
MLB,1980,CIN,163,80,83,0,0.491,80,83,-3,15
MLB,1980,SFN,161,79,82,0,0.491,79,82,-3,16
MLB,1980,DET,163,79,84,0,0.485,79,84,-5,17
MLB,1980,TEX,163,77,86,0,0.472,77,86,-9,18
MLB,1980,CHA,162,75,87,0,0.463,75,87,-12,19
MLB,1980,NYA,162,75,87,0,0.463,75,87,-12,20
MLB,1980,PIT,162,75,87,0,0.463,75,87,-12,21
MLB,1980,MIL,162,74,88,0,0.457,74,88,-14,22
MLB,1980,SDN,163,74,89,0,0.454,74,89,-15,23
MLB,1980,BOS,160,72,88,0,0.45,72,88,-16,24
MLB,1980,SEA,163,72,91,0,0.442,72,91,-19,25
MLB,1980,PHI,162,69,93,0,0.426,69,93,-24,26
MLB,1981,PIT,103,64,39,0,0.621,64,39,25,1
MLB,1981,KCA,103,61,42,0,0.592,61,42,19,2
MLB,1981,TOR,106,61,45,0,0.575,61,45,16,3
MLB,1981,CIN,108,60,48,0,0.556,60,48,12,4
MLB,1981,SDN,110,61,49,0,0.555,61,49,12,5
MLB,1981,SFN,111,61,50,0,0.55,61,50,11,6
MLB,1981,CAL,110,59,51,0,0.536,59,51,8,7
MLB,1981,MIN,110,59,51,0,0.536,59,51,8,8
MLB,1981,SLN,103,55,48,0,0.534,55,48,7,9
MLB,1981,ATL,107,55,52,0,0.514,55,52,3,10
MLB,1981,DET,109,56,53,0,0.514,56,53,3,11
MLB,1981,CHA,106,54,52,0,0.509,54,52,2,12
MLB,1981,TEX,105,53,52,0,0.505,53,52,1,13
MLB,1981,BOS,108,53,55,0,0.491,53,55,-2,14
MLB,1981,SEA,110,54,56,0,0.491,54,56,-2,15
MLB,1981,NYA,107,52,55,0,0.486,52,55,-3,16
MLB,1981,LAN,110,53,57,0,0.482,53,57,-4,17
MLB,1981,MON,108,52,56,0,0.481,52,56,-4,18
MLB,1981,BAL,105,50,55,0,0.476,50,55,-5,19
MLB,1981,MIL,109,50,59,0,0.459,50,59,-9,20
MLB,1981,HOU,110,49,61,0,0.445,49,61,-12,21
MLB,1981,CHN,106,47,59,0,0.443,47,59,-12,22
MLB,1981,PHI,107,47,60,0,0.439,47,60,-13,23
MLB,1981,CLE,103,45,58,0,0.437,45,58,-13,24
MLB,1981,OAK,109,43,66,0,0.394,43,66,-23,25
MLB,1981,NYN,105,40,65,0,0.381,40,65,-25,26
MLB,1982,DET,162,96,66,0,0.593,96,66,30,1
MLB,1982,PIT,162,94,68,0,0.58,94,68,26,2
MLB,1982,TOR,162,93,69,0,0.574,93,69,24,3
MLB,1982,CHA,162,88,74,0,0.543,88,74,14,4
MLB,1982,SDN,162,88,74,0,0.543,88,74,14,5
MLB,1982,CAL,162,87,75,0,0.537,87,75,12,6
MLB,1982,CHN,162,87,75,0,0.537,87,75,12,7
MLB,1982,PHI,162,87,75,0,0.537,87,75,12,8
MLB,1982,TEX,162,83,79,0,0.512,83,79,4,9
MLB,1982,MIL,163,82,81,0,0.503,82,81,1,10
MLB,1982,CLE,162,81,81,0,0.5,81,81,0,11
MLB,1982,LAN,162,81,81,0,0.5,81,81,0,12
MLB,1982,HOU,162,80,82,0,0.494,80,82,-2,13
MLB,1982,KCA,162,80,82,0,0.494,80,82,-2,14
MLB,1982,MON,162,80,82,0,0.494,80,82,-2,15
MLB,1982,NYN,162,80,82,0,0.494,80,82,-2,16
MLB,1982,OAK,162,80,82,0,0.494,80,82,-2,17
MLB,1982,BOS,162,78,84,0,0.481,78,84,-6,18
MLB,1982,ATL,162,75,87,0,0.463,75,87,-12,19
MLB,1982,CIN,162,75,87,0,0.463,75,87,-12,20
MLB,1982,SFN,162,75,87,0,0.463,75,87,-12,21
MLB,1982,MIN,162,73,89,0,0.451,73,89,-16,22
MLB,1982,BAL,163,73,90,0,0.448,73,90,-17,23
MLB,1982,NYA,162,71,91,0,0.438,71,91,-20,24
MLB,1982,SEA,162,70,92,0,0.432,70,92,-22,25
MLB,1982,SLN,162,70,92,0,0.432,70,92,-22,26
MLB,1983,PIT,162,93,69,0,0.574,93,69,24,1
MLB,1983,PHI,163,90,73,0,0.552,90,73,17,2
MLB,1983,CLE,162,87,75,0,0.537,87,75,12,3
MLB,1983,SLN,162,87,75,0,0.537,87,75,12,4
MLB,1983,TOR,162,87,75,0,0.537,87,75,12,5
MLB,1983,TEX,163,87,76,0,0.534,87,76,11,6
MLB,1983,CAL,162,86,76,0,0.531,86,76,10,7
MLB,1983,SDN,163,86,77,0,0.528,86,77,9,8
MLB,1983,BAL,162,85,77,0,0.525,85,77,8,9
MLB,1983,NYA,162,85,77,0,0.525,85,77,8,10
MLB,1983,MON,163,84,79,0,0.515,84,79,5,11
MLB,1983,DET,162,83,79,0,0.512,83,79,4,12
MLB,1983,MIN,162,83,79,0,0.512,83,79,4,13
MLB,1983,CHA,162,82,80,0,0.506,82,80,2,14
MLB,1983,KCA,163,82,81,0,0.503,82,81,1,15
MLB,1983,SFN,162,81,81,0,0.5,81,81,0,16
MLB,1983,ATL,162,78,84,0,0.481,78,84,-6,17
