league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
MLB,1980,MIL,162,89,73,0,0.549,89,73,16,1
MLB,1980,BOS,160,87,73,0,0.544,87,73,14,2
MLB,1980,PHI,162,88,74,0,0.543,88,74,14,3
MLB,1980,ATL,161,86,75,0,0.534,86,75,11,4
MLB,1980,KCA,162,86,76,0,0.531,86,76,10,5
MLB,1980,SEA,163,86,77,0,0.528,86,77,9,6
MLB,1980,BAL,162,85,77,0,0.525,85,77,8,7
MLB,1980,SFN,161,84,77,0,0.522,84,77,7,8
MLB,1980,TEX,163,85,78,0,0.521,85,78,7,9
MLB,1980,PIT,162,84,78,0,0.519,84,78,6,10
MLB,1980,CHA,162,83,79,0,0.512,83,79,4,11
MLB,1980,CIN,163,83,80,0,0.509,83,80,3,12
MLB,1980,LAN,163,83,80,0,0.509,83,80,3,13
MLB,1980,SDN,163,83,80,0,0.509,83,80,3,14
MLB,1980,NYA,162,80,82,0,0.494,80,82,-2,15
MLB,1980,CHN,162,79,83,0,0.488,79,83,-4,16
MLB,1980,NYN,162,79,83,0,0.488,79,83,-4,17
MLB,1980,CLE,160,77,83,0,0.481,77,83,-6,18
MLB,1980,SLN,162,78,84,0,0.481,78,84,-6,19
MLB,1980,DET,163,78,85,0,0.479,78,85,-7,20
MLB,1980,MON,162,75,87,0,0.463,75,87,-12,21
MLB,1980,OAK,162,75,87,0,0.463,75,87,-12,22
MLB,1980,MIN,161,74,87,0,0.46,74,87,-13,23
MLB,1980,TOR,162,74,88,0,0.457,74,88,-14,24
MLB,1980,CAL,160,73,87,0,0.456,73,87,-14,25
MLB,1980,HOU,163,71,92,0,0.436,71,92,-21,26
MLB,1981,CHN,106,64,42,0,0.604,64,42,22,1
MLB,1981,PHI,107,61,46,0,0.57,61,46,15,2
MLB,1981,CLE,103,58,45,0,0.563,58,45,13,3
MLB,1981,OAK,109,61,48,0,0.56,61,48,13,4
MLB,1981,MON,108,60,48,0,0.556,60,48,12,5
MLB,1981,ATL,107,59,48,0,0.551,59,48,11,6
MLB,1981,BAL,105,57,48,0,0.543,57,48,9,7
MLB,1981,NYN,105,56,49,0,0.533,56,49,7,8
MLB,1981,HOU,110,57,53,0,0.518,57,53,4,9
MLB,1981,SEA,110,57,53,0,0.518,57,53,4,10
MLB,1981,DET,109,55,54,0,0.505,55,54,1,11
MLB,1981,BOS,108,54,54,0,0.5,54,54,0,12
MLB,1981,LAN,110,55,55,0,0.5,55,55,0,13
MLB,1981,MIN,110,55,55,0,0.5,55,55,0,14
MLB,1981,MIL,109,54,55,0,0.495,54,55,-1,15
MLB,1981,CHA,106,52,54,0,0.491,52,54,-2,16
MLB,1981,CIN,108,52,56,0,0.481,52,56,-4,17
MLB,1981,KCA,103,49,54,0,0.476,49,54,-5,18
