league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
MLB,1980,NYA,162,162,0,0,1.0,820,662,158,1
MLB,1980,HOU,163,163,0,0,1.0,637,589,48,2
MLB,1980,BAL,162,149,13,0,0.92,805,640,165,3
MLB,1980,LAN,163,144,19,0,0.883,663,591,72,4
MLB,1980,KCA,162,138,24,0,0.852,809,694,115,5
MLB,1980,PHI,162,138,24,0,0.852,728,639,89,6
MLB,1980,MIL,162,124,38,0,0.765,811,682,129,7
MLB,1980,MON,162,120,42,0,0.741,694,629,65,8
MLB,1980,BOS,160,109,51,0,0.681,757,767,-10,9
MLB,1980,CIN,163,103,60,0,0.632,707,670,37,10
MLB,1980,DET,163,99,64,0,0.607,830,757,73,11
MLB,1980,PIT,162,90,72,0,0.556,666,646,20,12
MLB,1980,OAK,162,89,73,0,0.549,686,642,44,13
MLB,1980,CLE,160,71,89,0,0.444,738,807,-69,14
MLB,1980,ATL,161,71,90,0,0.441,630,660,-30,15
MLB,1980,MIN,161,63,98,0,0.391,670,724,-54,16
MLB,1980,SFN,161,54,107,0,0.335,573,634,-61,17
MLB,1980,TEX,163,53,110,0,0.325,756,752,4,18
MLB,1980,SLN,162,48,114,0,0.296,738,710,28,19
MLB,1980,CHA,162,38,124,0,0.235,587,722,-135,20
MLB,1980,TOR,162,24,138,0,0.148,624,762,-138,21
MLB,1980,SDN,163,24,139,0,0.147,591,654,-63,22
MLB,1980,NYN,162,18,144,0,0.111,611,702,-91,23
MLB,1980,CAL,160,13,147,0,0.081,698,797,-99,24
MLB,1980,CHN,162,0,162,0,0.0,614,728,-114,25
MLB,1980,SEA,163,0,163,0,0.0,610,793,-183,26
MLB,1981,OAK,109,109,0,0,1.0,458,403,55,1
MLB,1981,CIN,108,108,0,0,1.0,464,440,24,2
MLB,1981,SLN,103,98,5,0,0.951,464,417,47,3
MLB,1981,MIL,109,103,6,0,0.945,493,459,34,4
MLB,1981,BAL,105,87,18,0,0.829,429,437,-8,5
MLB,1981,LAN,110,84,26,0,0.764,450,356,94,6
MLB,1981,NYA,107,81,26,0,0.757,421,343,78,7
MLB,1981,MON,108,77,31,0,0.713,443,394,49,8
MLB,1981,HOU,110,73,37,0,0.664,394,331,63,9
MLB,1981,DET,109,70,39,0,0.642,427,404,23,10
MLB,1981,BOS,108,66,42,0,0.611,519,481,38,11
MLB,1981,PHI,107,60,47,0,0.561,491,472,19,12
MLB,1981,TEX,105,57,48,0,0.543,452,389,63,13
MLB,1981,SFN,111,51,60,0,0.459,427,414,13,14
MLB,1981,CHA,106,46,60,0,0.434,476,423,53,15
MLB,1981,CLE,103,41,62,0,0.398,431,442,-11,16
