league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
MLB,1980,NYA,162,103,59,0,0.636,820,662,158,1
MLB,1980,BAL,162,100,62,0,0.617,805,640,165,2
MLB,1980,KCA,162,97,65,0,0.599,809,694,115,3
MLB,1980,HOU,163,93,70,0,0.571,637,589,48,4
MLB,1980,LAN,163,92,71,0,0.564,663,591,72,5
MLB,1980,PHI,162,91,71,0,0.562,728,639,89,6
MLB,1980,MON,162,90,72,0,0.556,694,629,65,7
MLB,1980,CIN,163,89,73,1,0.549,707,670,37,8
MLB,1980,MIL,162,86,76,0,0.531,811,682,129,9
MLB,1980,BOS,160,83,77,0,0.519,757,767,-10,10
MLB,1980,DET,163,84,78,1,0.518,830,757,73,11
MLB,1980,OAK,162,83,79,0,0.512,686,642,44,12
MLB,1980,PIT,162,83,79,0,0.512,666,646,20,13
MLB,1980,ATL,161,81,80,0,0.503,630,660,-30,14
MLB,1980,CLE,160,79,81,0,0.494,738,807,-69,15
MLB,1980,MIN,161,77,84,0,0.478,670,724,-54,16
MLB,1980,TEX,163,76,85,2,0.472,756,752,4,17
MLB,1980,SFN,161,75,86,0,0.466,573,634,-61,18
MLB,1980,SLN,162,74,88,0,0.457,738,710,28,19
MLB,1980,SDN,163,73,89,1,0.451,591,654,-63,20
MLB,1980,CHA,162,70,90,2,0.438,587,722,-135,21
MLB,1980,NYN,162,67,95,0,0.414,611,702,-91,22
MLB,1980,TOR,162,67,95,0,0.414,624,762,-138,23
MLB,1980,CAL,160,65,95,0,0.406,698,797,-99,24
MLB,1980,CHN,162,64,98,0,0.395,614,728,-114,25
MLB,1980,SEA,163,59,103,1,0.365,610,793,-183,26
MLB,1981,CIN,108,66,42,0,0.611,464,440,24,1
MLB,1981,OAK,109,64,45,0,0.587,458,403,55,2
MLB,1981,SLN,103,59,43,1,0.578,464,417,47,3
MLB,1981,LAN,110,63,47,0,0.573,450,356,94,4
MLB,1981,MIL,109,62,47,0,0.569,493,459,34,5
MLB,1981,BAL,105,59,46,0,0.562,429,437,-8,6
MLB,1981,MON,108,60,48,0,0.556,443,394,49,7
MLB,1981,HOU,110,61,49,0,0.555,394,331,63,8
MLB,1981,NYA,107,59,48,0,0.551,421,343,78,9
MLB,1981,PHI,107,59,48,0,0.551,491,472,19,10
MLB,1981,DET,109,60,49,0,0.55,427,404,23,11
MLB,1981,BOS,108,59,49,0,0.546,519,481,38,12
MLB,1981,TEX,105,57,48,0,0.543,452,389,63,13
MLB,1981,CHA,106,54,52,0,0.509,476,423,53,14
MLB,1981,SFN,111,56,55,0,0.505,427,414,13,15
MLB,1981,CLE,103,52,51,0,0.505,431,442,-11,16
MLB,1981,KCA,103,50,53,0,0.485,397,405,-8,17
MLB,1981,ATL,107,50,56,1,0.472,395,416,-21,18
MLB,1981,CAL,110,51,59,0,0.464,476,453,23,19
MLB,1981,PIT,103,46,56,1,0.451,407,425,-18,20
MLB,1981,SEA,110,44,65,1,0.405,426,521,-95,21
MLB,1981,NYN,105,41,62,2,0.4,348,432,-84,22
MLB,1981,MIN,110,41,68,1,0.377,378,486,-108,23
MLB,1981,SDN,110,41,69,0,0.373,382,455,-73,24
MLB,1981,CHN,106,38,65,3,0.373,370,483,-113,25
