league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
NBA,1949,SYN,64,51,13,0,0.796875,5431,4908,523,1
NBA,1949,MNL,68,51,17,0,0.75,5717,5150,567,2
NBA,1949,RCH,68,51,17,0,0.75,5602,5074,528,3
NBA,1949,INO,64,39,25,0,0.609375,5495,5256,239,4
NBA,1949,NYK,68,40,28,0,0.5882352941176471,5488,5344,144,5
NBA,1949,CHS,68,40,28,0,0.5882352941176471,5352,5243,109,6
NBA,1949,FWP,68,40,28,0,0.5882352941176471,5390,5297,93,7
NBA,1949,AND,64,37,27,0,0.578125,5589,5346,243,8
NBA,1949,WSC,68,32,36,0,0.47058823529411764,5201,5265,-64,9
NBA,1949,TCB,64,29,35,0,0.453125,5313,5351,-38,10
NBA,1949,SLB,68,26,42,0,0.38235294117647056,5010,5202,-192,11
NBA,1949,PHA,68,26,42,0,0.38235294117647056,4983,5194,-211,12
NBA,1949,BAL,68,25,43,0,0.36764705882352944,4973,5353,-380,13
NBA,1949,SBS,62,22,40,0,0.3548387096774194,5108,5443,-335,14
NBA,1949,BOS,68,22,46,0,0.3235294117647059,5419,5590,-171,15
NBA,1949,WAT,62,19,43,0,0.3064516129032258,4921,5264,-343,16
NBA,1949,DEN,62,11,51,0,0.1774193548387097,4818,5530,-712,17
NBA,1950,MNL,68,44,24,0,0.6470588235294118,5632,5264,368,1
NBA,1950,PHA,66,40,26,0,0.6060606060606061,5634,5386,248,2
NBA,1950,RCH,68,41,27,0,0.6029411764705882,5756,5553,203,3
NBA,1950,BOS,69,39,30,0,0.5652173913043478,5881,5899,-18,4
NBA,1950,NYK,66,36,30,0,0.5454545454545454,5667,5639,28,5
NBA,1950,SYN,66,32,34,0,0.48484848484848486,5680,5645,35,6
NBA,1950,FWP,68,32,36,0,0.47058823529411764,5721,5849,-128,7
NBA,1950,INO,68,31,37,0,0.45588235294117646,5555,5716,-161,8
NBA,1950,TCB,68,25,43,0,0.36764705882352944,5731,5988,-257,9
NBA,1950,BAL,66,24,42,0,0.36363636363636365,5414,5565,-151,10
NBA,1950,WSC,35,10,25,0,0.2857142857142857,2844,3011,-167,11
NBA,1951,RCH,66,41,25,0,0.6212121212121212,5689,5468,221,1
NBA,1951,MNL,66,40,26,0,0.6060606060606061,5648,5250,398,2
NBA,1951,SYN,66,40,26,0,0.6060606060606061,5721,5427,294,3
NBA,1951,BOS,66,39,27,0,0.5909090909090909,6027,5758,269,4
NBA,1951,NYK,66,37,29,0,0.5606060606060606,5609,5560,49,5
NBA,1951,INO,66,34,32,0,0.5151515151515151,5474,5466,8,6
NBA,1951,PHA,66,33,33,0,0.5,5713,5795,-82,7
NBA,1951,FWP,66,29,37,0,0.4393939393939394,5151,5286,-135,8
NBA,1951,BAL,66,20,46,0,0.30303030303030304,5377,5873,-496,9
NBA,1951,MLH,66,17,49,0,0.25757575757575757,4831,5357,-526,10
NBA,1952,MNL,70,48,22,0,0.6857142857142857,5973,5544,429,1
NBA,1952,NYK,71,48,23,0,0.676056338028169,6065,5681,384,2
NBA,1952,SYN,71,47,24,0,0.6619718309859155,6081,5775,306,3
NBA,1952,BOS,71,46,25,0,0.647887323943662,6258,6090,168,4
NBA,1952,RCH,70,44,26,0,0.6285714285714286,6043,5847,196,5
NBA,1952,FWP,69,36,33,0,0.5217391304347826,5591,5599,-8,6
NBA,1952,MLH,71,28,43,0,0.39436619718309857,5320,5522,-202,7
NBA,1952,INO,70,27,43,0,0.38571428571428573,5221,5424,-203,8
NBA,1952,BAL,71,16,55,0,0.22535211267605634,5973,6440,-467,9
NBA,1952,PHA,70,12,58,0,0.17142857142857143,5534,6137,-603,10
NBA,1953,MNL,72,46,26,0,0.6388888888888888,5880,5660,220,1
NBA,1953,RCH,72,44,28,0,0.6111111111111112,5742,5567,175,2
NBA,1953,NYK,72,44,28,0,0.6111111111111112,5687,5697,-10,3
NBA,1953,SYN,72,42,30,0,0.5833333333333334,6013,5660,353,4
NBA,1953,BOS,72,42,30,0,0.5833333333333334,6312,6147,165,5
NBA,1953,FWP,72,40,32,0,0.5555555555555556,5593,5476,117,6
NBA,1953,PHA,72,29,43,0,0.4027777777777778,5634,5786,-152,7
NBA,1953,MLH,72,21,51,0,0.2916666666666667,5038,5419,-381,8
NBA,1953,BAL,72,16,56,0,0.2222222222222222,5638,6125,-487,9
NBA,1954,FWP,72,43,29,0,0.5972222222222222,6652,6480,172,1
NBA,1954,SYN,72,43,29,0,0.5972222222222222,6557,6457,100,2
NBA,1954,MNL,72,40,32,0,0.5555555555555556,6885,6801,84,3
NBA,1954,NYK,72,38,34,0,0.5277777777777778,6671,6665,6,4
NBA,1954,BOS,72,36,36,0,0.5,7303,7309,-6,5
NBA,1954,PHA,72,33,39,0,0.4583333333333333,6712,6731,-19,6
NBA,1954,RCH,72,29,43,0,0.4027777777777778,6535,6652,-117,7
NBA,1954,MLH,72,26,46,0,0.3611111111111111,6290,6510,-220,8
NBA,1955,PHA,72,45,27,0,0.625,7424,7117,307,1
NBA,1955,BOS,72,39,33,0,0.5416666666666666,7632,7585,47,2
NBA,1955,FWP,72,37,35,0,0.5138888888888888,6794,6743,51,3
