season,date,team1,team2,result,score1,score2,home_flag
1980,1980-04-09,SEA,TOR,W,8,6,HOME
1980,1980-04-09,CIN,ATL,W,9,0,HOME
1980,1980-04-10,CHA,BAL,L,3,5,HOME
1980,1980-04-10,KCA,DET,L,1,5,HOME
1980,1980-04-10,MIL,BOS,W,9,5,HOME
1980,1980-04-10,OAK,MIN,L,7,9,HOME
1980,1980-04-10,TEX,NYA,W,1,0,HOME
1980,1980-04-10,HOU,LAN,W,3,2,HOME
1980,1980-04-10,NYN,CHN,W,5,2,HOME
1980,1980-04-10,SDN,SFN,W,6,4,HOME
1980,1980-04-10,SLN,PIT,W,1,0,HOME
1980,1980-04-11,CAL,CLE,W,10,2,HOME
1980,1980-04-11,CHA,BAL,W,8,4,HOME
1980,1980-04-11,KCA,DET,W,4,0,HOME
1980,1980-04-11,OAK,MIN,W,1,0,HOME
1980,1980-04-11,SEA,TOR,L,7,10,HOME
1980,1980-04-11,TEX,NYA,W,11,7,HOME
1980,1980-04-11,CIN,ATL,W,6,0,HOME
1980,1980-04-11,HOU,LAN,W,10,6,HOME
1980,1980-04-11,NYN,CHN,L,5,7,HOME
1980,1980-04-11,PHI,MON,W,6,3,HOME
1980,1980-04-11,SDN,SFN,W,5,3,HOME
1980,1980-04-11,SLN,PIT,L,3,4,HOME
1980,1980-04-12,CAL,CLE,L,1,2,HOME
1980,1980-04-12,CHA,BAL,W,8,2,HOME
1980,1980-04-12,KCA,DET,W,8,6,HOME
1980,1980-04-12,MIL,BOS,W,18,1,HOME
1980,1980-04-12,OAK,MIN,L,0,6,HOME
1980,1980-04-12,SEA,TOR,W,3,2,HOME
1980,1980-04-12,CIN,ATL,W,5,4,HOME
1980,1980-04-12,HOU,LAN,L,5,6,HOME
1980,1980-04-12,NYN,CHN,L,3,6,HOME
1980,1980-04-12,PHI,MON,W,6,2,HOME
1980,1980-04-12,SDN,SFN,W,4,2,HOME
1980,1980-04-12,SLN,PIT,L,2,7,HOME
1980,1980-04-13,CAL,CLE,W,8,3,HOME
1980,1980-04-13,CHA,BAL,W,5,2,HOME
1980,1980-04-13,KCA,DET,W,3,2,HOME
1980,1980-04-13,MIL,BOS,L,1,3,HOME
1980,1980-04-13,OAK,MIN,W,4,1,HOME
1980,1980-04-13,SEA,TOR,W,5,1,HOME
1980,1980-04-13,TEX,NYA,L,4,9,HOME
1980,1980-04-13,TEX,NYA,L,2,8,HOME
1980,1980-04-13,CIN,ATL,W,5,0,HOME
1980,1980-04-13,HOU,LAN,W,4,2,HOME
1980,1980-04-13,NYN,CHN,W,5,0,HOME
1980,1980-04-13,PHI,MON,L,4,5,HOME
1980,1980-04-13,SDN,SFN,L,1,3,HOME
1980,1980-04-13,SLN,PIT,L,0,3,HOME
1980,1980-04-14,BOS,DET,W,3,1,HOME
1980,1980-04-14,CAL,MIN,L,3,5,HOME
1980,1980-04-14,OAK,SEA,L,1,7,HOME
1980,1980-04-14,TEX,CLE,W,7,4,HOME
1980,1980-04-14,CIN,SFN,W,6,5,HOME
1980,1980-04-14,HOU,ATL,W,5,4,HOME
1980,1980-04-14,PIT,CHN,W,5,4,HOME
1980,1980-04-14,SDN,LAN,W,2,1,HOME
1980,1980-04-15,BAL,KCA,W,12,2,HOME
1980,1980-04-15,CAL,MIN,W,3,1,HOME
